State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",14046090.562390398,18815237.034288757,18703689.297702834,18695754.416164134,18586867.67520697,18501988.101274654,18364181.57448935,18261672.34840708,18155763.856500883,18040515.313945867,17835047.663825642,17597759.04683828,17303954.8615819,17022067.97425692,16845428.030178107,16569342.393842848,16253132.999037683,15947078.130419014,15628232.517907893,15327736.04328785,14992249.057043726,14637656.183608642,14280812.183673853,13975738.09362864,13585996.885013623,13216633.955464577,12833767.060698744,12456040.75304872,12160151.349338956,11847491.590297204,11549033.613905033,11255784.912196554,11040353.750740139,10915350.75579204,10957526.76010294,11117817.4269439,11266152.318537474,11500649.266021226,11645197.949144239,11697210.525837213,11612614.492224958,11460530.714908838,11248953.338725239,11003825.031376766,10808779.800413398,10589087.635056313,10387164.630620267,10192168.918093264,9992019.239867209,9806679.029926151,9573012.296715885,9369968.412765047,9187694.298780752,9062924.082857884,8985219.780015249,8978435.440346612,8920968.121078938,8861003.95314913,8736088.066713672,8641860.082551455,8530516.574938696,8446662.245751835,8241778.197836419,7996074.397151183,7689246.653923576,7411041.766200357,7202330.079030091,6922701.286797155,6606966.907430357,6280432.946099418,5978412.20962694,5679271.359815893,5374353.266910627,5025637.959707602,4690854.222069631,4398104.454025575,4040194.132269745,3688340.555568517,3316500.083800838,2959392.529791202,2682632.7944766837,2393486.737368737,2127217.5432992806,1838469.975264476,1639100.4660710108,1495460.9890531234,1487150.6825693857,1630472.9269679992,1776728.9310648954,2019196.7399449975,2187925.10074593,2270966.427207215,2239086.7276897,2098336.2777291047,1898628.7776789,1671086.6612863624,1508654.9709075694,1332724.2608074227,1150973.2829813997,963796.1423359686,759831.4980249719,597985.1275827064,377024.87170427135,178513.37431687248
"(0, 4)",14046090.562390398,18503663.886298437,18392116.149690475,18384181.268101845,18275294.527118742,18190414.953155354,18052608.426362876,17950099.200268988,17844190.708418578,17728942.16593851,17523474.51805656,17286185.9056394,16992381.725264147,16710494.842611305,16533854.9024584,16257769.24576031,15941559.850943545,15635504.982316256,15316659.369808171,15016162.895171592,14680675.908923635,14326083.035498794,13969239.03545656,13664164.945898812,13274423.73939315,12905060.810262641,12522193.918329556,12144467.638847977,11848578.270628912,11535918.54600412,11237460.669285221,10944212.136386387,10728781.009807685,10603777.975456813,10645953.687776593,10806244.321582641,10954579.214933222,11189076.166412184,11333624.848451573,11385637.423258167,11301041.36543313,11148957.598526144,10937380.233468296,10692251.926752737,10497206.695353322,10277514.530065605,10075591.48265823,9880595.770150451,9680446.091931185,9495105.882006349,9261439.14918036,9058395.266517187,8876121.153356254,8751350.93770458,8673646.634731205,8666862.294385856,8609394.974854197,8549430.806418268,8424514.919687131,8330286.935242917,8218943.427625503,8135089.097951392,7930205.052233799,7684501.254783084,7377673.51326024,7099468.62660513,6890756.933034392,6611128.1420221655,6295393.788483588,5968859.961831251,5666839.297944034,5367698.478055248,5062781.408514627,4714067.869625226,4379287.181034262,4086552.7974406565,3728658.8461134783,3377157.1747965734,3005937.3246982167,2649441.8439664254,2373131.5478585553,2084481.5519242026,1822286.44928646,1540290.224913927,1344420.2006127606,1204139.4433299971,1192256.7911301653,1325369.5108553632,1467768.9711212679,1708168.3008009412,1876385.4923576156,1959393.8366262834,1927513.6890350983,1786763.2702758336,1587065.573592384,1359550.0369272744,1197106.2179272138,1021251.6564935578,839947.0772095297,656384.1486866407,463103.0108190779,312049.9900577605,124507.6232320689,4139.327758504474
"(0, 8)",14046090.562390398,18192090.738497928,18080543.00205473,18072608.120397907,17963721.382490512,17878841.81234477,17741035.289774857,17638526.06758147,17532617.57946832,17417369.040752668,17211901.395032596,16974612.782613598,16680808.602238894,16398921.719585437,16222281.779432531,15946196.097896596,15629986.703103494,15323931.834479991,15005086.22197942,14704589.747265665,14369102.761494977,14014509.889508432,13657665.8980649,13352591.8402112,12962850.701313425,12593487.829748232,12210620.997014118,11832894.920158712,11537006.052383201,11224346.781395115,10925889.064141514,10632640.857041273,10417209.596206676,10292206.515108217,10334381.30461316,10494671.24523381,10643006.122397661,10877503.07284979,11022051.75488003,11074064.329685125,10989468.271859331,10837384.504952334,10625807.139894452,10380678.833178911,10185633.601779463,9965941.43649183,9764018.335917281,9569022.624852853,9368872.94809262,9183532.739554714,8949866.007831685,8746822.125216682,8564548.012207223,8439777.796466026,8362073.492995272,8355289.151190158,8297821.832394228,8237857.665882174,8112941.781955927,8018713.800582772,7907370.295959809,7823515.968189139,7618631.925117756,7372928.130662757,7066100.387523788,6787895.536744947,6579184.00823059,6299556.6510748295,5983824.17384415,5657292.254984768,5355273.411337677,5056133.807516896,4751220.519663614,4402827.328537663,4068892.7522562062,3776949.191882775,3419924.6507642427,3069111.3945114333,2706075.469827077,2357936.7023340557,2089387.2289795557,1808523.9721655813,1546845.7676860532,1267211.719131906,1071813.577187122,934262.0564150886,915682.7737597515,1030801.3411889877,1164581.27393354,1398998.399891262,1565126.2651381595,1647894.768486164,1616030.4809908054,1475304.2298643074,1276221.366030974,1058187.7091389906,904812.9006395299,740410.0155736565,572060.5678372233,396348.2059608066,219490.39915392367,93899.18954014221,3227.6641347896025,0.0
"(0, 12)",14046090.562390398,17880517.607193887,17768969.87469465,17761034.996392496,17652148.259539597,17567268.689357594,17429462.16677255,17326952.944574945,17221044.456456427,17105795.91773293,16900328.27202139,16663039.659605999,16369235.47924349,16087348.596605344,15910708.656406665,15634622.950104507,15318413.555550287,15012358.689196002,14693513.078956915,14393016.606085353,14057529.627303164,13702936.868735712,13346093.100539364,13041019.485897128,12651279.007263964,12281916.77302519,11899050.596579753,11521325.49073451,11225438.238060934,10912779.981795069,10614320.09973867,10321072.167071061,10105640.212256657,9980637.148200015,10022810.200228496,10183098.31850394,10331433.062376518,10565929.979556767,10710478.661310477,10762491.236112293,10677895.178285679,10525811.411378564,10314234.046320623,10069105.739605062,9874060.508205835,9654368.342918003,9452445.194583902,9257449.48352319,9057299.807314167,8871959.599820577,8638292.869187243,8435248.987437254,8252974.878672678,8128204.669056756,8050500.370673123,8043716.029943905,7986248.713408266,7926284.545000772,7801368.662035491,7707140.693682654,7595797.339649809,7511943.710643864,7307061.439744011,7061359.486702615,6754533.694897571,6476330.678405038,6267620.630778789,5987993.64618707,5672261.168956391,5345750.131693227,5044104.020188956,4746725.126373791,4443638.808140158,4102431.5130131757,3776301.202002601,3491734.4997329037,3142818.2248608028,2799830.5830858583,2437197.73546207,2089806.2892279204,1821920.037469322,1544059.0869373833,1283734.1449058822,1010176.4054796154,819077.0157124035,691664.5730039923,672429.9346942377,765149.5733128529,885372.8569155742,1106953.6707865687,1269853.947626596,1355524.0940816747,1330765.6781271016,1199263.7714274945,1010984.4921073819,797085.1739799466,644618.7586148387,485626.3367081358,324718.250987757,168952.9552754238,54642.82096271155,2071.1691360759883,0.0,0.0
"(0, 16)",14046090.562390398,17568960.897940073,17457454.727968436,17449551.746229813,17340575.136673912,17255695.566397324,17117889.043793377,17015379.821627557,16909471.333550032,16794222.79485757,16588755.149180582,16351466.53676822,16057662.356388088,15775775.473758569,15599135.533380788,15323049.811092833,15006840.41958094,14700785.555170486,14381939.957039261,14081443.566291006,13745958.940696562,13391407.66092927,13034545.708848946,12729528.1050089,12339713.235679336,11970348.972267367,11587546.511737289,11209770.811652249,10913933.32456612,10601230.295676207,10302754.64397384,10009506.87173399,9794073.854780857,9669069.61660272,9711241.157298835,9871526.657190474,10019860.1845861,10254356.889735036,10398905.567742938,10450918.142539166,10366322.08471198,10214238.317804746,10002660.952746889,9757532.646031326,9562487.41463195,9342795.249344904,9140872.056336276,8945876.346940381,8745726.677840142,8560386.478951184,8326719.757459483,8123675.884263049,7941401.778825199,7816631.589846679,7738927.580038738,7732144.371483367,7674678.695071582,7614716.10134519,7489801.930301457,7395575.5517979255,7284233.6277065,7200380.764213896,6995498.493314042,6749796.747602993,6442972.5663453825,6164822.38685987,5956386.8591172695,5680407.481175517,5372739.96610254,5054886.2307537915,4761140.132203626,4470203.563145665,4173673.5234991163,3833853.255331415,3507914.219251293,3223927.882450166,2875758.6943392246,2533391.7053394197,2171901.3962877537,1825569.7657780158,1559045.9012843177,1286771.8445572793,1028235.3087942845,769818.1617813117,597108.4515977978,493390.17953037325,478658.6543690622,553360.240098187,657467.0622922031,859102.6223573171,1011267.3201064871,1092678.9670109758,1067648.3011624392,937218.6710709507,751108.1441948259,546174.3252257023,398114.43156079086,255876.5988795469,126208.67329488635,32939.84667105071,1384.5085752203356,0.0,0.0,0.0
"(0, 20)",14046090.562390398,17257773.37495602,17146477.168016396,17138218.98017092,17029370.005842187,16944302.193373,16806535.18921321,16704174.513582136,16598325.729956638,16482673.397434084,16277263.163600147,16040047.476503529,15746353.396153528,15464619.876894994,15287699.056622803,15011596.166601839,14695296.898866896,14389296.907874117,14070827.20804679,13770241.115543004,13434853.774113528,13080550.335274203,12723566.111432128,12418467.32245696,12028794.46806288,11659297.397854203,11276483.573196296,10898826.236350188,10602842.175588964,10290255.624357436,9991354.443926694,9698185.514695767,9482666.292402653,9358360.645226507,9400670.511188362,9560601.583017092,9709064.816620221,9943272.441682827,10087572.390527448,10139351.899812002,10054749.08670743,9902665.22423094,9691087.859173035,9445993.104525866,9250930.252280002,9031271.64816346,8829326.312553458,8634303.251030952,8434153.584264977,8248813.38537738,8015146.673043939,7812103.551552663,7629851.519060697,7505187.519970908,7427643.002888675,7420694.661819789,7363401.711562723,7303362.234384284,7178395.742368403,7084250.708754331,6973172.852398243,6890082.905738879,6692148.561060516,6454268.328839972,6155698.819516899,5885424.468660953,5683759.705742707,5411827.133076732,5104157.594842905,4786552.32799183,4493396.287874813,4203043.721301669,3907113.6954611544,3567939.0070628966,3242437.6327511193,2958470.8401857917,2610587.4115295038,2268260.0394205744,1907620.8018373235,1563820.1351412358,1302188.2422878025,1037157.3053423394,788765.7613539357,558647.8832253807,418755.873109237,336554.20692603354,322141.7104228989,373995.77032819245,455767.28782270406,627675.7723134398,762354.229516585,834196.5392674078,808106.642666963,680606.0829682694,504389.7583321165,319289.4687627078,190449.46524389446,88841.10403187756,20635.3064840317,615.8910877728,0.0,0.0,0.0,0.0
"(9, 0)",14046090.562390398,18114197.560620166,18002649.812730484,17994714.833986137,17885828.093859334,17800948.52036435,17663141.991682187,17560632.76519608,17454724.273392845,17339475.730676867,17134008.080617882,16896719.46393248,16602915.279552998,16321028.39431882,16144388.453206873,15868302.810823798,15552093.417471858,15246038.554803666,14927192.977649469,14626696.460127791,14291209.475159096,13936616.608289804,13579772.605072733,13274698.526098736,12884957.516899168,12515594.49577575,12132728.498979509,11755008.618566219,11459138.3825708,11146496.793084668,10848025.788235666,10554841.59715615,10339499.653972566,10214663.868223853,10256606.912352549,10416787.829024216,10565116.927880656,10799609.682533277,10944158.365624132,10996170.942304423,10911574.9086892,10759491.131372742,10547913.755192285,10302785.447844403,10107740.216902645,9888048.051576914,9686125.047464391,9491129.334969677,9290979.656880023,9105639.447268775,8871972.716493482,8668928.837817369,8486654.73659872,8361884.53586978,8284180.244318133,8277395.890244275,8219928.571656588,8159964.400225532,8035048.511019486,7940820.515688792,7829477.010126593,7745622.665685479,7540738.619400584,7295034.830241416,6988207.087604184,6710002.2229134375,6501290.514698027,6221661.72852023,5905927.415616133,5579393.839758238,5277373.975806698,4978232.666926094,4673315.808996821,4324609.953680154,3989832.178590239,3697083.579398634,3339273.3917970657,2987377.3897049795,2616039.6550314096,2259928.152961746,1985429.1906655605,1700110.8072961261,1435095.121608135,1161652.6393800522,976960.1481085286,854209.5252900377,842403.9819372172,955916.9396217675,1088580.2134132166,1321617.3291383928,1487285.9075129903,1569946.3284857352,1538054.2130034114,1397316.8085015689,1197694.6743914604,970626.5368841387,808020.6202955284,633450.8704358973,455972.7153695258,271011.1951355201,109593.54331021341,13935.325584850923,0.0,0.0
"(9, 4)",14046090.562390398,17802624.41332311,17691076.66518799,17683141.68621187,17574254.94622509,17489375.372974046,17351568.844005905,17249059.617521,17143151.12567725,17027902.582804654,16822434.934970774,16585146.323033122,16291342.143815594,16009455.263725989,15832815.326460358,15556729.662906082,15240520.269632015,14934465.40731296,14615619.832492832,14315123.312266055,13979636.327812588,13625043.46327985,13268199.458886992,12963125.383952226,12573384.382167945,12204021.373550508,11821155.422877643,11443435.674429594,11147565.474016752,10834924.175610837,10536453.373135816,10243269.770175088,10027928.388553768,9903091.952972207,9945034.279220464,10105214.761947962,10253543.835448364,10488036.584160723,10632585.264941566,10684597.839729032,10600001.781902323,10447918.014989056,10236340.649940094,9991212.343224166,9796167.111848634,9576474.946597576,9374551.899579423,9179556.187081967,8979406.509235766,8794066.300408296,8560399.573777368,8357355.700794314,8175081.60789357,8050311.411499947,7972607.121316325,7965822.75950512,7908355.444033236,7848391.273536705,7723475.384871153,7629247.381965295,7517903.881209867,7434049.52677831,7229165.494045365,6983461.761514764,6676634.0003632195,6398429.203155447,6189717.452691906,5910088.745767432,5594354.837767105,5267822.490549821,4965803.893777925,4666663.197166058,4361752.842660424,4013068.0226374823,3678312.489632698,3385604.3898077095,3028044.2665510722,2676331.58953854,2305983.6987835825,1952571.259005493,1679845.3808342193,1402298.0997802664,1146046.2236211726,891386.4751715238,722976.6886463199,611002.8281099801,595221.3688748188,684197.3952086804,800726.942117145,1018653.7292664109,1177594.0478404209,1258587.9171838225,1226617.0507301886,1086080.0300294617,887274.42035795,665113.314728694,503079.7487992791,340795.61857405404,187982.9993129926,68645.21652135027,5230.616403579373,0.0,0.0,0.0
"(9, 8)",14046090.562390398,17491051.268181283,17379503.52044978,17371568.5406556,17262681.804180626,17177802.23349079,17039995.708182182,16937486.485182475,16831577.99688639,16716329.457647216,16510861.812054778,16273573.200158482,15979769.020938657,15697882.140820708,15521242.20343449,15245156.515128542,14928947.121950319,14622892.26002886,14304046.68792412,14003550.165462602,13668063.185961548,13313470.332119392,12956626.32910252,12651552.29326235,12261811.495760376,11892448.519602159,11509582.687589811,11131863.846851088,10835994.989577143,10523353.165686466,10224884.821157595,9931702.342852857,9716360.942029182,9591524.440671306,9633464.14750251,9793642.063294107,9941970.774354786,10176463.494338747,10321012.171388747,10373024.746160936,10288428.688336246,10136344.921417976,9924767.556366289,9679639.249650152,9484594.018275393,9264901.853024848,9062978.752615653,8867983.041681036,8667833.365925979,8482493.159615155,8248826.436428812,8045782.570006669,7863508.488552545,7738738.301841155,7661034.017570214,7654249.639399671,7596782.329188063,7536818.155977954,7411902.266342251,7317674.266826493,7206330.772221919,7122476.411975384,6917592.404964739,6671888.749557001,6365061.0435598055,6086856.48902369,5878144.696631658,5598517.329381448,5282785.53650505,4956257.31185765,4654246.059786241,4355105.019472673,4050213.634622889,3701869.419768672,3367988.2923618336,3076152.325981123,2719424.6658538994,2368314.794032962,2006672.4469491027,1661680.4808546954,1398355.9534645404,1128933.225570234,880466.2391933029,651592.6894634066,501420.6154810569,406944.11699264566,389299.6357517197,450626.28465160594,542753.8149872934,732352.5836875486,875612.9570353248,948857.9480504817,916513.0273926741,778373.1463919565,590316.7227078864,396406.2161297099,257485.45867997015,137196.9260203059,47100.304769430826,2762.3168591126605,0.0,0.0,0.0,0.0
"(9, 12)",14046090.562390398,17179478.143417828,17067930.395222127,17059995.41782634,16951108.682190947,16866229.111617208,16728422.585489368,16625913.36239192,16520004.874172565,16404756.334724823,16199288.689294577,15962000.077611092,15668195.898531843,15386309.019771766,15209669.080408622,14933583.36796226,14617373.976992166,14311319.116517821,13992473.550192798,13691977.02728172,13356490.068983972,13001897.351286301,12645053.550502412,12339979.977457745,11950240.016779145,11580877.522245629,11198013.00650134,10820298.002104951,10524434.706293793,10211807.013057597,9913324.20978243,9620152.55424901,9404800.189763997,9279965.628166074,9321904.005484842,9482072.328500722,9630398.376217641,9864890.410214731,10009439.077849064,10061451.652602963,9976855.594770541,9824771.8278546,9613194.462793563,9368066.156082356,9173020.924701681,8953328.759450698,8751405.611373013,8556409.900759947,8356260.226295487,8170920.021925914,7937253.303190621,7734209.447359791,7551935.383101974,7427165.217219097,7349460.953379688,7342676.565835446,7285209.269011995,7225245.098228708,7100329.213598206,7006101.218834573,6894757.893063336,6810904.169563813,6606021.946326214,6360320.13682416,6053494.376909384,5775291.820980038,5566581.5094851935,5286955.166303141,4971224.885220338,4644720.191665006,4343072.546724293,4045690.307252063,3742613.3861099533,3401462.390554841,3075380.6303495336,2790917.65921866,2442656.005101149,2099405.867450011,1739678.8368676575,1399606.634352262,1142821.9849797222,886133.1331002741,651944.7351978678,449172.0050417226,327197.40719881264,255749.97031339878,240356.86615342813,279323.7274077912,344383.6801123999,492987.54098113585,611168.2650478465,673724.3766516966,646980.0565699366,523773.99942320364,359232.36278706044,197805.34435545406,94216.82773934405,30173.578906145678,1658.6154256798409,0.0,0.0,0.0,0.0,0.0
