1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7188,0.0156,0.1095,1.1178,0.0,0.9453,0.0290999999999999,1.158,0.2394,1.2027,1.0812,1.0392,0.5256,1.2399,0.0147,0.6177,0.0156,0.1095,1.1178,0.0284999999999999,0.9453,0.0290999999999999,1.158,0.2394,1.2027,1.0812,1.0392,0.5256,1.2399,0.0147
0.5496,0.3122999999999999,2.8983,3.4971,0.0,2.8137,2.6643,3.7407,0.9366,3.8904,3.7929,0.8049,1.5891,4.0179,0.624,3.2415,0.3122999999999999,2.8983,3.4971,2.9877,2.8137,2.6643,3.7407,0.9366,3.8904,3.7929,0.8049,1.5891,4.0179,0.624
4.728,0.5681999999999999,3.4356,6.6465,0.0,5.2866,5.0595,4.5828,0.927,6.9465,5.3193,1.5807,4.6182,7.0023,0.5112,6.707999999999999,0.5681999999999999,3.4356,6.6465,0.5463,5.2866,5.0595,4.5828,0.927,6.9465,5.3193,1.5807,4.6182,7.0023,0.5112
9.3087,2.1903,7.023899999999999,9.2988,0.0,6.8394,5.979299999999999,6.2307,6.003299999999999,9.7113,5.5266,3.5847,2.5347,10.1358,0.756,9.6171,2.1903,7.023899999999999,9.2988,1.5396,6.8394,5.979299999999999,6.2307,6.003299999999999,9.7113,5.5266,3.5847,2.5347,10.1358,0.756
11.706,5.5215,9.2604,11.7684,0.0,8.0763,7.7211,9.1467,9.2925,12.1677,5.382,4.342499999999999,8.3706,9.2208,1.521,11.5212,5.5215,9.2604,11.7684,5.749499999999999,8.0763,7.7211,9.1467,9.2925,12.1677,5.382,4.342499999999999,8.3706,9.2208,1.521
13.2084,2.9931,11.2071,13.5696,0.0,8.0502,5.379,9.9225,11.0259,13.5036,6.177899999999999,2.2275,4.4337,8.1291,3.1035,12.5526,2.9931,11.2071,13.5696,2.5401,8.0502,5.379,9.9225,11.0259,13.5036,6.177899999999999,2.2275,4.4337,8.1291,3.1035
13.4157,6.5373,6.6666,14.0736,0.0,9.6564,5.5974,7.8762,11.9802,13.7187,5.007,2.7303,12.1305,9.5061,8.6889,12.9027,6.5373,6.6666,14.0736,2.9394,9.6564,5.5974,7.8762,11.9802,13.7187,5.007,2.7303,12.1305,9.5061,8.6889
13.2846,8.856,10.0386,13.6536,0.0,10.2597,7.5153,8.355,13.4196,13.4112,6.3192,2.2194,3.4791,5.8968,11.925,12.582,8.856,10.0386,13.6536,3.7176,10.2597,7.5153,8.355,13.4196,13.4112,6.3192,2.2194,3.4791,5.8968,11.925
12.8655,4.412999999999999,7.579499999999999,12.4047,0.0,4.904999999999999,9.0021,9.2085,10.5048,12.3729,5.5791,1.7925,4.3386,7.3713,8.768699999999999,11.5536,4.412999999999999,7.579499999999999,12.4047,3.3324,4.904999999999999,9.0021,9.2085,10.5048,12.3729,5.5791,1.7925,4.3386,7.3713,8.768699999999999
10.9725,6.5886,3.915,10.3389,0.0,6.7995,7.259399999999999,7.8396,4.0374,10.2651,6.575699999999999,1.158,7.0908,7.794,8.0205,9.8127,6.5886,3.915,10.3389,1.3722,6.7995,7.259399999999999,7.8396,4.0374,10.2651,6.575699999999999,1.158,7.0908,7.794,8.0205
5.8176,5.396999999999999,2.811,7.385099999999999,0.0,5.8857,5.7336,5.7957,3.6075,7.5798,6.8907,2.4258,3.2661,2.2257,3.3906,7.132499999999999,5.396999999999999,2.811,7.385099999999999,2.0109,5.8857,5.7336,5.7957,3.6075,7.5798,6.8907,2.4258,3.2661,2.2257,3.3906
5.1465,3.7983,1.5735,4.4049,0.0,3.4338,3.3324,4.3479,3.4074,4.3569,3.9876,1.2635999999999998,2.985,1.4415,0.5673,4.1481,3.7983,1.5735,4.4049,1.3425,3.4338,3.3324,4.3479,3.4074,4.3569,3.9876,1.2635999999999998,2.985,1.4415,0.5673
2.1462,1.599,0.8213999999999999,1.5489,0.0,1.2345,0.7761,1.4703,1.4154,1.6152,1.4655,0.177,1.2258,0.1017,0.5241,1.4802,1.599,0.8213999999999999,1.5489,1.2912,1.2345,0.7761,1.4703,1.4154,1.6152,1.4655,0.177,1.2258,0.1017,0.5241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5817,0.0165,1.0695,0.3339,0.8402999999999999,0.7614,1.0539,1.1301,0.8331,0.2357999999999999,0.4025999999999999,0.1994999999999999,0.1389,1.0437,0.9021,0.5817,0.0165,1.0695,0.3339,0.8402999999999999,0.7614,1.0539,1.1301,0.8331,0.2357999999999999,0.4025999999999999,0.1994999999999999,0.1389,1.0437
2.8779,3.3174,0.258,2.4975,0.1575,1.9113,3.2841,0.2742,3.4545,1.0332,1.9617,1.5620999999999998,2.4777,1.1301,2.5497,3.2355,3.3174,0.258,2.4975,0.1575,1.9113,3.2841,0.2742,3.4545,1.0332,1.9617,1.5620999999999998,2.4777,1.1301,2.5497
1.0341,6.998399999999999,2.9925,5.3832,4.0059,4.6758,6.9159,1.2087,6.5946,1.2969,4.4862,4.2855,5.88,0.9135,5.2683,6.376799999999999,6.998399999999999,2.9925,5.3832,4.0059,4.6758,6.9159,1.2087,6.5946,1.2969,4.4862,4.2855,5.88,0.9135,5.2683
1.0083,9.8442,2.2422,7.305,9.4923,6.960299999999999,9.8142,1.9533,6.5577,3.9534,7.034999999999999,5.8779,9.663,7.2069,7.3377,9.3423,9.8442,2.2422,7.305,9.4923,6.960299999999999,9.8142,1.9533,6.5577,3.9534,7.034999999999999,5.8779,9.663,7.2069,7.3377
1.1037,11.3013,8.3832,9.0852,11.1615,5.6418,11.9319,1.7735999999999998,8.1678,3.6963,8.5749,5.4693,11.5938,11.3115,7.6509,9.8283,11.3013,8.3832,9.0852,11.1615,5.6418,11.9319,1.7735999999999998,8.1678,3.6963,8.5749,5.4693,11.5938,11.3115,7.6509
2.5155,11.184,8.1237,8.496599999999999,12.786,3.8088,13.434,4.7085,6.2547,5.564699999999999,9.5676,9.612,12.054,7.923299999999999,6.554399999999999,11.6343,11.184,8.1237,8.496599999999999,12.786,3.8088,13.434,4.7085,6.2547,5.564699999999999,9.5676,9.612,12.054,7.923299999999999,6.554399999999999
1.2552,13.3635,3.2859,10.4793,5.2926,5.628,13.9881,9.7992,6.423299999999999,10.1727,10.3956,7.6617,13.4586,3.6606,10.8777,12.9087,13.3635,3.2859,10.4793,5.2926,5.628,13.9881,9.7992,6.423299999999999,10.1727,10.3956,7.6617,13.4586,3.6606,10.8777
1.3104,12.4641,2.883,3.7011,11.0604,5.7,13.5408,4.011,5.1972,4.2606,10.752,5.5173,9.5196,8.685599999999999,10.1487,12.5184,12.4641,2.883,3.7011,11.0604,5.7,13.5408,4.011,5.1972,4.2606,10.752,5.5173,9.5196,8.685599999999999,10.1487
0.8871,9.6954,4.4388,3.7356,9.9021,4.5288,11.8911,8.2158,4.6209,3.384,7.613399999999999,5.5302,11.5653,9.0891,7.994999999999999,11.4051,9.6954,4.4388,3.7356,9.9021,4.5288,11.8911,8.2158,4.6209,3.384,7.613399999999999,5.5302,11.5653,9.0891,7.994999999999999
0.6377999999999999,6.363,2.232,1.4985,6.9087,2.7591,3.3828,6.1965,2.4777,3.402,4.6032,7.298999999999999,7.098,4.6356,6.1539,9.6744,6.363,2.232,1.4985,6.9087,2.7591,3.3828,6.1965,2.4777,3.402,4.6032,7.298999999999999,7.098,4.6356,6.1539
