State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
"(0, 0)",17889497.287243705,17513070.66877522,17354680.318305224,17142742.925338123,16724252.119338617,16333610.018085366,15918586.50913593,15487699.83651535,15184556.301777551,14647990.91200574,14189068.504411573,13662874.37828295,13122838.335541124,12576776.508942457,12123878.266625026,11579878.443646789,11095578.883329663,10583391.202288352,10324600.31018243,9877108.33238429,9449530.465443233,9223884.650972871,8839051.620852344,8432966.335822558,8052173.795439602,7597029.134389714,7130278.854150546,6708680.399727293,6272466.958485483,5845275.390052007,5460641.558210357,5091068.406014795,4724162.464894909,4527180.696189426,4210573.763476782,3791017.991476347,3509275.4975106325,3168680.3851707266,3140922.9185891994,3054929.3771237154,2792285.723744836,2553171.2480658176,2158937.791395347,1986952.4714097928,1645036.3449623007,1388260.4721713203,1168193.1049447597,971601.261220056,687021.7055439741,418812.8867549519,171450.24579892203
"(0, 4)",17820149.547605168,17616021.706564013,17351547.563686136,17142487.339831624,16728723.730614066,16329993.826202678,15937014.643256234,15389055.381515352,15183968.298874972,14677575.774292402,14161231.214687416,13564229.923282946,13024193.880541123,12478132.053942457,12023983.660541026,11480952.73357669,10996116.764442168,10547146.747288339,10334685.130921103,9881467.608410759,9449530.465443233,9153181.495638214,8735990.360379718,8333527.270144197,7951842.520259102,7481348.035661018,7099850.515400647,6663622.683367637,6171738.918345484,5751596.882421845,5558995.985479091,5196419.905020685,4851948.117660726,4526224.62734697,4210174.713670671,3898895.8812974445,3571737.220656632,3209727.53374161,3141697.241190513,3053368.9717825,2857742.3012568257,2553419.6461409247,2121168.0656118644,1902958.036946252,1679777.8627380745,1439782.3307409214,1169719.8860744995,1028164.2193797504,588487.0554808518,354214.51567413594,171450.24579892203
"(0, 8)",17589560.642093018,17544354.086682532,17262487.253456082,17052608.373494904,16712153.2077479,16156478.752522295,15720880.882107928,15426578.460176835,15104149.59329429,14450702.002005741,14027602.11810089,13465585.468282947,12925549.425541123,12379487.598942459,11925339.205541028,11382308.278576693,10897472.309442168,10386102.292288342,10167728.885921296,9792319.42238429,9315221.03616181,9053703.606582215,8637345.905379718,8234882.815144199,7853198.065259102,7391187.467969019,6932156.510094547,6511391.489727293,6073094.463345483,5727815.8241063235,5405494.039562925,5035619.257309034,4693095.0438897135,4431763.344080779,4117124.154197193,3799351.4262974444,3418952.0944034723,2974150.593339534,3061489.8093614187,2963919.347745932,2769725.1353275147,2472576.8943869094,2185805.5104390304,1953308.2802115476,1639142.185850785,1346874.6319906653,1135333.5462872405,916791.5202720957,499725.426790481,298512.6474967047,107427.2112018948
"(0, 12)",17585316.692861136,17312165.061423037,17037892.949540082,16841628.005425904,16490449.067236088,16099760.892237753,15697321.543005541,15275860.037218587,14882280.183619492,14441354.588784777,13944341.327812215,13366941.013282947,12846464.591316454,12280843.143942459,11886869.349186188,11295512.234654555,10798827.85444217,10287457.837288337,10014098.57501699,9581174.96738429,9133176.58116181,8953925.717526218,8538701.45037972,8203504.822803956,7754553.610259102,7290726.598109018,6871030.617087822,6478761.957246293,6054366.645644982,5628612.61205243,5254662.953365253,4898014.418698787,4550801.135265421,4223286.059360779,3907834.4341685013,3624857.122381445,3288976.2730926326,2973613.2031660317,2824924.959597256,2743731.4403732023,2553126.8605130296,2250866.176778235,1858837.2561153471,1772225.6271322134,1550600.1167784426,1297356.8235230474,1014500.4848561235,825816.6782839675,416950.1659349269,277387.74495585886,45975.78960187705
"(0, 16)",17485156.29076611,17213520.60642304,16939248.494540084,16742983.550425908,16391188.253025258,16001116.437237754,15598677.088005537,15193600.51376894,14785380.73117424,14350672.762755798,13849611.929290274,13268296.558282947,12764336.750447653,12182198.688942457,11793828.036618257,11191612.457035193,10700183.399442168,10188813.382288352,9915454.12001699,9482530.51238429,9033632.12616181,8819381.564694216,8440056.995379718,8107360.669971957,7682982.218775692,7192082.143109019,6772386.162087823,6380481.678202346,5953933.398075874,5529968.15705243,5155161.832334942,4799369.963698787,4452156.680265422,4124641.6043607793,3812162.5606349013,3526212.6673814445,3190331.818092631,2874968.7481660317,2726280.504597256,2645086.9853732022,2454482.405513029,2152221.7217782335,1760192.801115346,1603316.1723135167,1342079.9177968344,1122749.0579563358,829590.3749963245,711103.3661652844,443664.0425349518,188837.9058508595,45975.78960187705
"(0, 20)",17516035.831904847,17247470.57059853,16969837.473596085,16767644.860011458,16422948.30497423,15996805.295426557,15609829.1966238,15134371.955231791,14808978.85364821,14371049.516028948,13798530.354397768,13171573.961192295,12631086.916002208,12093513.116815507,11800702.47800912,11088112.99686637,10603134.091916554,10114421.154944202,9945793.315558229,9500286.05738429,9061887.67116181,8760053.319392256,8482239.455402113,8053988.712411747,7623037.763775691,7113253.9466313245,6719631.854133546,6284155.734296815,5782296.200731997,5588916.705218114,5182477.748905524,4811539.338832788,4475278.265895121,4142813.8663887796,3823773.2448701016,3506418.061297445,3182968.517200094,2688292.958130957,2767223.312473418,2669602.6997739333,2477226.8259722297,2179337.1049993956,1892140.9311924467,1651530.2716753818,1361288.6851520322,1169421.1586573345,823647.1652040196,593690.3400619003,380667.9784954136,157832.90690545944,45975.78960187705
"(9, 0)",17579741.189177018,17369988.850268725,17067793.649039026,16950904.541630834,16601493.455979466,16270269.029829366,15754816.717131928,15389515.181174302,14932890.150650749,14509640.85870974,14102391.362587577,13456182.732394947,12976502.048102371,12382886.373894459,11862179.973041026,11448602.161901144,11011244.068949291,10366455.6222147,10129020.738340838,9734269.772906112,9186634.758575909,8942580.955007806,8578603.478352344,8172518.193322558,7791725.6529396,7319544.348161017,7039851.259074546,6448232.257227291,6069525.765849482,5646501.367696006,5249366.025014357,4985055.594091594,4512470.214670909,4182309.8672788627,3997400.352993321,3655493.476367337,3378426.3507186323,2966714.5297190933,2879997.6574587915,2793802.8591252887,2610800.3200745652,2394375.8622053326,1958380.1838993467,1699141.6763495847,1384636.617160815,1136541.817291679,902369.7195040522,710753.5988822295,592599.1292172608,338307.9179856035,130232.22180866404
"(9, 4)",17611841.81999566,17452502.698507737,16877952.833250903,16838508.42470683,16488057.209812498,16094647.735173365,15715346.080107927,15128607.239015348,14708813.87022275,14543340.240445757,14004163.624615574,13437547.946770946,12867924.995041123,12407290.15918246,11908136.326757027,11394779.299214212,10911781.950061798,10267811.167214701,10137327.295653528,9738629.04893258,9197318.50787544,8889983.202054216,8573849.167743718,8192872.079992197,7783550.874371101,7252002.310505018,7023234.771554004,6597293.550168854,6082144.757325483,5740739.493544008,5371625.3898678925,5013074.85031064,4532590.1126509085,4218202.878516584,3977204.1888242033,3431884.111271929,3280615.3297746317,2953208.925311605,2662263.2639763434,2794082.1240302953,2586139.0621972284,2394765.512299615,2108613.892598867,1640610.5863417517,1385190.318281805,1130947.8891449529,909271.7435744992,711153.1187200545,542176.7295858926,308330.2282138765,130232.22180866404
"(9, 8)",17623233.65135302,17380642.808386993,16783415.765710194,16782743.928830832,16448133.145347467,15959216.371185364,15664982.490735928,15335434.691195352,14935810.60785875,14499926.673189739,13731331.451911574,13352655.153694948,12822620.319625124,12440746.912854457,11952478.780745028,11277534.844214208,10882737.495061798,10169166.712214699,10043931.828340838,9647380.862906111,9020409.078594014,8774453.953242214,8529741.772815717,8093610.303628196,7685206.419371101,7152540.836309017,6989748.351558547,6454224.719403293,6121352.568585482,5704512.359908006,5285107.731770358,4913969.101435594,4468290.671878909,4220723.194221466,3919912.651665321,3552023.4457919295,3303809.1435186323,2995924.888048044,2455150.304933296,2701918.0375647023,2558761.4753092285,2317611.4942148495,2041180.0112269677,1594026.7684106592,1366269.247724853,1094722.1908836707,880142.310188837,591060.5529516982,394572.1159622222,217978.67725758653,66767.72518067167
"(9, 12)",17397154.855793018,17143368.20355176,16777670.910754193,16678724.047226831,16321812.055071466,15978086.118081367,15546810.64503993,15108006.348887349,14714882.86988675,14273714.74574174,13808958.299755573,13252760.547610946,12733977.073297122,12224169.62813446,11741267.759801028,11150090.38921421,10714493.040061796,10070522.2572147,9833087.373340838,9438336.407906113,8880964.623594016,8602571.229498215,8429347.468899718,7942048.225096196,7573245.247343102,7040696.381309018,6763086.8773625465,6333987.516435293,5901107.811417484,5487667.904908007,5063445.9554063575,4707457.778323595,4354886.902966908,4011245.6073334664,3709434.7626093216,3374612.12267993,3112913.3287626323,2797321.238102727,2495689.337285296,2484596.9983039727,2341120.1278385655,2089795.1484268198,1804664.0424753476,1490629.2056838765,1235687.461875134,1000199.733865311,810124.6111953262,461998.9227720949,321570.3250401338,193918.40331506752,13324.420159800144
