State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",71112415.55857672,74651109.24060427,74139450.041963,73895863.11546966,73369550.86151432,72910562.36640112,72308094.29498197,71805511.31892817,71277854.23864077,70675558.33619726,69909702.55598709,69090978.4239182,68084326.57159881,67087593.697295666,66291520.58508699,65254819.58764036,64113866.78712432,63090414.90533167,61975172.4837226,60991542.52281208,59847827.97091759,58632849.280336805,57437223.87883275,56314797.23376875,54995528.792665504,53744503.9780577,52369652.865487985,51036073.02036858,50084386.57730114,48978578.04015232,47908776.946321115,46906906.75142447,46065128.69166772,45453565.38118683,45211403.175444305,45254461.75209721,45347307.12000868,45685563.72649901,45742686.025400974,45621703.41132022,45204263.66044914,44599327.23208591,43825960.22952622,42956162.1550428,42210340.35963035,41437161.89862558,40697197.27364173,40010527.0857553,39290804.52324203,38556792.17232333,37788018.82518001,37162388.52230891,36521433.954286546,36004116.526737705,35651713.22436364,35509663.21829272,35296464.20603889,34920066.4757137,34367642.04074968,33907080.57646464,33386932.32334212,32826126.393190853,32057313.78958193,31142617.239716716,30051885.304904923,29052347.970595304,28195605.86896265,27145652.96920376,25982696.300711077,24857287.926650926,23717601.071339212,22654790.127392888,21615766.031826746,20452225.76945122,19320419.15418247,18274221.334290016,17080523.541849013,15933640.946557073,14660197.668091163,13430464.973011812,12495714.0824368,11520051.340789244,10500020.375699043,9491114.5197138,8697013.811239544,7989291.134335814,7599314.787526917,7575012.044257362,7637523.322604894,7984938.178451869,8149965.093878158,8093058.820021133,7878888.242848058,7318107.936201544,6584362.496873612,5803194.691200197,5183923.572389963,4527494.9140259335,3861292.195683557,3212185.204768539,2573856.866708867,1974940.8801244749,1256036.2664727836,607262.4915773541
"(0, 4)",71112415.55857672,74346806.95744462,73835135.99004911,73589938.16737618,73063194.637176,72603191.37116182,72000272.35877767,71496936.6891522,70968552.48223877,70365729.94336435,69599757.22574377,68780857.00583486,67774117.62376335,66777290.30713021,65980703.085845955,64944034.853951454,63803244.6211124,62779643.275272705,61664523.89077148,60680533.64692182,59536953.479421794,58322307.254472025,57126532.140824035,56004549.15936111,54686181.03078183,53435075.645155,52061074.61178377,50729661.17561707,49778694.79300426,48675464.68707537,47607186.86927499,46606253.821296744,45763922.46237047,45152162.54433523,44908076.086891875,44947546.94412223,45037270.526857786,45374127.52079934,45431122.00793244,45310131.39867926,44892691.21129003,44287755.57523649,43514391.71861134,42644596.95456961,41898779.57844569,41125658.38660885,40385899.73906899,39699455.76922358,38981401.95477439,38249447.02932703,37482851.785863206,36858464.80682439,36218619.371689744,35701440.97066753,35348257.98698746,35204157.910544485,34989348.1139976,34612063.32377794,34059116.00106231,33597758.350507416,33076998.042076543,32515633.61052236,31746736.402594272,30832069.361421242,29741289.955771025,28741632.454725426,27884540.219083317,26834505.168363463,25671729.3040493,24546651.62976505,23407186.25559899,22344209.73033266,21305290.103133306,20142364.36050171,19010783.937073097,17964409.526418794,16771170.449244993,15624787.466618704,14353309.063723333,13128749.844866216,12197054.688714946,11225600.325394666,10210733.17380991,9207276.174340071,8415892.61643909,7710073.093066681,7316825.917630491,7282957.987339481,7334591.239368231,7674708.91643714,7838649.155169378,7781532.359208077,7567336.262062597,7006570.8043254595,6272937.972290272,5492231.788285546,4872815.384970247,4217604.85474463,3555268.478681049,2912262.5399181037,2279607.0242491956,1685677.917909587,978231.669717855,359803.4239929401
"(0, 8)",71112415.55857672,74048331.91190957,73536121.96114503,73288617.11530645,72761308.39585847,72300102.24691997,71696554.59514765,71191817.50813615,70662499.39489445,70058878.46294501,69292734.99749923,68473695.7963746,67466933.07389885,66470070.52573871,65672544.94648789,64635873.56851136,63495705.93421477,62472148.09104347,61357616.33060068,60373514.80623181,59230892.48087421,58018336.784043245,56825357.95565642,55705428.87698787,54390371.59617505,53142345.01519905,51772089.49358497,50442381.583270155,49490726.85921418,48388288.90357574,47320422.063309826,46319685.65544478,45476408.76674769,44863011.476426214,44614030.44679992,44648083.094593294,44733926.57155305,45066691.40114921,45121650.12919659,44999646.40500945,44581893.21151049,43977950.82459492,43206540.20424767,42339095.84626141,41595271.107035145,40824271.97396515,40086524.04590183,39401896.57642644,38684402.30218118,37952701.65343301,37186622.48751071,36562659.67236957,35923162.27320153,35405642.99072998,35050764.221122414,34903187.54102202,34685569.13763143,34306898.28090113,33753335.77625752,33291144.43958849,32769597.201780878,32207345.936780628,31438373.406174816,30523784.95391744,29433273.991080053,28434009.803197816,27576657.85319743,26526915.113772556,25365079.35014865,24241645.072245494,23102976.984028764,22041790.33459767,21006686.175261535,19848679.764730312,18721649.68577177,17679150.31821346,16491477.78677123,15349763.541658819,14083471.661858723,12860453.29424461,11929003.179678487,10957885.049097238,9942715.292589772,8939713.835261455,8148513.20862379,7442786.193485342,7048532.397825578,7012189.535111247,7059123.018929093,7390168.833909309,7547389.133452881,7486441.305801321,7271331.725792177,6714146.350512562,5986425.50525879,5212312.619126691,4599060.878497874,3949335.395990253,3289645.0567944804,2646783.284321995,2014274.9205971383,1421848.0577204907,729701.9811664558,178776.4595782473
"(0, 12)",71112415.55857672,73756724.83219689,73244099.10780933,72994014.53180756,72466178.47192107,72003293.66549703,71399584.5040558,70893129.84058698,70362129.36142898,69757614.82775271,68991968.4535575,68173558.92404321,67168638.93754014,66173200.28209801,65376169.40595274,64341231.86625496,63203036.98221988,62181468.16193014,61068753.19057797,60085909.13440917,58945304.791465975,57733693.20520708,56540687.59517352,55420649.40639265,54106779.23367179,52860080.679719135,51491636.895245604,50163522.32056944,49212381.87448779,48110750.839719325,47043179.957906835,46042385.229772106,45198152.67288041,44583349.905831926,44330043.483216494,44357163.49987888,44438343.93857904,44769462.407676086,44824003.03853542,44701899.062116876,44284641.42943528,43681087.16420277,42909683.24121025,42042248.10867582,41298440.71169264,40527631.93970816,39790652.3652297,39107963.95116752,38392701.68745789,37662957.74479502,36898649.17097023,36275349.271140836,35637987.779496975,35121081.16320701,34765347.36628924,34614282.321558125,34394664.7461842,34014666.49064617,33461835.38826189,32998951.700699426,32476547.074705917,31913801.115230348,31146246.797514547,30234147.34681327,29147184.7728585,28150357.942286137,27294105.97009199,26246890.432922658,25088097.88709858,23968113.77597101,22833554.231833458,21774318.42818626,20739222.194674727,19581448.441546135,18454664.85006489,17412361.63237115,16224982.71009998,15083591.547191221,13817706.010224907,12594920.287914688,11663485.188303484,10692367.057722237,9677197.301214773,8674195.843886457,7882995.217248792,7177268.20211034,6783014.40020544,6746671.530486079,6793605.0039393725,7124650.78165961,7281871.132992504,7220923.314426322,7005813.734417177,6448628.359137564,5720907.536629319,4946795.194929663,4333542.96465967,3683818.931467762,3024137.232424328,2382014.4824756356,1750564.8954459871,1164270.9841652806,508138.9428101567,126001.06102221215
"(0, 16)",71112415.55857672,73476363.70051408,72963725.30051666,72712537.31021549,72184805.14437751,71721545.0993246,71117885.65483414,70611022.835027,70079798.7267492,69475155.13909577,68709595.80303174,67891119.10715091,66886194.65065698,65890843.66080311,65093499.542499244,64058606.40884508,62920833.5601929,61900067.88981102,60788272.49656892,59806035.110782236,58666539.73408803,57456096.0866725,56264187.860008575,55145290.177221805,53831962.18544222,52585755.17075357,51218646.75311837,49891776.413141906,48941073.64585355,47840488.801836565,46773541.52344966,45773187.9260497,44929015.10008447,44313559.592757575,44057310.11101606,44077744.711398765,44152154.43875473,44477063.19962507,44529042.29830618,44405694.53862736,43988077.11656203,43384806.95750895,42614763.33552823,41752290.76840234,41012725.450483315,40246372.304592624,39513354.747543275,38833105.515555754,38120225.98364213,37392763.35716513,36630880.004682966,36009225.78375763,35372003.556512654,34855113.65364287,34499313.93248609,34347784.17156338,34128101.503874235,33748069.65849407,33195241.907165952,32732334.158813573,32209893.848692685,31647106.93339307,30879553.056682535,29967452.84381335,28880587.53172608,27883856.98402611,27027628.2874991,25980500.280647926,24821832.145709004,23702007.713329036,22567610.268213317,21508570.172572784,20473665.85802896,19315930.450171143,18189146.85868989,17146843.640996147,15959464.718724973,14818073.55581622,13552188.018849907,12329402.296539688,11397967.196928483,10426849.066347241,9411679.309839772,8408677.852511456,7617477.225873791,6911750.210735341,6517496.408237974,6481153.537754559,6528087.011138972,6859132.787524812,7016353.141617506,6955405.323051321,6740295.7430421775,6183110.369365829,5455389.772215816,4681277.8167282995,4068026.1475961786,3418319.8940575677,2759098.3100006296,2119486.788032305,1489666.9096778654,920219.9017650695,339973.3821310262,126001.06102221215
"(0, 20)",71112415.55857672,73202136.99039406,72689576.46813843,72436929.52197224,71909187.39358091,71445380.99571194,70841993.89827071,70334804.31328347,69803058.30419292,69198140.75817162,68432927.92538226,67614839.27340806,66610889.59097904,65616162.92775596,64818705.727817155,63784590.6337878,62647559.06111951,61626818.62753036,60515074.513819925,59532809.73091608,58394335.86792633,57185022.89182048,55994305.198299296,54876305.07803489,53564376.087654874,52319010.0652696,50952283.74075974,49625810.71062884,48675471.48462107,47574970.809759915,46508023.53132145,45507843.406324245,44663497.10736795,44048144.83375225,43791970.78026882,43811528.56171815,43885223.20695023,44208205.68008694,44258382.42649655,44133920.71838966,43717050.85193335,43116437.650148064,42349197.2367022,41486771.376347475,40747206.084323,39980852.98885863,39247835.485009484,38567586.13047175,37854706.831811324,37127244.428277984,36365361.259170204,35743707.7899935,35106485.56270203,34589598.228663504,34233839.75101118,34082578.19339203,33862378.36205988,33482351.706938982,32929545.29228001,32466643.432651702,31944212.637878157,31381444.294210482,30613935.167774767,29701904.706311174,28615069.499466695,27618338.992651097,26762110.296124104,25714982.289272934,24556314.154333998,23436489.72195403,22302092.276838318,21243052.181197777,20208147.86665396,19050412.45879614,17923628.867314886,16881325.64962115,15693946.727349976,14552555.564441217,13286670.027474904,12063884.305164684,11132449.205553483,10161331.074972244,9146892.230645424,8143159.861136453,7351959.2344987895,6646232.219360341,6251998.994948642,6215635.546335804,6262569.01976397,6593614.796149812,6750835.150242506,6689887.335407225,6474777.754078633,5917592.406933651,5189872.333871904,4415778.061910143,3802522.9029824436,3152936.793070544,2495099.156032579,1859415.0804880685,1236232.1331017083,699128.8189438739,257912.90906085412,126001.06102221215
"(9, 0)",71112415.55857672,73975290.23878363,73473882.40185893,73214557.27283373,72694292.67158169,72229770.76109621,71630188.24176274,71119998.29534008,70587826.51409885,69979852.96803416,69214670.8703228,68395491.82872921,67388774.51995134,66392626.21636878,65593905.85954593,64556766.27955351,63419076.75223597,62393443.9196301,61279566.90843908,60291714.50105002,59149320.541377634,57936821.81840121,56737328.84630097,55615071.180444255,54299096.756753124,53044197.07542915,51673632.42941147,50351841.15704217,49395639.48562693,48308854.96160555,47258871.0892335,46301156.862014405,45507401.2929924,44964169.06756598,44698417.01429352,44659839.69146981,44690113.1538295,44991587.98705502,45042233.20988765,44920664.76064049,44503224.31596062,43898287.99976867,43124921.630861185,42255130.755004935,41509305.41259034,40736145.8627041,39996264.104167916,39309584.22465312,38590207.81510383,37857532.8871324,37094852.227542885,36473007.36567906,35844151.44833381,35345252.75599072,35000012.76492738,34841721.585492276,34615117.80603282,34232927.46581287,33680196.21392811,33216607.20534348,32693006.212143518,32127637.351084895,31358510.06146513,30445175.22803064,29352892.068630878,28353094.382786833,27495620.75787089,26445268.653033074,25282701.50980198,24158637.65291567,23022182.218680028,21955690.072479606,20916419.460416958,19755992.543686233,18622802.57175422,17575493.264750686,16385035.16838363,15234132.060436543,13964016.734570088,12741558.63765878,11809109.818195183,10837357.471149866,9834357.858005421,8861571.141605712,8099572.056971251,7483837.298049665,7101371.493758419,6996481.0351667795,6995106.590592875,7294214.995708134,7449474.586942373,7392056.387008816,7177860.940225134,6617082.540143603,5883379.493324406,5102574.152214554,4483061.194630792,3827261.062885477,3164004.934045583,2519791.4511211547,1885940.863132154,1298888.601552014,634138.3012098231,153441.55186757003
"(9, 4)",71112415.55857672,73673470.08650036,73171991.00135306,72910719.78106052,72389810.28257684,71924147.47595114,71323931.248812,70812782.88272008,70279739.75506787,69671002.12925804,68905557.96031898,68086127.77321501,67079269.5100558,66083014.50864951,65283613.563544735,64246489.709566176,63109022.67499575,62083105.37482628,60969338.30448689,59981054.92993655,58838834.51402359,57626740.533225365,56426979.3898786,55305138.67653683,53990006.93457469,52735167.41188138,51365891.5293251,50047323.99357304,49093255.130732074,48009013.98100337,46961188.21354192,46003649.06266031,45208095.896731965,44664456.764578134,44397018.86311142,44354602.75477128,44380961.174370036,44680397.66558012,44730721.87252398,44609094.76831076,44191652.56745113,43586717.38002862,42813356.823293164,41943584.3776584,41197750.484394975,40424670.95837418,39685054.6172488,38998614.831950754,38281137.09277172,37551124.00338165,36791374.10863809,36171434.607446134,35544284.38940843,35045366.11725029,34699161.35125736,34538387.69940496,34310112.0774852,33926596.369861566,33373515.970925305,32908599.886626504,32384035.186669413,31817798.08026591,31048549.145246696,30135281.8917322,29042917.81423845,28043028.348822802,27184911.365850545,26134519.448840152,24972233.39328437,23848559.98987725,22712532.794494517,21645817.240094468,20606500.109482605,19447106.227008183,18314116.382267434,17266232.477855336,16075975.035353946,14925911.93756177,13658343.762626445,12441716.322444027,11512843.553857407,10545793.325122515,9549663.616929065,8584547.42459478,7825233.34781563,7210831.55650062,6824875.696792152,6711112.736406634,6697691.6730755735,6985961.880917537,7138857.9644977255,7080624.832504418,6866335.739357754,6305565.292305356,5572024.746898631,4791908.214587023,4172082.096870001,3517797.894077887,2859180.875785088,2221021.288091193,1595078.321730272,1014853.4416460528,369765.1718980255,0.0
"(9, 8)",71112415.55857672,73377081.21407771,72875080.5834107,72611221.66559212,72089941.62428635,71623094.3477642,71022254.78980109,70509290.70682694,69974758.72767554,69364997.27464297,68599459.86675963,67779609.26674864,66772779.18848648,65776720.41232234,64976058.8228418,63938829.79228006,62801791.03423405,61776075.947328195,60662905.151986234,59674197.44669843,58532916.28514737,57322947.548280016,56125958.062834546,55006132.669401996,53694341.70923886,52442543.71626883,51077456.053358324,49760806.5548439,48806015.71027866,47722348.28261593,46676952.68266067,45720152.346767426,44924618.831192434,44378243.40732762,44104281.033469684,44056711.03479259,44079361.65152293,44373687.95803458,44421353.91187002,44298610.714165494,43880854.78628421,43276912.405409075,42505503.87799592,41638079.68707093,40894245.40515036,40123287.5015803,39385697.803243235,38701083.21803887,37984202.53457426,37254627.14571899,36495871.82677641,35876884.08750304,35250818.1872023,34752874.611806884,34404749.34542179,34239726.17321195,34008811.13633379,33623563.067232564,33069541.290529083,32603614.142011587,32077848.21952445,31510139.158645444,30740881.492783457,29827705.577347018,28735635.195222314,27736243.040463172,26877438.97630887,25827064.186767735,24665740.11553848,23543829.990878753,22408670.458070967,21343480.709559932,20307886.88158344,19153306.88965377,18024922.275723055,16980941.577214323,15796308.023681099,14650880.867283273,13388593.579147145,12173495.133883521,11244857.812950885,10278115.403262187,9281756.869774938,8317248.481655693,7558818.148194387,6944572.011015352,6558279.138437581,6443027.705491635,6423914.039765602,6702167.169299894,6847560.549353169,6785505.000378198,6570328.588125848,6013150.285469713,5285527.573804077,4511987.143344641,3898349.654976919,3249554.4959841813,2593562.454626511,1955521.3043604821,1330407.8753694373,763625.5803588434,197019.1624459179,0.0
"(9, 12)",71112415.55857672,73087616.81353165,72585984.43959127,72319368.72602074,71797424.43474531,71328415.05828145,70727145.67238006,70212386.423269,69675630.257638,69064684.24084948,68299392.16214222,67479853.86991838,66474959.47636258,65480280.95760076,64679778.084463775,63644425.359492965,62509263.765265234,61485597.10300471,60374271.88827476,59386598.647350855,58247372.31098374,57038433.05329795,55841311.796539575,54721369.08811101,53410841.30282236,52160312.541210584,50797194.638608195,49482470.46249867,48528127.892585896,47445148.10841395,46400986.65421088,45445145.29080416,44649376.57701013,44101982.47329033,43824590.435746886,43769421.647671305,43785268.462738775,44076612.7945206,44123748.27433711,44000862.05568793,43583602.70125496,42980048.82714931,42208647.21016147,41341234.00864541,40597416.04888839,39826652.36712859,39089848.0196614,38407167.04136291,37692582.15037514,36965161.92634695,36208952.36462631,35590697.5900783,34967945.77385786,34471397.2512434,34122306.108778425,33953642.88817023,33719992.47164984,33332726.088607837,32779496.550192628,32312499.275978986,31785292.31936172,31216786.46710259,30448826.03168866,29538106.585701488,28449490.62481093,27452433.81638433,26594780.06194098,25547022.15042278,24388745.77513446,23270294.26423419,22139247.575568512,21076007.423545066,20040421.616736416,18886067.90506179,17757931.727695357,16714151.467943342,15529813.779726528,14384708.831714405,13122829.708756952,11907962.198591689,10979339.821575884,10012597.411887184,9016238.878399935,8051730.490280694,7293300.156819389,6679054.019640349,6292761.145348158,6177509.7055528825,6158396.029287553,6436649.109252296,6582042.55797817,6519987.009003198,6304810.596750847,5747632.294094713,5020009.944532748,4246470.733259528,3632833.7334670275,2984046.9762992244,2328066.4680698416,1693939.7776741916,1077581.7409957193,539740.6555253747,79626.74398956448,0.0
