State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(0, 0)",2905013.0892413063,5585268.41883609,5481229.242670749,5383969.402125946,5349270.301927651,5188509.445407874,4984858.498539608,4854094.482798526,4683796.396030001,4597853.388896646,4395294.534452213,4202696.894458871,4065391.45584454,3945068.9976806566,3764433.8746805275,3565670.007259303,3430482.189313572,3344124.029899302,3190431.338875154,3119614.9746209406,2987013.869996316,2871084.8350839973,2739941.108101678,2547807.5989800175,2340676.8977882206,2173491.602289976,2050902.2231280473,1882155.6549140594,1699755.7900657584,1544083.6028940224,1422071.1511692258,1268867.6624754549,1138905.3513820786,1037882.4251176523,965784.1245229574,886426.0483059458,817855.5105902448,793220.8294064307,799121.5969587575,777768.0386165823,725811.9519147968,737227.8067852334,717582.9873849911,696669.6698932387,667577.0546420526,656081.2457106303,573855.6974050466,513355.97277290386,427599.1942996783,336235.8320575669,218683.95069698212,122135.00923855724
"(0, 4)",2905013.0892413063,5395510.840435942,5295202.062877885,5199924.030475488,5163979.162410518,5003188.277172702,4800364.692855842,4668117.352396002,4496356.880903205,4407560.785094691,4204038.495338621,4009924.108940758,3871437.152789352,3745216.8897546143,3561858.730126819,3367164.43104288,3236301.7253504945,3151553.831332867,3000332.474724661,2927670.6445638193,2797316.8433964946,2689080.3297418114,2565769.982933048,2380528.528122723,2176778.4862851677,2011004.1395289674,1888234.6173348199,1721095.5802697116,1542977.5940755843,1389264.911406334,1266933.4687036418,1114883.4730694091,987875.4243747287,895794.2013708411,828179.0041216954,751223.2825531559,689414.1919429502,668660.9006769083,674841.1639628934,653383.9686937795,601549.8721050269,610885.7228715797,587461.7667237908,557208.809339167,525509.4037970713,512600.8205209969,432721.1774655604,374653.34788182506,293778.4350620325,209310.94475285808,115844.28644476086,15383.232314666704
"(0, 8)",2905013.0892413063,5211738.194567367,5112313.031616614,5016792.337226426,4980219.015659686,4819452.02164569,4616825.431687517,4484177.648506398,4310967.185534566,4219312.500793478,4015846.7651347765,3825343.9098584526,3691050.255828193,3567557.829209929,3386875.8624661714,3195214.9881357676,3065612.500760004,2980942.726241627,2830020.4053255394,2755682.143769385,2624995.1966302125,2519743.4933793633,2401294.391217204,2219958.8258458343,2020128.6974394124,1856424.548893155,1735434.4879627482,1570222.8163807332,1393547.2328867065,1244216.47732925,1124061.7937228647,974654.9313851877,854916.9708527628,768081.8562746666,702301.3185913337,626670.735419446,571416.7814235718,553278.9244706514,558722.9615359029,538015.5386803438,488277.9572250829,496532.2719881233,472518.4441799539,442607.4225935171,406321.00197615044,387993.5257852248,308399.3293322155,251155.83737816205,180079.154132567,117594.52616122915,46006.30442961266,0.0
"(0, 12)",2905013.0892413063,5030440.72896958,4931510.704060858,4835701.877397761,4798266.752038939,4637723.4400827335,4435620.509175013,4302327.184711767,4130490.7080933996,4045892.8331594383,3847490.031711714,3658573.0961498544,3524448.148671734,3400103.589676009,3219117.393765854,3027651.654621308,2898934.070221102,2814119.566341173,2663272.469623299,2588061.520030173,2457391.5188973984,2356063.2247741446,2240641.0472128326,2068526.133947642,1869411.0296436169,1708310.7057434642,1589378.989886504,1428251.8699058634,1261807.96139437,1114843.2772170757,994725.0450767258,846189.0967862336,728442.8766478079,646118.1096812724,584631.7583522152,512992.9403620019,464564.0227444714,451156.8062671955,458192.6546856814,442754.70716388465,395813.0451808759,400965.64505282475,373202.36342906434,338358.5794831434,297806.09154405334,271514.4018998705,199640.01124097762,150337.08586473958,95860.60683637839,47033.39011348155,0.0,0.0
"(0, 16)",2905013.0892413063,4852276.530455039,4753683.735367159,4655673.429797085,4618250.933569258,4458920.861753129,4260851.114946298,4133610.932101821,3967424.875503658,3882679.5358038307,3683922.1350752832,3494679.3621418364,3360339.3751563146,3235236.846058613,3053726.2490303065,2862946.6745345085,2735366.934764072,2650521.6595143033,2500254.292681859,2424291.1980012776,2295160.563094954,2196680.104252919,2087845.2781547755,1919859.654691163,1730244.7685398061,1571775.512252803,1452446.6730686987,1294979.0283289258,1133197.8777661808,988574.4293000577,868165.8049091494,720823.51446856,609017.1195200362,533427.082706855,477392.4931701647,414924.92420259246,374769.03669038444,363847.9450229328,370255.450298549,354450.5188487388,308978.21655796573,312652.5028483387,283956.45395786094,248386.85473020788,199312.89292124452,169128.58140419872,110861.20124620377,72230.57219702918,29446.72190506999,0.0,0.0,0.0
"(0, 20)",2905013.0892413063,4675240.592076652,4578316.516701652,4484812.3739871625,4453519.372344008,4297179.274983411,4099105.482116805,3971867.0436799973,3805653.640038868,3720541.828988485,3521682.695592071,3332274.3578461544,3198210.5766884736,3072897.8153691925,2891035.332996612,2701024.3323120214,2574950.2279319847,2490260.593793318,2340750.817253401,2265686.947561457,2138490.020073866,2043459.517149786,1939480.722046354,1779456.3797606546,1594808.9099177597,1438238.721362537,1320491.7244081455,1165574.1011589211,1007019.4922244756,865124.0948130576,745836.4559591919,602260.9791095691,499917.7360599177,432579.630850429,385577.16887090635,329805.2184102336,292762.9307283169,281976.0555592426,287516.3240464915,272323.29197677696,228282.6252881315,229234.81368999835,199960.62209212797,163960.07587639595,116373.29017869398,88741.29021734091,47201.66172770494,18291.338141140543,0.0,0.0,0.0,0.0
"(9, 0)",2905013.0892413063,5158622.038270742,5065810.243897915,4975184.712948311,4938393.340406741,4776324.930871778,4575942.540456869,4443326.061100518,4269914.664899757,4174919.8255169704,3969945.6895953417,3775087.725583192,3637544.5763619533,3508865.770122902,3322440.171497776,3129644.330275418,3001494.8483830434,2913329.6056458345,2761345.979566171,2683187.2359816907,2553839.446119399,2458161.9063163637,2341046.2291635866,2167446.496086878,1974913.50386943,1811859.1803091061,1689201.3925451082,1517958.6434263014,1351244.6851779344,1200147.8532791394,1076193.291140813,922933.0445819639,794499.2199335776,714974.2827496224,656782.3330815828,584820.7153539263,535217.3557722264,520845.48953452904,526789.4172694387,508013.975110323,456977.6204663104,462728.4627995966,436493.8768858892,403864.71026097477,363305.270646698,337042.41828076623,260388.17807168775,206778.31318275607,137634.97872533643,79788.81979650812,20504.835495414598,0.0
"(9, 4)",2905013.0892413063,4976831.499207467,4886441.112411463,4792558.50298047,4755535.942745129,4592973.7010358125,4393030.598993326,4260129.007302937,4086521.56306618,3991239.800438945,3786286.025298645,3591497.815310237,3453964.284724337,3325466.905600779,3139289.6416209303,2946621.6845804,2819185.71259831,2731530.42138015,2582032.724914211,2505293.7392258313,2380989.015743916,2288413.1955761863,2176206.6299873977,2005448.2153829325,1814245.6853224777,1651992.1282812834,1528439.2745888103,1366373.6086789002,1200545.4267075132,1051833.6103649717,928929.3558491186,778400.8060930931,666305.3652573248,592750.0786461763,535758.4658574044,469655.06864820124,425107.26701159624,411781.60630750115,417798.4763089822,398765.12683020957,349390.5148015403,353898.6415495686,324846.3749051174,289042.33307719807,240003.50041705286,208629.6307678066,143212.02209117045,99278.65867389317,54514.04200601145,14862.317534014708,0.0,0.0
"(9, 8)",2905013.0892413063,4798930.907694201,4708589.273298913,4611645.896942707,4573939.46993777,4411431.277239467,4212210.129066174,4078884.296582699,3904909.5175987906,3808507.6107297475,3603764.854246861,3409250.8153609172,3272151.9088955014,3144334.7435721187,2958696.1654871553,2767217.7824534625,2643424.1209359867,2558626.1717811483,2413373.1574862977,2338833.5264118067,2216660.282618482,2124556.3671396347,2014723.2311853878,1847336.6410294655,1660064.2279247958,1499430.2798143465,1377117.3653800865,1217465.837477957,1058599.2867350278,914785.4040316362,794547.7997048346,650640.7067720843,545880.8513693515,477325.4173579159,426472.7408844231,365176.6822785089,324685.7410609264,313093.29506951675,317784.7292839883,301685.71144516417,257180.17926165072,258896.23484531636,229327.38502183248,193642.06869369853,145244.51808036372,115475.4294747994,66989.09137363927,34315.70363275767,7093.212438579593,0.0,0.0,0.0
"(9, 12)",2905013.0892413063,4622141.033977399,4534890.956459543,4431615.717861608,4393909.29085667,4231435.898889797,4032897.4718160713,3899190.3904004404,3724923.7441277998,3627927.1009686785,3424587.834328261,3233629.184682195,3099253.598285389,2973578.0501339175,2790827.483037375,2602033.7022667094,2479334.3308296287,2394545.191565082,2249822.53500893,2175709.6966183446,2054989.1513726455,1964749.1541269938,1862603.48335375,1696522.0227633535,1509913.9515680282,1355411.6977571573,1238030.5862658718,1085754.3770761488,928701.4958292656,789865.0529231176,671533.4329152771,533496.3674207045,437431.6134389782,376674.60071851243,332359.2331263921,279222.6500699412,243784.72890606997,234017.03910186206,238568.14195239934,223044.78492429844,181165.59436944706,180356.4744989726,150722.02321235446,115131.9896721666,74223.64208070406,50893.29144065771,20688.64026732931,3845.623024295716,0.0,0.0,0.0,0.0
