State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",11321137.085332207,16077576.084922783,15994815.133911703,16010479.8009403,15921299.84874803,15854129.747873578,15730453.222704273,15637555.98406417,15538385.541874932,15427292.304749276,15225034.751386369,14989418.847249273,14696444.657368878,14414957.36471599,14238452.279270126,13962420.703250239,13646232.737074865,13340189.64179936,13021379.775695166,12720993.342251038,12385823.302944316,12031949.013904922,11676710.835050946,11374717.119732665,10989836.466523644,10628180.248604812,10255040.034080656,9892351.237982303,9615991.174500648,9327479.909806276,9062173.741386242,8802559.855486736,8626092.280578157,8547106.29909894,8642513.742816951,8859891.489954919,9067055.17791361,9358007.710974747,9564139.795706397,9682734.992636422,9666116.091238173,9579105.206054512,9430328.450070145,9248321.55708013,9120171.297920667,8961338.443881461,8814706.563547181,8680648.535692666,8539465.074489785,8405594.983128173,8218303.710444791,8059082.692942996,7916884.428943929,7827756.831787368,7780583.131570625,7797510.778781972,7760184.806286484,7718501.138522812,7608354.25815604,7524420.633550847,7420356.960749958,7341149.816771607,7139544.633052492,6895814.032774469,6589919.082840648,6312130.149690882,6103592.551702798,5824030.726263111,5508320.279761213,5181800.208343569,4879805.276466296,4580757.248503195,4276098.166481429,3928025.9358201753,3594629.114285653,3304649.403630412,2951217.5854732404,2606558.9870829047,2244502.545112266,1900880.6813835674,1642096.419198995,1376450.4467384736,1131039.4481842732,874990.5298870795,698245.3612276547,587249.5235034362,587439.795007746,714609.7100365818,881439.9056742081,1161325.0658547757,1386387.3276352328,1533448.3090089848,1569827.3992087147,1495028.2515538284,1358413.420348965,1193302.071210348,1096130.1904783791,982972.9749343033,857150.1657792045,730270.7243024559,585848.7159010422,477459.39192309254,302289.34163623065,144555.01385109505
"(0, 4)",11321137.085332207,15766002.936767995,15683241.985739235,15698906.652749827,15609726.700563205,15542556.599685797,15418880.07451554,15325982.83589994,15226812.393906202,15115719.157184863,14913461.618691783,14677845.74453933,14384871.586707886,14103384.32477776,13926879.265626667,13650847.555113371,13334659.58894455,13028616.493685057,12709806.627580341,12409420.194073105,12074250.154813042,11720375.866330972,11365137.688118216,11063143.97336715,10678263.320920756,10316607.108246442,9943466.91146297,9580778.132912362,9304418.084772373,9015906.843874829,8750600.73511293,8490986.94897694,8314519.417604888,8235533.460027278,8330940.836476134,8548318.584309433,8755482.303283911,9046434.862258833,9252566.94033833,9371162.016738432,9354543.075210651,9267532.254133923,9118755.566648517,8936748.6775535,8808598.41570062,8649765.562092463,8503133.41541602,8369075.387559569,8227891.92636876,8094021.837002051,7906730.569734295,7747509.562109461,7605311.303464888,7516183.707692348,7469010.006212881,7485937.645023653,7448611.672346795,7406927.999644047,7296781.117787951,7212847.491345178,7108783.8169463035,7029576.669816178,6827971.490062857,6584240.901696236,6278345.959908917,6000557.031476979,5792019.421000391,5512457.669567618,5196747.334294506,4870227.679450025,4568233.067002666,4269185.355642398,3964541.018733009,3616509.1796146543,3283141.7834875886,2993186.0173017094,2639769.498347582,2295334.5949866767,1934009.7721376235,1592542.8708549791,1342118.405313226,1087947.6186317853,851044.6987129899,613389.2228679196,452915.072273509,369197.236300998,376334.801581612,472669.85219136986,610750.1698240987,864520.0674086758,1077492.714876239,1222067.9305074646,1258280.2814974254,1183494.7375378816,1047193.4032981433,883076.5913250404,784993.4753744007,673088.9252326558,550255.2721189304,430184.2962313165,299163.7867309226,203960.10248756866,70632.3708418609,0.0
"(0, 8)",11321137.085332207,15454429.791646993,15371668.840909256,15387333.506548416,15298153.574940072,15230983.499567073,15107307.002429131,15014409.78972409,14915239.372534668,14804146.160415309,14601888.635972094,14366272.761821724,14073298.603988526,13791811.342051864,13615306.282900931,13339274.4073812,13023086.44133271,12717043.346615555,12398233.480774192,12097847.046999877,11762677.014685644,11408802.744503004,11053564.584440233,10751570.888695033,10366690.25720338,10005034.05415947,9631893.871411677,9269205.199365553,8992845.675905427,8704339.80527615,8439028.317702893,8179414.549999016,8002947.004141473,7923961.004247067,8019368.135652798,8236745.77354674,8443909.4918877,8734862.050784102,8940994.128831463,9059589.205231542,9042970.263703106,8955959.44262698,8807182.755141875,8625175.866046598,8497025.604194734,8338192.750585629,8191560.283105462,8057502.267153348,7916318.817944914,7782448.738196036,7595157.477579975,7435936.471358539,7293738.215776105,7204610.620256989,7157436.912762974,7174364.534453904,7137038.562590365,7095354.889715118,6985208.015186022,6901274.39412702,6797210.729041674,6718003.58834885,6516398.4182717325,6272667.832156527,5966772.900450345,5688984.3387988685,5480448.376569958,5200903.769773288,4885232.489875403,4558754.51052885,4256799.265499497,3957788.365494047,3653172.6988134687,3305332.8722311985,2973094.210831589,2690784.5141558037,2347187.394142551,2011833.0129158134,1660212.5137713396,1329245.5683567883,1081085.8267115974,836513.9335958441,606272.3082960997,397183.07270860043,275680.7075598261,219288.2319278742,221933.16363568307,283082.47453416704,383600.0859897951,592112.8924190254,780021.6757482772,912531.3789771348,948410.70246718,875868.3064271555,747048.1932704317,595237.6720973671,504866.1691193182,407672.1736571761,301761.5671244748,192334.6773588984,95168.67916335541,28306.45941671394,0.0,0.0
"(0, 12)",11321137.085332207,15142856.754880132,15060095.829691228,15075760.517237624,14986580.592407685,14919410.516927803,14795734.01976789,14702836.807054205,14603666.389851961,14492573.1777248,14290315.653283753,14054699.779147182,13761725.621334407,13480238.359419761,13303733.300175201,13027701.265207957,12711513.327053143,12405470.26132113,12086660.423453186,11786274.014394945,11451104.00376791,11097229.738143276,10741991.543397117,10439997.90664819,10055121.233410222,9693471.140426384,9320337.301766759,8957654.526448684,8681300.120672304,8392795.455866428,8127458.23066949,7867844.2225131225,7691375.309260798,7612388.930742772,7707795.616871921,7925172.988504548,8132336.681073938,8423289.239377173,8629421.31733098,8748016.393723655,8731397.452197684,8644386.631120194,8495609.943635128,8313603.054539874,8185452.7926930785,8026619.939085682,7879987.192315182,7745929.176363944,7604745.727154691,7470875.654900295,7283584.412727895,7124363.421690057,6982165.187840717,6893037.609986503,6845863.910757231,6862791.523929449,6825465.554026733,6783781.864914432,6673634.982505524,6589701.489221395,6485639.258877147,6406436.775770248,6204865.32174038,5961172.571758014,5655317.698667378,5377567.237555446,5169063.865149343,4889539.429025475,4573868.149127588,4248738.1556442715,3955095.926525983,3664828.0907898457,3369160.4488576907,3030676.306184125,2706615.190679711,2425420.44280281,2082398.312813683,1746996.8673111936,1398091.915863723,1071472.1249099886,832052.3157328855,600077.511916213,394495.21094318485,239676.8865865328,158130.15840614296,120869.12734208143,120942.75081732243,157165.90242331353,223605.95186807076,375890.8646508111,526323.2031742007,641270.272361129,678242.4630462523,614238.6468479515,495239.1739111354,361138.1468349486,273799.389196858,191741.06132373033,106272.66828110072,37572.860329613635,4886.50497028029,0.0,0.0,0.0
"(0, 16)",11321137.085332207,14831300.182230752,14748580.82467566,14764277.40171721,14675007.610193547,14607837.534514586,14484161.037224187,14391263.82451567,14292093.407326186,14181000.195214337,13978742.670812022,13743126.796690242,13450152.63886905,13168665.376964599,12992160.317449272,12716128.266713036,12399940.330736762,12093897.288482822,11775088.052883891,11474704.66410458,11139540.987148006,10785673.130214658,10430441.259014042,10128453.52023347,9743579.593411159,9381928.814645896,9008795.16105572,8646122.726588959,8369779.491640688,8081310.146331344,7815908.620357961,7556301.633585575,7379814.47521026,7300822.279521545,7396223.315292041,7613600.336355303,7820763.871789787,8111716.428058865,8317848.505812761,8436443.582217667,8419824.640688343,8332813.8196133245,8184037.1321282,8002030.243033095,7873879.981181044,7715047.127571833,7568414.116817572,7434356.132479722,7293172.715045724,7159302.68329719,6972011.478650565,6812790.521062335,6670592.275790111,6581464.81565799,6534293.458654251,6551234.156173151,6513941.810665839,6472290.491462225,6362178.809205653,6278278.145928285,6174246.924184405,6095069.876126185,5893501.088276792,5650168.004394778,5348575.436441564,5079270.908887246,4878298.532705013,4606992.5499477275,4299926.07235381,3982717.274226321,3689601.626048292,3399333.2382355756,3103709.609260997,2765388.061565905,2441443.644910555,2160589.268250017,1818629.14264236,1483685.540652492,1140161.1772357912,826069.5103056981,601043.1572117056,395659.13742613024,238406.26419094903,136439.9023663461,84277.0048769715,61597.6172586108,60716.67242902152,79405.43242931546,117780.24012976866,218306.85065623678,325145.56125702657,410296.46189956897,438040.18612733594,378297.81128898676,276137.1824643009,167727.86976569038,102359.93946731919,50744.88870568477,12271.624190457449,29.98083555872581,0.0,0.0,0.0,0.0
"(0, 20)",11321137.085332207,14520112.88510273,14437603.443345647,14452944.79102685,14363802.626896977,14296444.302038757,14172807.322596379,14080058.65573793,13980947.942775756,13869450.938058512,13667250.825361049,13431707.876393743,13138843.818310346,12857509.919292225,12680723.980564136,12404674.76682497,12088396.320113596,11782379.368922336,11463796.169761455,11163202.715527615,10828093.638122683,10474570.409141295,10119169.910008404,9817131.23925512,9432296.34705847,9070481.68536532,8697672.490095638,8335185.2220118325,8058850.097935483,7770521.439027259,7504631.362757596,7245156.588621478,7068611.3472673455,6990440.717398341,7085696.335867188,7302673.3862408195,7509968.417452945,7800632.25314183,8006515.609203816,8124877.621505902,8108251.924752507,8021241.008107388,7872464.320621372,7690490.983387901,7562323.10080625,7403523.808161769,7256868.592834453,7122783.274788214,6981599.883748873,6847729.863068936,6660438.739017169,6501218.56129136,6359041.840469736,6270141.576647207,6223217.007695633,6239962.096863803,6202788.448540344,6161264.1000521,6055211.109457509,5978550.116078784,5881643.169188866,5809077.896563002,5615496.704290396,5380111.667942512,5083058.213582065,4813755.32717523,4612782.514447262,4341478.150612957,4034420.45785191,3717228.942193507,3424151.3977598655,3133899.135983656,2838393.6890863334,2500406.683643429,2176853.852802126,1896650.6279640866,1556946.3706441114,1225795.1781593985,892242.6833844725,602391.6545375974,402492.7217611226,241230.6880505473,136209.41695825531,72240.27855977588,41364.69692625714,28342.78204085905,26875.367738897865,34547.671049451594,53010.6188029915,108026.69717169726,169916.24851148383,221345.5758804,236645.93705070976,186579.1572111063,112161.43565249645,49942.58995292152,16911.519186062465,2998.63509144209,0.0,0.0,0.0,0.0,0.0,0.0
"(9, 0)",11321137.085332207,15376536.8841184,15293775.890361078,15309440.264335742,15220260.309574692,15153090.167119192,15029413.639454024,14936516.40063739,14837345.958446737,14726252.721309943,14523995.167950157,14288379.26383124,13995405.073965045,13713917.781329384,13537412.695897888,13261381.120096417,12945193.154012084,12639150.059202615,12320340.195705028,12019953.760880765,11684783.733149359,11330909.5094922,10975671.299355645,10673677.678583078,10288798.271438574,9927141.56169085,9554008.994108958,9191352.661346275,8915084.938160412,8626651.667159254,8361304.146588153,8101997.328377376,7925872.231332151,7847141.112050051,7941835.465672075,8158864.945409278,8366015.594952092,8656968.12798361,8863100.212650923,8981695.409589002,8965076.508166863,8878065.62299014,8729288.867055202,8547281.974073196,8419131.714921616,8260298.86101386,8113666.981948292,7979608.95496348,7838425.497949048,7704555.416959883,7517264.20693601,7358043.213666574,7215845.058632651,7126717.559349714,7079543.900812765,7096471.3288178705,7059145.371504017,7017461.662692008,6907314.763037021,6823381.107097032,6719317.429298889,6640110.245299545,6438505.066877508,6194774.504546427,5888879.557357148,5611090.712760715,5402553.049410282,5122991.273833761,4807281.163407565,4480762.349605889,4178769.30449725,3879720.420167904,3575067.3840339016,3227037.466561563,2893670.880149435,2603758.373476342,2250711.520115212,1905815.8988204882,1545604.37275333,1206054.3517122425,956542.3511561038,709272.8551121901,483261.57904828753,303718.36709215963,215712.64682889704,174110.81683730235,177124.4144113227,232425.7726428485,324217.64721690555,521890.74956019066,704453.7890542918,835587.158033153,870253.1847575475,795697.8035883511,662382.1524914083,504302.5411132484,402582.2844287339,299161.15590792557,187534.91292432707,90568.06523417505,29070.291246999466,0.0,0.0,0.0
"(9, 4)",11321137.085332207,15064963.73655385,14982202.742646605,14997867.116503868,14908687.162033943,14841517.019363461,14717840.491512675,14624943.252537666,14525772.810526947,14414679.573772544,14212422.035196787,13976806.161067374,13683832.00326137,13402344.741370238,13225839.682261348,12949807.972136708,12633620.006274462,12327576.911900766,12008767.04891435,11708380.613357615,11373210.587651609,11019336.365330307,10664098.154216615,10362104.535969138,9977225.13426679,9615568.453155564,9242435.928381633,8879779.609179823,8603511.956793131,8315079.080994564,8049731.543173816,7790425.034899627,7614299.982137554,7535568.992885515,7630262.879047107,7847292.066776559,8054442.721492986,8345395.279393191,8551527.357318612,8670122.433690066,8653503.492148846,8566492.67110651,8417715.983609177,8235709.094513589,8107558.832670315,7948725.979216996,7802093.836474854,7668035.811474764,7526852.364077041,7392982.3018325595,7205691.11754644,7046470.173251793,6904272.074331396,6815144.60093717,6767970.9686170975,6784898.309480904,6747572.341609436,6705888.640435128,6595741.730131867,6511808.047849619,6407744.38490178,6328537.144405882,6126932.000798569,5883201.561061392,5577306.624325772,5299518.013796293,5090980.216729595,4811418.736745343,4495709.8451654,4169195.26441841,3867210.1520602433,3568162.171760221,3263544.6149711637,2915650.91595348,2582390.12382097,2292669.5406657397,1940480.6591171534,1596493.2351892334,1240017.5418023795,916411.4077086749,682592.385612027,467770.6994577571,290365.8568800382,174989.36763692915,115162.4139559126,85946.5546231551,85120.04710446844,112405.72137960329,165313.93095005702,297588.2605938532,434328.9831234102,538112.2967598129,568262.6086293204,497042.05779107736,373701.88019334176,240480.2114460622,156257.2856530295,90677.4471148646,34916.203680611434,5572.636592551151,0.0,0.0,0.0,0.0
"(9, 8)",11321137.085332207,14753390.618144192,14670629.625793727,14686293.98897661,14597114.041429961,14529943.921448087,14406267.419683753,14313370.206425691,14214199.78915414,14103106.577003065,13900849.05255929,13665233.178420004,13372259.020695457,13090771.758864412,12914266.699533919,12638234.824652173,12322046.859799206,12016003.768525822,11697193.916268999,11396807.477829004,11061637.50155195,10707763.320282048,10352525.080930693,10050531.521154854,9665652.771356583,9303995.465944953,8930862.964759821,8568206.829629276,8291939.201315475,8003507.907536336,7738159.957467124,7478854.197775815,7302729.309252921,7223998.647529244,7318691.304839974,7535719.441503112,7742869.91293308,8033822.468094292,8239954.545826125,8358549.62218327,8341930.680642011,8254919.859599619,8106143.17210177,7924136.283006729,7795986.021163477,7637153.167701409,7490520.710021932,7356462.698752339,7215279.264962496,7081409.217234178,6894118.070934029,6734897.202734365,6592699.162029192,6503571.743908024,6456398.166074342,6473325.372566033,6435999.43074457,6394315.709084191,6284168.804011988,6200235.120730138,6096171.463808121,6016964.136159267,5815359.130154176,5571629.01414523,5265734.273210699,4987946.383052794,4779409.479990144,4499865.343848252,4184196.410243965,3857727.3977954304,3555799.8599902373,3256791.252372754,2952284.236454643,2604801.9484132384,2272995.5760985133,1991447.087416692,1650812.8576189347,1318239.2790391475,980429.6967304387,680749.5479599346,470160.9919731145,294252.8296030273,169106.0093482417,92970.20055532127,55474.33457497342,38851.69209083988,37500.57061909783,48707.54205114467,73927.6299121873,145345.85211517187,223933.41933452056,286841.521614794,304338.0772780513,250090.2303956221,164005.78403947473,84777.57460930501,38040.27004209782,11891.949289505988,579.6780347870802,0.0,0.0,0.0,0.0,0.0
"(9, 12)",11321137.085332207,14441817.61944359,14359056.628047109,14374721.002075618,14285541.061790844,14218370.940891258,14094694.43717616,14001797.223971743,13902626.806700975,13791533.594453571,13589276.07008436,13353660.196156187,13060686.038500965,12779198.777190689,12602693.716805985,12326661.683867116,12010473.751290005,11704430.697723418,11385620.913213184,11085234.479108365,10750064.607123561,10396190.853571335,10040952.508140046,9738959.635017687,9354088.587409956,8992437.108625662,8619314.601079993,8256680.501883439,7980428.739447122,7692059.435545474,7426618.775396802,7167317.997065872,6991186.37939536,6912462.351062419,7007121.669582616,7224147.415878248,7431297.281771331,7722249.659081969,7928381.734356338,8046976.81066607,8030357.869146753,7943347.048089873,7794570.360594497,7612563.471503833,7484413.209664091,7325580.356195019,7178947.624319062,7044889.617892818,6903706.192154208,6769836.164180603,6582545.059995234,6423324.303439002,6281126.334535462,6191999.01912159,6144825.5218880065,6161752.625144055,6124426.724099028,6082743.115586228,5972596.235774971,5888662.451525988,5784600.315461985,5705397.465969537,5503826.136530395,5260134.180646208,4954279.366895506,4676530.405443371,4468025.658831289,4188503.220145905,3872838.977367613,3547781.9539718446,3254236.2967368574,2964028.7851862228,2668669.0486900825,2331076.475422629,2008078.529966693,1728583.0616372586,1391436.3266074562,1063917.3002788103,744691.7944450068,473300.9017674773,297312.3863082861,173703.0415918864,92349.06472927255,46326.79624126062,25117.775462714126,16144.255832942923,14877.803916927676,18677.726396699287,28888.95953550594,62230.94150735892,99967.53664540204,131677.01788867867,137985.8822771869,99502.5726796459,49986.67307505907,14284.109368412694,2151.6222466357194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
