Date_time,Ormsetvatn,Buavatn,Solar
01.01.2022 00:00,16.66,1.58,0
01.01.2022 01:00,0,0,0
01.01.2022 02:00,0,0,0
01.01.2022 03:00,15.66,1.48,0
01.01.2022 04:00,0,0,0
01.01.2022 05:00,31.45,2.98,0
01.01.2022 06:00,0.73,0.07,0
01.01.2022 07:00,0,0,0
01.01.2022 08:00,0,0,0
01.01.2022 09:00,0,0,0
01.01.2022 10:00,1.32,0.13,0
01.01.2022 11:00,0,0,0
01.01.2022 12:00,0,0,0
01.01.2022 13:00,0,0,0
01.01.2022 14:00,0,0,0
01.01.2022 15:00,1.32,0.13,0
01.01.2022 16:00,0,0,0
01.01.2022 17:00,0,0,0
01.01.2022 18:00,0,0,0
01.01.2022 19:00,0,0,0
01.01.2022 20:00,1.25,0.12,0
01.01.2022 21:00,0,0,0
01.01.2022 22:00,0,0,0
01.01.2022 23:00,0,0,0
02.01.2022 00:00,0,0,0
02.01.2022 01:00,0,0,0
02.01.2022 02:00,0,0,0
02.01.2022 03:00,0,0,0
02.01.2022 04:00,0,0,0
02.01.2022 05:00,0,0,0
02.01.2022 06:00,0,0,0
02.01.2022 07:00,30.9,2.93,0
02.01.2022 08:00,1.22,0.12,0
02.01.2022 09:00,0,0,0
02.01.2022 10:00,0,0,0
02.01.2022 11:00,0,0,0
02.01.2022 12:00,0,0,0
02.01.2022 13:00,3.69,0.35,0
02.01.2022 14:00,10.41,0.99,0
02.01.2022 15:00,0,0,0
02.01.2022 16:00,5.35,0.51,0
02.01.2022 17:00,0,0,0
02.01.2022 18:00,1.22,0.12,0
02.01.2022 19:00,0,0,0
02.01.2022 20:00,0.67,0.06,0
02.01.2022 21:00,0,0,0
02.01.2022 22:00,0,0,0
02.01.2022 23:00,0,0,0
03.01.2022 00:00,0,0,0
03.01.2022 01:00,1.22,0.12,0
03.01.2022 02:00,0,0,0
03.01.2022 03:00,0,0,0
03.01.2022 04:00,0,0,0
03.01.2022 05:00,0,0,0
03.01.2022 06:00,1.22,0.12,0
03.01.2022 07:00,0,0,0
03.01.2022 08:00,0,0,0
03.01.2022 09:00,0,0,0
03.01.2022 10:00,0,0,0
03.01.2022 11:00,1.22,0.12,0
03.01.2022 12:00,0,0,0
03.01.2022 13:00,0,0,0
03.01.2022 14:00,0,0,0
03.01.2022 15:00,1.21,0.11,0
03.01.2022 16:00,0,0,0
03.01.2022 17:00,0,0,0
03.01.2022 18:00,0,0,0
03.01.2022 19:00,0,0,0
03.01.2022 20:00,8.21,0.78,0
03.01.2022 21:00,0.92,0.09,0
03.01.2022 22:00,0.73,0.07,0
03.01.2022 23:00,0,0,0
04.01.2022 00:00,0,0,0
04.01.2022 01:00,0.34,0.03,0
04.01.2022 02:00,9.59,0.91,0
04.01.2022 03:00,0,0,0
04.01.2022 04:00,9.75,0.92,0
