Date;kurs;Sys;NO1;NO2;NO3;NO4;NO5
01.01.2018 00:00;sep.99;26.31;26.33;26.33;26.33;26.33;26.33
01.01.2018 01:00;sep.99;26.43;26.43;26.43;26.43;26.43;26.43
01.01.2018 02:00;sep.99;26.sep;26.jan;26.jan;26.1;26.jan;26.jan
01.01.2018 03:00;sep.99;24.63;24.jul;24.jul;24.7;24.jul;24.jul
01.01.2018 04:00;sep.99;24.67;24.74;24.74;24.74;24.74;24.74
01.01.2018 05:00;sep.99;24.24;24.76;24.76;24.67;24.67;24.76
01.01.2018 06:00;sep.99;24.18;24.98;24.98;24.98;24.98;24.98
01.01.2018 07:00;sep.99;24.29;25.71;25.71;25.61;25.61;25.71
01.01.2018 08:00;sep.99;24.15;25.48;25.48;25.48;25.48;25.48
01.01.2018 09:00;sep.99;24.26;25.54;25.54;25.54;25.54;25.54
01.01.2018 10:00;sep.99;25.84;26.jul;26.jul;26.07;26.jul;26.jul
01.01.2018 11:00;sep.99;26.jun;26.des;26.des;26.12;26.des;26.des
01.01.2018 12:00;sep.99;25.86;26.16;26.16;26.16;26.16;26.16
01.01.2018 13:00;sep.99;25.96;26.19;26.19;26.19;26.19;26.19
01.01.2018 14:00;sep.99;26.mar;26.19;26.19;26.19;26.19;26.19
01.01.2018 15:00;sep.99;26.43;26.46;26.46;26.46;26.46;26.46
01.01.2018 16:00;sep.99;27.feb;27.mar;27.mar;27.03;27.mar;27.mar
01.01.2018 17:00;sep.99;27.43;27.43;27.43;27.43;27.43;27.43
01.01.2018 18:00;sep.99;27.mar;27.29;27.29;27.29;27.29;27.29
01.01.2018 19:00;sep.99;26.97;26.96;26.96;26.96;26.96;26.96
01.01.2018 20:00;sep.99;26.69;26.jul;26.jul;26.7;26.jul;26.jul
01.01.2018 21:00;sep.99;26.45;26.47;26.47;26.47;26.47;26.47
01.01.2018 22:00;sep.99;26.jul;26.sep;26.sep;26.09;26.sep;26.sep
01.01.2018 23:00;sep.99;25.feb;25.feb;25.feb;25.77;25.77;25.feb
02.01.2018 00:00;10;25.74;25.sep;25.sep;25.9;25.sep;25.sep
02.01.2018 01:00;10;25.13;25.52;25.52;25.52;25.52;25.52
02.01.2018 02:00;10;25.apr;25.86;25.86;25.58;25.58;25.86
02.01.2018 03:00;10;25.49;25.58;25.58;25.53;25.53;25.58
02.01.2018 04:00;10;25.66;25.73;25.73;25.73;25.73;25.73
02.01.2018 05:00;10;26.75;26.84;26.84;26.84;26.84;26.84
02.01.2018 06:00;10;27.69;27.aug;27.aug;27.8;27.aug;27.aug
02.01.2018 07:00;10;30.73;30.mai;30.mai;30.5;30.mai;30.mai
02.01.2018 08:00;10;33.77;31.93;31.93;31.93;31.93;31.93
02.01.2018 09:00;10;34.04;33.53;33.53;33.53;33.53;33.53
02.01.2018 10:00;10;35.07;35.04;35.04;35.04;35.04;35.04
02.01.2018 11:00;10;35.24;35.22;35.22;35.22;35.22;35.22
02.01.2018 12:00;10;34.57;34.56;34.56;34.56;34.56;34.56
02.01.2018 13:00;10;34.1;34.1;34.1;34.1;34.1;34.1
02.01.2018 14:00;10;36.02;35.98;35.98;35.98;35.98;35.98
