Date_time,Ormsetvatn,Buavatn,Solar
01.01.2019 00:00,20.1,1.9,0
01.01.2019 01:00,17.96,1.7,0
01.01.2019 02:00,17.96,1.7,0
01.01.2019 03:00,17.96,1.7,0
01.01.2019 04:00,3.68,0.35,0
01.01.2019 05:00,27.04,2.56,0
01.01.2019 06:00,7.61,0.72,0
01.01.2019 07:00,6.05,0.57,0
01.01.2019 08:00,7.04,0.67,0
01.01.2019 09:00,4.88,0.46,0
01.01.2019 10:00,6.46,0.61,0
01.01.2019 11:00,5.67,0.54,0
01.01.2019 12:00,5.14,0.49,0
01.01.2019 13:00,3.76,0.36,0
01.01.2019 14:00,5.14,0.49,0
01.01.2019 15:00,5.01,0.47,0
01.01.2019 16:00,2.5,0.24,0
01.01.2019 17:00,5.67,0.54,0
01.01.2019 18:00,4.41,0.42,0
01.01.2019 19:00,2.5,0.24,0
01.01.2019 20:00,4.94,0.47,0
01.01.2019 21:00,7.19,0.68,0
01.01.2019 22:00,5.67,0.54,0
01.01.2019 23:00,5.73,0.54,0
02.01.2019 00:00,5.67,0.54,0
02.01.2019 01:00,5.91,0.56,0
02.01.2019 02:00,5.93,0.56,0
02.01.2019 03:00,8.03,0.76,0
02.01.2019 04:00,9.1,0.86,0
02.01.2019 05:00,0,0,0
02.01.2019 06:00,2.4,0.23,0
02.01.2019 07:00,5.43,0.51,0
02.01.2019 08:00,3.76,0.36,0
02.01.2019 09:00,4.3,0.41,0
02.01.2019 10:00,3.83,0.36,0
02.01.2019 11:00,2.5,0.24,0
02.01.2019 12:00,1.91,0.18,0
02.01.2019 13:00,0,0,0
02.01.2019 14:00,3.63,0.34,0
02.01.2019 15:00,1.4,0.13,0
02.01.2019 16:00,2.72,0.26,0
02.01.2019 17:00,2.67,0.25,0
02.01.2019 18:00,2.39,0.23,0
02.01.2019 19:00,1.88,0.18,0
02.01.2019 20:00,1.13,0.11,0
02.01.2019 21:00,1.39,0.13,0
02.01.2019 22:00,1.47,0.14,0
02.01.2019 23:00,1.68,0.16,0
03.01.2019 00:00,2.68,0.25,0
03.01.2019 01:00,2.7,0.26,0
03.01.2019 02:00,3.6,0.34,0
03.01.2019 03:00,3.72,0.35,0
03.01.2019 04:00,0,0,0
03.01.2019 05:00,18.77,1.78,0
03.01.2019 06:00,19.12,1.81,0
03.01.2019 07:00,19.33,1.83,0
03.01.2019 08:00,18.87,1.79,0
03.01.2019 09:00,19.4,1.84,0
03.01.2019 10:00,18.81,1.78,0
03.01.2019 11:00,17.79,1.69,0
03.01.2019 12:00,19.9,1.89,0
