Date,NO3
01.01.2020 00:00,28.78
01.01.2020 01:00,28.45
01.01.2020 02:00,27.9
01.01.2020 03:00,27.52
01.01.2020 04:00,27.54
01.01.2020 05:00,26.55
01.01.2020 06:00,25.83
01.01.2020 07:00,25.07
01.01.2020 08:00,25.65
01.01.2020 09:00,26.15
01.01.2020 10:00,26.77
01.01.2020 11:00,27.4
01.01.2020 12:00,28.08
01.01.2020 13:00,28.69
01.01.2020 14:00,29.37
01.01.2020 15:00,29.97
01.01.2020 16:00,30.46
01.01.2020 17:00,30.39
01.01.2020 18:00,30.06
01.01.2020 19:00,29.38
01.01.2020 20:00,27.65
01.01.2020 21:00,27.33
01.01.2020 22:00,25.88
01.01.2020 23:00,24.81
02.01.2020 00:00,12.07
02.01.2020 01:00,13.13
02.01.2020 02:00,19.07
02.01.2020 03:00,21.12
02.01.2020 04:00,24.29
02.01.2020 05:00,26.27
02.01.2020 06:00,27.74
02.01.2020 07:00,28.39
02.01.2020 08:00,29.37
02.01.2020 09:00,29.95
02.01.2020 10:00,29.91
02.01.2020 11:00,29.96
02.01.2020 12:00,29.94
02.01.2020 13:00,29.94
02.01.2020 14:00,30.18
02.01.2020 15:00,30.96
02.01.2020 16:00,31.2
02.01.2020 17:00,30.98
02.01.2020 18:00,30.35
02.01.2020 19:00,29.27
02.01.2020 20:00,28.17
02.01.2020 21:00,28.02
02.01.2020 22:00,27.69
02.01.2020 23:00,24.39
03.01.2020 00:00,18.93
03.01.2020 01:00,9.98
03.01.2020 02:00,1.53
03.01.2020 03:00,1.04
03.01.2020 04:00,1.06
03.01.2020 05:00,9.92
03.01.2020 06:00,24.48
03.01.2020 07:00,26.68
03.01.2020 08:00,28.12
03.01.2020 09:00,28.58
03.01.2020 10:00,28.16
03.01.2020 11:00,28.78
03.01.2020 12:00,28.31
03.01.2020 13:00,28.44
03.01.2020 14:00,28.96
03.01.2020 15:00,29.86
03.01.2020 16:00,30.15
03.01.2020 17:00,30.07
03.01.2020 18:00,29.54
03.01.2020 19:00,29.11
03.01.2020 20:00,27.91
03.01.2020 21:00,27.03
03.01.2020 22:00,25.7
03.01.2020 23:00,22.04
04.01.2020 00:00,21.73
04.01.2020 01:00,20.44
04.01.2020 02:00,20.16
04.01.2020 03:00,19.62
04.01.2020 04:00,19.03
04.01.2020 05:00,18.9
04.01.2020 06:00,19.74
04.01.2020 07:00,21.55
04.01.2020 08:00,22.34
04.01.2020 09:00,24.18
04.01.2020 10:00,24.94
04.01.2020 11:00,25.11
04.01.2020 12:00,24.94
04.01.2020 13:00,24.95
04.01.2020 14:00,25.25
04.01.2020 15:00,26.33
04.01.2020 16:00,27.36
04.01.2020 17:00,28.88
04.01.2020 18:00,29.58
04.01.2020 19:00,29.42
04.01.2020 20:00,27.71
04.01.2020 21:00,27.4
04.01.2020 22:00,27.37
04.01.2020 23:00,25.77
05.01.2020 00:00,26.65
05.01.2020 01:00,27.13
05.01.2020 02:00,27.11
05.01.2020 03:00,27.42
05.01.2020 04:00,28.06
05.01.2020 05:00,28.85
05.01.2020 06:00,29.26
05.01.2020 07:00,29.98
05.01.2020 08:00,31.06
05.01.2020 09:00,31.18
05.01.2020 10:00,31.6
05.01.2020 11:00,31.55
05.01.2020 12:00,31.22
05.01.2020 13:00,30.93
05.01.2020 14:00,30.67
05.01.2020 15:00,30.79
05.01.2020 16:00,31.16
05.01.2020 17:00,31.53
05.01.2020 18:00,31.1
05.01.2020 19:00,30.42
05.01.2020 20:00,29.87
05.01.2020 21:00,29.24
05.01.2020 22:00,28.16
05.01.2020 23:00,26.68
06.01.2020 00:00,26.42
06.01.2020 01:00,26.5
06.01.2020 02:00,27.01
06.01.2020 03:00,27.06
06.01.2020 04:00,27.03
06.01.2020 05:00,27.62
06.01.2020 06:00,28.16
06.01.2020 07:00,29.08
06.01.2020 08:00,29.73
06.01.2020 09:00,30.52
06.01.2020 10:00,31.12
06.01.2020 11:00,31.23
06.01.2020 12:00,31.19
06.01.2020 13:00,31.08
06.01.2020 14:00,31.21
06.01.2020 15:00,31.3
06.01.2020 16:00,31.76
06.01.2020 17:00,31.74
06.01.2020 18:00,31.31
06.01.2020 19:00,30.95
06.01.2020 20:00,30.58
06.01.2020 21:00,30.28
06.01.2020 22:00,29.46
06.01.2020 23:00,28.19
07.01.2020 00:00,27.16
07.01.2020 01:00,27.08
07.01.2020 02:00,27.02
07.01.2020 03:00,26.98
07.01.2020 04:00,27.18
07.01.2020 05:00,28.13
07.01.2020 06:00,28.21
07.01.2020 07:00,29.55
07.01.2020 08:00,29.78
07.01.2020 09:00,29.83
07.01.2020 10:00,29.92
07.01.2020 11:00,29.96
07.01.2020 12:00,30.15
07.01.2020 13:00,30.36
07.01.2020 14:00,30.33
07.01.2020 15:00,29.97
07.01.2020 16:00,29.9
07.01.2020 17:00,29.75
07.01.2020 18:00,29.8
07.01.2020 19:00,29.46
07.01.2020 20:00,28.63
07.01.2020 21:00,27.98
07.01.2020 22:00,26.93
07.01.2020 23:00,24.21
08.01.2020 00:00,19.29
08.01.2020 01:00,18.63
08.01.2020 02:00,16.92
08.01.2020 03:00,15.52
08.01.2020 04:00,15.52
08.01.2020 05:00,20.74
08.01.2020 06:00,25.57
08.01.2020 07:00,26.99
08.01.2020 08:00,27.34
08.01.2020 09:00,27.24
08.01.2020 10:00,27.25
08.01.2020 11:00,27.27
08.01.2020 12:00,27.29
08.01.2020 13:00,27.38
08.01.2020 14:00,27.65
08.01.2020 15:00,27.85
08.01.2020 16:00,27.82
08.01.2020 17:00,27.62
08.01.2020 18:00,27.63
08.01.2020 19:00,27.64
08.01.2020 20:00,27.33
08.01.2020 21:00,27.06
08.01.2020 22:00,26.27
08.01.2020 23:00,24.29
09.01.2020 00:00,21.42
09.01.2020 01:00,20.56
09.01.2020 02:00,19.98
09.01.2020 03:00,21.08
09.01.2020 04:00,23.33
09.01.2020 05:00,24.89
09.01.2020 06:00,25.87
09.01.2020 07:00,26.14
09.01.2020 08:00,26.36
09.01.2020 09:00,26.54
09.01.2020 10:00,26.64
09.01.2020 11:00,26.71
09.01.2020 12:00,26.9
09.01.2020 13:00,26.96
09.01.2020 14:00,27.13
09.01.2020 15:00,27.27
09.01.2020 16:00,27.35
09.01.2020 17:00,27.33
09.01.2020 18:00,27.35
09.01.2020 19:00,27.38
09.01.2020 20:00,27.37
09.01.2020 21:00,27.55
09.01.2020 22:00,26.9
09.01.2020 23:00,26.41
10.01.2020 00:00,26.07
10.01.2020 01:00,25.95
10.01.2020 02:00,25.81
10.01.2020 03:00,25.89
10.01.2020 04:00,26.2
10.01.2020 05:00,26.95
10.01.2020 06:00,26.46
10.01.2020 07:00,26.27
10.01.2020 08:00,26.42
10.01.2020 09:00,26.45
10.01.2020 10:00,26.44
10.01.2020 11:00,26.45
10.01.2020 12:00,26.46
10.01.2020 13:00,26.45
10.01.2020 14:00,26.43
10.01.2020 15:00,26.42
10.01.2020 16:00,26.29
10.01.2020 17:00,26.14
10.01.2020 18:00,26.57
10.01.2020 19:00,26.5
10.01.2020 20:00,26.46
10.01.2020 21:00,26.65
10.01.2020 22:00,26.42
10.01.2020 23:00,25.88
11.01.2020 00:00,26.53
11.01.2020 01:00,26.02
11.01.2020 02:00,25.82
11.01.2020 03:00,25.61
11.01.2020 04:00,25.41
11.01.2020 05:00,25.32
11.01.2020 06:00,25.25
11.01.2020 07:00,25.41
11.01.2020 08:00,25.67
11.01.2020 09:00,25.86
11.01.2020 10:00,25.85
11.01.2020 11:00,25.54
11.01.2020 12:00,25.19
11.01.2020 13:00,25.01
11.01.2020 14:00,24.87
11.01.2020 15:00,25.17
11.01.2020 16:00,25.55
11.01.2020 17:00,25.65
11.01.2020 18:00,25.42
11.01.2020 19:00,24.78
11.01.2020 20:00,24.11
11.01.2020 21:00,23.16
11.01.2020 22:00,21.33
11.01.2020 23:00,19.31
12.01.2020 00:00,20.11
12.01.2020 01:00,19.37
12.01.2020 02:00,18.36
12.01.2020 03:00,18.34
12.01.2020 04:00,18.17
12.01.2020 05:00,18.66
12.01.2020 06:00,17.99
12.01.2020 07:00,18.22
12.01.2020 08:00,22.1
12.01.2020 09:00,23.93
12.01.2020 10:00,24.23
12.01.2020 11:00,24.84
12.01.2020 12:00,24.45
12.01.2020 13:00,24.41
12.01.2020 14:00,24.94
12.01.2020 15:00,25.27
12.01.2020 16:00,25.69
12.01.2020 17:00,26.5
12.01.2020 18:00,26.67
12.01.2020 19:00,26.16
12.01.2020 20:00,25.62
12.01.2020 21:00,25.53
12.01.2020 22:00,25.48
12.01.2020 23:00,24.27
13.01.2020 00:00,22.52
13.01.2020 01:00,23.91
13.01.2020 02:00,23.96
13.01.2020 03:00,24.26
13.01.2020 04:00,25.01
13.01.2020 05:00,25.99
13.01.2020 06:00,25.69
13.01.2020 07:00,25.53
13.01.2020 08:00,25.61
13.01.2020 09:00,25.67
13.01.2020 10:00,25.7
13.01.2020 11:00,25.57
13.01.2020 12:00,25.53
13.01.2020 13:00,25.52
13.01.2020 14:00,25.57
13.01.2020 15:00,25.57
13.01.2020 16:00,25.59
13.01.2020 17:00,25.7
13.01.2020 18:00,25.73
13.01.2020 19:00,25.75
13.01.2020 20:00,25.75
13.01.2020 21:00,25.98
13.01.2020 22:00,25.34
13.01.2020 23:00,23.4
14.01.2020 00:00,22.21
14.01.2020 01:00,18.56
14.01.2020 02:00,18.4
14.01.2020 03:00,18.35
14.01.2020 04:00,18.5
14.01.2020 05:00,20.31
14.01.2020 06:00,24.63
14.01.2020 07:00,25.55
14.01.2020 08:00,25.84
14.01.2020 09:00,25.79
14.01.2020 10:00,25.71
14.01.2020 11:00,25.6
14.01.2020 12:00,25.51
14.01.2020 13:00,25.6
14.01.2020 14:00,25.76
14.01.2020 15:00,25.8
14.01.2020 16:00,25.93
14.01.2020 17:00,25.97
14.01.2020 18:00,26.05
14.01.2020 19:00,25.9
14.01.2020 20:00,25.12
14.01.2020 21:00,23.82
14.01.2020 22:00,22.3
14.01.2020 23:00,19.12
15.01.2020 00:00,19.23
15.01.2020 01:00,18.83
15.01.2020 02:00,18.62
15.01.2020 03:00,18.59
15.01.2020 04:00,18.77
15.01.2020 05:00,19.35
15.01.2020 06:00,24.38
15.01.2020 07:00,25.1
15.01.2020 08:00,25.48
15.01.2020 09:00,25.51
15.01.2020 10:00,25.34
15.01.2020 11:00,24.98
15.01.2020 12:00,25.05
15.01.2020 13:00,25.12
15.01.2020 14:00,25.24
15.01.2020 15:00,25.69
15.01.2020 16:00,25.72
15.01.2020 17:00,25.65
15.01.2020 18:00,25.66
15.01.2020 19:00,25.7
15.01.2020 20:00,25.13
15.01.2020 21:00,24.85
15.01.2020 22:00,23.97
15.01.2020 23:00,22.55
16.01.2020 00:00,21.58
16.01.2020 01:00,21.32
16.01.2020 02:00,21.65
16.01.2020 03:00,22.18
16.01.2020 04:00,22.99
16.01.2020 05:00,23.72
16.01.2020 06:00,24.47
16.01.2020 07:00,25
16.01.2020 08:00,25.38
16.01.2020 09:00,25.33
16.01.2020 10:00,25.27
16.01.2020 11:00,25.18
16.01.2020 12:00,25.07
16.01.2020 13:00,25.09
16.01.2020 14:00,25.18
16.01.2020 15:00,25.36
16.01.2020 16:00,25.46
16.01.2020 17:00,25.27
16.01.2020 18:00,25.07
16.01.2020 19:00,24.98
16.01.2020 20:00,24.74
16.01.2020 21:00,24.51
16.01.2020 22:00,24.04
16.01.2020 23:00,23.13
17.01.2020 00:00,22.92
17.01.2020 01:00,22.61
17.01.2020 02:00,22.19
17.01.2020 03:00,22.39
17.01.2020 04:00,23.26
17.01.2020 05:00,23.61
17.01.2020 06:00,24.25
17.01.2020 07:00,24.73
17.01.2020 08:00,24.86
17.01.2020 09:00,24.98
17.01.2020 10:00,25.09
17.01.2020 11:00,25.1
17.01.2020 12:00,25.09
17.01.2020 13:00,25.1
17.01.2020 14:00,25.11
17.01.2020 15:00,25.23
17.01.2020 16:00,25.62
17.01.2020 17:00,25.67
17.01.2020 18:00,25.5
17.01.2020 19:00,25.17
17.01.2020 20:00,24.8
17.01.2020 21:00,24.7
17.01.2020 22:00,24.48
17.01.2020 23:00,24.06
18.01.2020 00:00,22.15
18.01.2020 01:00,23.02
18.01.2020 02:00,22.24
18.01.2020 03:00,22.61
18.01.2020 04:00,22.57
18.01.2020 05:00,22.51
18.01.2020 06:00,22.31
18.01.2020 07:00,22.74
18.01.2020 08:00,23.18
18.01.2020 09:00,23.58
18.01.2020 10:00,23.85
18.01.2020 11:00,23.76
18.01.2020 12:00,23.62
18.01.2020 13:00,23.47
18.01.2020 14:00,23.52
18.01.2020 15:00,23.84
18.01.2020 16:00,24.07
18.01.2020 17:00,24.34
18.01.2020 18:00,24.13
18.01.2020 19:00,23.82
18.01.2020 20:00,23.39
18.01.2020 21:00,23.14
18.01.2020 22:00,23.13
18.01.2020 23:00,22.66
19.01.2020 00:00,22.29
19.01.2020 01:00,21.91
19.01.2020 02:00,21.69
19.01.2020 03:00,21.53
19.01.2020 04:00,21.61
19.01.2020 05:00,21.9
19.01.2020 06:00,22.15
19.01.2020 07:00,22.1
19.01.2020 08:00,22.38
19.01.2020 09:00,22.65
19.01.2020 10:00,23.01
19.01.2020 11:00,23.08
19.01.2020 12:00,23.06
19.01.2020 13:00,23.05
19.01.2020 14:00,22.91
19.01.2020 15:00,23.29
19.01.2020 16:00,23.87
19.01.2020 17:00,24.1
19.01.2020 18:00,24.05
19.01.2020 19:00,23.92
19.01.2020 20:00,23.6
19.01.2020 21:00,23.67
19.01.2020 22:00,23.46
19.01.2020 23:00,23.1
20.01.2020 00:00,22.66
20.01.2020 01:00,22.34
20.01.2020 02:00,21.94
20.01.2020 03:00,21.88
20.01.2020 04:00,22.22
20.01.2020 05:00,23.03
20.01.2020 06:00,22.79
20.01.2020 07:00,23.25
20.01.2020 08:00,23.29
20.01.2020 09:00,23.27
20.01.2020 10:00,23.27
20.01.2020 11:00,23.25
20.01.2020 12:00,23.32
20.01.2020 13:00,23.35
20.01.2020 14:00,23.33
20.01.2020 15:00,23.39
20.01.2020 16:00,23.46
20.01.2020 17:00,23.34
20.01.2020 18:00,23.41
20.01.2020 19:00,22.91
20.01.2020 20:00,21.88
20.01.2020 21:00,21.28
20.01.2020 22:00,20.25
20.01.2020 23:00,17.92
21.01.2020 00:00,17.93
21.01.2020 01:00,17.88
21.01.2020 02:00,17.67
21.01.2020 03:00,17.75
21.01.2020 04:00,19.4
21.01.2020 05:00,19.66
21.01.2020 06:00,20.78
21.01.2020 07:00,21.7
21.01.2020 08:00,22.05
21.01.2020 09:00,21.97
21.01.2020 10:00,21.94
21.01.2020 11:00,21.88
21.01.2020 12:00,21.99
21.01.2020 13:00,21.97
21.01.2020 14:00,22
21.01.2020 15:00,22.12
21.01.2020 16:00,22.23
21.01.2020 17:00,22.2
21.01.2020 18:00,22.17
21.01.2020 19:00,22
21.01.2020 20:00,21.14
21.01.2020 21:00,20.89
21.01.2020 22:00,19.98
21.01.2020 23:00,18.69
22.01.2020 00:00,15.24
22.01.2020 01:00,14.43
22.01.2020 02:00,13.73
22.01.2020 03:00,15.1
22.01.2020 04:00,17.11
22.01.2020 05:00,19.99
22.01.2020 06:00,20.59
22.01.2020 07:00,21
22.01.2020 08:00,21.3
22.01.2020 09:00,21.26
22.01.2020 10:00,21.3
22.01.2020 11:00,21.45
22.01.2020 12:00,21.45
22.01.2020 13:00,21.57
22.01.2020 14:00,21.61
22.01.2020 15:00,21.72
22.01.2020 16:00,21.84
22.01.2020 17:00,21.9
22.01.2020 18:00,21.93
22.01.2020 19:00,21.95
22.01.2020 20:00,21.92
22.01.2020 21:00,21.98
22.01.2020 22:00,21.71
22.01.2020 23:00,21.37
23.01.2020 00:00,20.76
23.01.2020 01:00,20.57
23.01.2020 02:00,20.45
23.01.2020 03:00,20.47
23.01.2020 04:00,20.88
23.01.2020 05:00,20.88
23.01.2020 06:00,20.89
23.01.2020 07:00,21.07
23.01.2020 08:00,21.13
23.01.2020 09:00,20.91
23.01.2020 10:00,20.84
23.01.2020 11:00,20.71
23.01.2020 12:00,20.62
23.01.2020 13:00,20.57
23.01.2020 14:00,20.55
23.01.2020 15:00,20.54
23.01.2020 16:00,20.49
23.01.2020 17:00,20.48
23.01.2020 18:00,20.43
23.01.2020 19:00,20.39
23.01.2020 20:00,20.04
23.01.2020 21:00,19.79
23.01.2020 22:00,18.47
23.01.2020 23:00,16.94
24.01.2020 00:00,16.71
24.01.2020 01:00,16.95
24.01.2020 02:00,16.64
24.01.2020 03:00,16.81
24.01.2020 04:00,17.96
24.01.2020 05:00,19.04
24.01.2020 06:00,19.93
24.01.2020 07:00,20.54
24.01.2020 08:00,20.75
24.01.2020 09:00,20.64
24.01.2020 10:00,20.54
24.01.2020 11:00,20.4
24.01.2020 12:00,20.36
24.01.2020 13:00,20.35
24.01.2020 14:00,20.34
24.01.2020 15:00,20.3
24.01.2020 16:00,20.25
24.01.2020 17:00,20.24
24.01.2020 18:00,20.19
24.01.2020 19:00,20.34
24.01.2020 20:00,20.05
24.01.2020 21:00,19.58
24.01.2020 22:00,18.85
24.01.2020 23:00,17.33
25.01.2020 00:00,18.67
25.01.2020 01:00,18.61
25.01.2020 02:00,18.79
25.01.2020 03:00,18.87
