Date,kurs,Sys,NO1,NO2,NO3,NO4,NO5
01.01.2022 00:00,9.99,62.5,132.89,132.89,46.6,46.6,132.89
01.01.2022 01:00,9.99,54.39,129.3,129.3,41.33,41.33,129.3
01.01.2022 02:00,9.99,58.3,132.08,132.08,42.18,42.18,132.08
01.01.2022 03:00,9.99,51.8,111.44,111.44,44.37,44.37,111.44
01.01.2022 04:00,9.99,47.15,112.35,112.35,37.67,37.67,112.35
01.01.2022 05:00,9.99,49.84,113.9,113.9,39.7,39.7,113.9
01.01.2022 06:00,9.99,53.34,122.25,122.25,40.59,40.59,122.25
01.01.2022 07:00,9.99,52.36,118.58,118.58,43.26,43.26,118.58
01.01.2022 08:00,9.99,63.44,118.47,118.47,49.44,49.44,118.47
01.01.2022 09:00,9.99,66.55,117.86,117.86,49.46,49.46,117.86
01.01.2022 10:00,9.99,68.7,120.03,120.03,49.27,49.27,120.03
01.01.2022 11:00,9.99,68.43,117.07,117.07,48.89,48.89,117.07
01.01.2022 12:00,9.99,71.07,117.17,117.17,48.45,48.45,117.17
01.01.2022 13:00,9.99,74.17,120.08,120.08,44.21,44.21,120.08
01.01.2022 14:00,9.99,82.4,124.54,124.54,42.38,42.38,124.54
01.01.2022 15:00,9.99,87.59,124.89,124.89,42.09,42.09,124.89
01.01.2022 16:00,9.99,104.85,135.59,135.59,42.3,42.3,135.59
01.01.2022 17:00,9.99,137.33,149.97,149.97,40.59,40.59,149.97
01.01.2022 18:00,9.99,133.91,150.71,150.71,40.11,40.11,150.71
01.01.2022 19:00,9.99,123.06,143.81,143.81,38.52,38.52,143.81
01.01.2022 20:00,9.99,94.93,140.36,140.36,34.71,34.71,140.36
01.01.2022 21:00,9.99,84.66,139.85,139.85,32.48,32.48,139.85
01.01.2022 22:00,9.99,74.49,135.08,135.08,32.88,32.88,135.08
01.01.2022 23:00,9.99,64.41,123.42,123.42,32.44,32.44,123.42
02.01.2022 00:00,10,49.38,113.56,113.56,32.03,32.03,113.56
02.01.2022 01:00,10,48.04,111.66,111.66,31.78,31.78,111.66
02.01.2022 02:00,10,46.59,106.53,106.53,31.8,31.8,106.53
02.01.2022 03:00,10,43.12,104.5,104.5,31.89,31.89,104.5
02.01.2022 04:00,10,34.91,104.06,104.06,29.56,29.56,104.06
02.01.2022 05:00,10,43.18,105.86,105.86,31.97,31.97,105.86
02.01.2022 06:00,10,46.83,111.97,111.97,31.66,31.66,111.97
02.01.2022 07:00,10,47,105.22,105.22,32.28,32.28,105.22
02.01.2022 08:00,10,52.19,111.53,111.53,32.93,32.93,111.53
02.01.2022 09:00,10,58.66,115.81,115.81,36.31,36.31,115.81
02.01.2022 10:00,10,65.96,121.94,121.94,37.29,37.29,121.94
02.01.2022 11:00,10,66.56,121.3,121.3,37.5,37.5,121.3
02.01.2022 12:00,10,64.97,112.43,112.43,37.49,37.49,112.43
02.01.2022 13:00,10,57.56,111.39,111.39,37.49,37.49,111.39
02.01.2022 14:00,10,62.69,111.48,111.48,36.97,36.97,111.48
02.01.2022 15:00,10,70.52,118.19,118.19,35.95,35.95,118.19
02.01.2022 16:00,10,75.19,122.3,122.3,35.03,35.03,122.3
02.01.2022 17:00,10,87.61,129.79,129.79,33.21,33.21,129.79
02.01.2022 18:00,10,82.34,135.97,135.97,32.95,32.95,135.97
02.01.2022 19:00,10,68.9,128.33,128.33,32.91,32.91,128.33
02.01.2022 20:00,10,62.04,116.32,116.32,33.25,33.25,116.32
02.01.2022 21:00,10,53.79,110.2,110.2,35.27,35.27,110.2
02.01.2022 22:00,10,53.7,104.81,104.81,38.97,38.97,104.81
02.01.2022 23:00,10,38.93,110.16,110.16,32.93,32.93,110.16
03.01.2022 00:00,10,33.85,124.99,124.99,20.89,20.89,124.99
03.01.2022 01:00,10,33.26,123.41,123.41,19.92,19.92,123.41
03.01.2022 02:00,10,32.08,122.73,122.73,19.87,19.87,122.73
03.01.2022 03:00,10,31.05,121.55,121.55,19.82,19.82,121.55
03.01.2022 04:00,10,31.6,122.21,122.21,20.26,20.26,122.21
03.01.2022 05:00,10,37.58,123.57,123.57,29.35,29.35,123.57
03.01.2022 06:00,10,61.13,120.68,120.68,34.93,34.93,120.68
03.01.2022 07:00,10,93.53,121,121,34.83,34.83,121
03.01.2022 08:00,10,108.11,126.6,126.6,37.02,37.02,126.6
03.01.2022 09:00,10,108.38,132.56,132.56,38.76,38.76,132.56
03.01.2022 10:00,10,97.27,122.97,122.97,38.81,38.81,122.97
03.01.2022 11:00,10,96.23,123.13,123.13,38.89,38.89,123.13
03.01.2022 12:00,10,96.44,123.97,123.97,38.94,38.94,123.97
03.01.2022 13:00,10,94.27,126.67,126.67,39.92,39.92,126.67
