Generert fra Tidsserie;;
;;
;;
;;
;;
;;
;;
;"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/BUAVATNET_TY1000_BE0102_A
[Meter]";"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/ORMSETVATN_TY1000_BE0102_A
[Meter]"
31/12/2009 24;329.33;383.61
01/01/2010 01;329.33;383.61
01/01/2010 02;329.33;383.61
01/01/2010 03;329.33;383.61
01/01/2010 04;329.33;383.61
01/01/2010 05;329.33;383.61
01/01/2010 06;329.34;383.61
01/01/2010 07;329.34;383.61
01/01/2010 08;329.34;383.61
01/01/2010 09;329.34;383.61
01/01/2010 10;329.34;383.61
01/01/2010 11;329.34;383.61
01/01/2010 12;329.34;383.61
01/01/2010 13;329.34;383.61
01/01/2010 14;329.34;383.61
01/01/2010 15;329.34;383.61
01/01/2010 16;329.34;383.61
01/01/2010 17;329.34;383.61
01/01/2010 18;329.36;383.64
01/01/2010 19;329.36;383.61
01/01/2010 20;329.36;383.61
01/01/2010 21;329.36;383.61
01/01/2010 22;329.36;383.61
01/01/2010 23;329.36;383.61
01/01/2010 24;329.36;383.61
02/01/2010 01;329.36;383.61
02/01/2010 02;329.36;383.61
02/01/2010 03;329.36;383.61
02/01/2010 04;329.36;383.61
02/01/2010 05;329.36;383.61
02/01/2010 06;329.36;383.61
02/01/2010 07;329.36;383.61
02/01/2010 08;329.36;383.61
02/01/2010 09;329.38;383.61
02/01/2010 10;329.38;383.59
02/01/2010 11;329.38;383.59
02/01/2010 12;329.38;383.59
02/01/2010 13;329.38;383.57
02/01/2010 14;329.39;383.57
02/01/2010 15;329.39;383.55
02/01/2010 16;329.39;383.55
02/01/2010 17;329.39;383.55
02/01/2010 18;329.39;383.55
02/01/2010 19;329.39;383.53
02/01/2010 20;329.39;383.53
02/01/2010 21;329.39;383.53
02/01/2010 22;329.39;383.50
02/01/2010 23;329.39;383.50
02/01/2010 24;329.39;383.48
03/01/2010 01;329.39;383.48
03/01/2010 02;329.41;383.48
03/01/2010 03;329.41;383.48
03/01/2010 04;329.41;383.48
03/01/2010 05;329.41;383.48
03/01/2010 06;329.41;383.48
03/01/2010 07;329.41;383.48
03/01/2010 08;329.41;383.48
03/01/2010 09;329.41;383.48
03/01/2010 10;329.43;383.48
03/01/2010 11;329.43;383.48
03/01/2010 12;329.43;383.46
03/01/2010 13;329.43;383.46
03/01/2010 14;329.43;383.46
03/01/2010 15;329.43;383.43
03/01/2010 16;329.43;383.43
03/01/2010 17;329.43;383.43
03/01/2010 18;329.43;383.43
03/01/2010 19;329.43;383.41
03/01/2010 20;329.43;383.39
03/01/2010 21;329.45;383.39
03/01/2010 22;329.45;383.39
03/01/2010 23;329.45;383.36
03/01/2010 24;329.45;383.36
04/01/2010 01;329.45;383.36
04/01/2010 02;329.45;383.36
04/01/2010 03;329.45;383.36
04/01/2010 04;329.45;383.36
04/01/2010 05;329.47;383.36
04/01/2010 06;329.46;383.36
04/01/2010 07;329.47;383.36
04/01/2010 08;329.47;383.36
04/01/2010 09;329.47;383.35
04/01/2010 10;329.47;383.35
04/01/2010 11;329.47;383.35
04/01/2010 12;329.47;383.35
04/01/2010 13;329.47;383.35
04/01/2010 14;329.47;383.35
04/01/2010 15;329.48;383.35
04/01/2010 16;329.48;383.35
04/01/2010 17;329.48;383.35
04/01/2010 18;329.48;383.35
04/01/2010 19;329.48;383.35
04/01/2010 20;329.48;383.35
04/01/2010 21;329.48;383.35
04/01/2010 22;329.48;383.32
04/01/2010 23;329.48;383.30
04/01/2010 24;329.48;383.30
05/01/2010 01;329.48;383.30
05/01/2010 02;329.50;383.30
05/01/2010 03;329.50;383.30
05/01/2010 04;329.50;383.30
05/01/2010 05;329.50;383.30
05/01/2010 06;329.50;383.30
05/01/2010 07;329.50;383.30
05/01/2010 08;329.50;383.30
05/01/2010 09;329.50;383.30
05/01/2010 10;329.50;383.30
05/01/2010 11;329.50;383.30
05/01/2010 12;329.50;383.26
05/01/2010 13;329.50;383.26
05/01/2010 14;329.52;383.24
05/01/2010 15;329.52;383.24
05/01/2010 16;329.52;383.22
05/01/2010 17;329.52;383.22
05/01/2010 18;329.52;383.20
05/01/2010 19;329.52;383.20
05/01/2010 20;329.52;383.20
05/01/2010 21;329.52;383.20
05/01/2010 22;329.52;383.20
05/01/2010 23;329.52;383.20
05/01/2010 24;329.52;383.20
06/01/2010 01;329.52;383.20
06/01/2010 02;329.52;383.20
06/01/2010 03;329.52;383.20
06/01/2010 04;329.52;383.20
06/01/2010 05;329.54;383.20
06/01/2010 06;329.54;383.20
06/01/2010 07;329.54;383.20
06/01/2010 08;329.54;383.20
06/01/2010 09;329.54;383.17
06/01/2010 10;329.54;383.15
06/01/2010 11;329.54;383.15
06/01/2010 12;329.55;383.13
06/01/2010 13;329.55;383.13
06/01/2010 14;329.55;383.13
06/01/2010 15;329.55;383.11
06/01/2010 16;329.55;383.11
06/01/2010 17;329.55;383.09
06/01/2010 18;329.55;383.09
06/01/2010 19;329.56;383.06
06/01/2010 20;329.56;383.06
06/01/2010 21;329.56;383.06
06/01/2010 22;329.56;383.04
06/01/2010 23;329.56;383.04
06/01/2010 24;329.56;383.02
07/01/2010 01;329.56;383.02
07/01/2010 02;329.56;383.02
07/01/2010 03;329.56;383.00
07/01/2010 04;329.56;383.00
07/01/2010 05;329.56;382.98
07/01/2010 06;329.56;382.98
07/01/2010 07;329.56;382.98
07/01/2010 08;329.58;382.95
07/01/2010 09;329.57;382.95
07/01/2010 10;329.58;382.93
07/01/2010 11;329.58;382.93
07/01/2010 12;329.58;382.91
07/01/2010 13;329.58;382.91
07/01/2010 14;329.58;382.91
07/01/2010 15;329.58;382.89
07/01/2010 16;329.58;382.89
07/01/2010 17;329.59;382.87
07/01/2010 18;329.59;382.87
07/01/2010 19;329.59;382.87
07/01/2010 20;329.59;382.84
07/01/2010 21;329.59;382.84
07/01/2010 22;329.59;382.84
07/01/2010 23;329.59;382.82
07/01/2010 24;329.59;382.82
08/01/2010 01;329.59;382.82
08/01/2010 02;329.59;382.80
08/01/2010 03;329.59;382.80
08/01/2010 04;329.59;382.80
08/01/2010 05;329.59;382.78
08/01/2010 06;329.59;382.78
08/01/2010 07;329.59;382.74
08/01/2010 08;329.59;382.74
08/01/2010 09;329.60;382.74
08/01/2010 10;329.60;382.72
08/01/2010 11;329.61;382.72
08/01/2010 12;329.61;382.72
08/01/2010 13;329.61;382.70
08/01/2010 14;329.61;382.70
08/01/2010 15;329.61;382.70
08/01/2010 16;329.61;382.69
08/01/2010 17;329.61;382.69
08/01/2010 18;329.61;382.69
08/01/2010 19;329.61;382.66
08/01/2010 20;329.61;382.66
08/01/2010 21;329.61;382.63
08/01/2010 22;329.61;382.63
08/01/2010 23;329.61;382.63
08/01/2010 24;329.61;382.61
09/01/2010 01;329.63;382.61
09/01/2010 02;329.63;382.59
09/01/2010 03;329.63;382.59
09/01/2010 04;329.63;382.59
09/01/2010 05;329.63;382.59
09/01/2010 06;329.63;382.57
09/01/2010 07;329.63;382.54
09/01/2010 08;329.63;382.54
09/01/2010 09;329.63;382.54
09/01/2010 10;329.63;382.52
09/01/2010 11;329.63;382.52
09/01/2010 12;329.63;382.50
09/01/2010 13;329.63;382.50
09/01/2010 14;329.63;382.48
09/01/2010 15;329.63;382.48
09/01/2010 16;329.63;382.46
09/01/2010 17;329.63;382.46
09/01/2010 18;329.63;382.46
09/01/2010 19;329.63;382.43
09/01/2010 20;329.63;382.43
09/01/2010 21;329.65;382.41
09/01/2010 22;329.65;382.41
09/01/2010 23;329.65;382.41
09/01/2010 24;329.65;382.39
10/01/2010 01;329.65;382.39
10/01/2010 02;329.65;382.37
10/01/2010 03;329.65;382.37
10/01/2010 04;329.65;382.37
10/01/2010 05;329.65;382.35
10/01/2010 06;329.65;382.35
10/01/2010 07;329.65;382.32
10/01/2010 08;329.65;382.32
10/01/2010 09;329.65;382.30
10/01/2010 10;329.65;382.30
10/01/2010 11;329.65;382.30
10/01/2010 12;329.65;382.30
10/01/2010 13;329.65;382.27
10/01/2010 14;329.65;382.27
10/01/2010 15;329.65;382.25
10/01/2010 16;329.67;382.25
10/01/2010 17;329.67;382.23
10/01/2010 18;329.67;382.23
10/01/2010 19;329.67;382.23
10/01/2010 20;329.67;382.21
10/01/2010 21;329.67;382.21
10/01/2010 22;329.67;382.21
10/01/2010 23;329.67;382.19
10/01/2010 24;329.67;382.19
11/01/2010 01;329.64;382.19
11/01/2010 02;329.54;382.19
11/01/2010 03;329.45;382.19
11/01/2010 04;329.37;382.19
11/01/2010 05;329.27;382.19
11/01/2010 06;329.25;382.19
11/01/2010 07;329.25;382.19
11/01/2010 08;329.25;382.19
11/01/2010 09;329.25;382.19
11/01/2010 10;329.25;382.19
11/01/2010 11;329.25;382.19
11/01/2010 12;329.25;382.19
11/01/2010 13;329.25;382.19
11/01/2010 14;329.25;382.19
11/01/2010 15;329.25;382.19
11/01/2010 16;329.25;382.19
11/01/2010 17;329.25;382.19
11/01/2010 18;329.25;382.16
11/01/2010 19;329.25;382.16
11/01/2010 20;329.25;382.16
11/01/2010 21;329.25;382.16
11/01/2010 22;329.25;382.16
11/01/2010 23;329.25;382.14
11/01/2010 24;329.25;382.14
12/01/2010 01;329.25;382.14
12/01/2010 02;329.25;382.12
12/01/2010 03;329.27;382.12
12/01/2010 04;329.27;382.12
12/01/2010 05;329.27;382.10
12/01/2010 06;329.27;382.10
12/01/2010 07;329.27;382.08
12/01/2010 08;329.27;382.05
12/01/2010 09;329.27;382.05
12/01/2010 10;329.27;382.05
12/01/2010 11;329.28;382.05
12/01/2010 12;329.28;382.02
12/01/2010 13;329.28;382.02
12/01/2010 14;329.28;382.02
12/01/2010 15;329.28;381.99
12/01/2010 16;329.28;381.99
12/01/2010 17;329.28;381.97
12/01/2010 18;329.28;381.97
12/01/2010 19;329.28;381.95
12/01/2010 20;329.28;381.95
12/01/2010 21;329.28;381.95
12/01/2010 22;329.28;381.95
12/01/2010 23;329.28;381.95
12/01/2010 24;329.28;381.95
13/01/2010 01;329.28;381.95
13/01/2010 02;329.28;381.95
13/01/2010 03;329.28;381.95
13/01/2010 04;329.28;381.95
13/01/2010 05;329.30;381.95
13/01/2010 06;329.30;381.95
13/01/2010 07;329.30;381.95
13/01/2010 08;329.30;381.95
13/01/2010 09;329.30;381.93
13/01/2010 10;329.30;381.93
13/01/2010 11;329.30;381.93
13/01/2010 12;329.30;381.93
13/01/2010 13;329.30;381.93
13/01/2010 14;329.30;381.93
13/01/2010 15;329.30;381.93
13/01/2010 16;329.30;381.93
13/01/2010 17;329.30;381.93
13/01/2010 18;329.30;381.93
13/01/2010 19;329.30;381.93
13/01/2010 20;329.30;381.93
13/01/2010 21;329.30;381.93
13/01/2010 22;329.30;381.93
13/01/2010 23;329.32;381.93
13/01/2010 24;329.32;381.93
14/01/2010 01;329.32;381.93
14/01/2010 02;329.32;381.93
14/01/2010 03;329.32;381.93
14/01/2010 04;329.32;381.93
14/01/2010 05;329.32;381.93
14/01/2010 06;329.32;381.93
14/01/2010 07;329.32;381.93
14/01/2010 08;329.32;381.93
14/01/2010 09;329.32;381.91
14/01/2010 10;329.32;381.91
14/01/2010 11;329.33;381.88
