State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(0, 0)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999999,-50498.0009625,-49118.59043000002,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-40533.44795499999,-40533.44795499999,-40533.44795499999,-40533.44795499999,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.631677499994,-34475.61708500003,-34369.508582500035,-34369.508582500035,-34369.50858250002
"(0, 4)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999999,-50498.0009625,-49118.59043000002,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42244.68871350001,-42279.415132500006,-42275.23510058333,-40533.44795499999,-40467.834315544955,-40483.86634564996,-40529.58946399999,-38401.63167749998,-38401.63167749998,-38361.76060383331,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.631677499994,-34475.61708500003,-34369.508582500035,-34308.41580833337,-31863.740218916675
"(0, 8)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50916.647236000004,-51279.34538999998,-51279.34538999999,-50498.0009625,-49118.59043000002,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42110.41001129083,-42133.853559525,-42275.23510058333,-42275.23510058333,-40467.83431554493,-40467.834315544955,-40483.86634564996,-40529.58946399999,-36617.498527616735,-36607.43336250002,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34606.484238083365,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.631677499994,-34475.61708500003,-32194.377619755986,-31761.83318439445,0.0
"(0, 12)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51245.58359374999,-50487.742206828436,-49118.59043000002,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42133.11598753426,-42133.115987534264,-42133.115987534286,-42151.022558311335,-42275.23510058333,-42275.23510058333,-40455.67670188005,-40433.77644622955,-40433.77644622957,-40454.28875213402,-36607.433362500036,-36607.43336250002,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34606.484238083365,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38372.04991316666,-33183.237675146454,-31761.833184394436,0.0,0.0
"(0, 16)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50782.8168462212,-50487.742206828436,-50487.742206828436,-50487.742206828436,-50487.742206828436,-49118.59043000002,-42771.37273499999,-42185.884176301726,-42133.11598753426,-42133.11598753426,-42133.11598753426,-42133.115987534264,-42133.115987534286,-41793.29360484775,-41890.25247333227,-42008.85443925807,-40435.86944606484,-40433.77644622955,-40433.77644622957,-40454.28875213402,-36607.433362500036,-36607.43336250002,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.617085000034,-36632.83509491664,-36632.83509491664,-36632.83509491664,-36632.83509491664,-36632.83509491666,-33183.23767514646,-31761.833184394425,0.0,0.0,0.0
"(0, 20)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50782.81684622121,-50487.742206828436,-50487.742206828436,-50487.742206828436,-50487.742206828436,-50487.742206828436,-49118.59043000002,-42771.37273499999,-42133.11598753426,-42133.11598753426,-42133.11598753426,-41541.4523822996,-41040.23978914496,-40476.33316686465,-40570.00506664328,-40579.7356823871,-40595.953375293495,-40433.77644622955,-40433.77644622955,-40433.77644622957,-40454.28875213402,-36607.433362500036,-36607.43336250002,-34475.61708500003,-35068.53853533335,-35068.53853533335,-35068.53853533335,-35068.53853533335,-35068.53853533335,-35068.53853533335,-35068.53853533334,-33183.23767514652,-31761.83318439441,0.0,0.0,0.0,0.0
"(9, 0)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51259.08831224997,-50498.0009625,-50498.0009625,-50498.0009625,-49118.590430000026,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-40533.44795499999,-40533.44795499999,-40533.44795499999,-40533.44795499999,-40533.44795499999,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38355.329785499984,-34520.3112724167,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34369.508582500035,-34369.508582500035,-15445.539473000004,0.0
"(9, 4)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-50498.0009625,-50498.0009625,-50498.0009625,-49118.590430000026,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-41282.31674991667,-40533.44795499999,-40533.44795499999,-40533.44795499999,-40533.44795499999,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-34502.43359745005,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34369.508582500035,-18124.361157933345,0.0,0.0
"(9, 8)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-50498.0009625,-50498.0009625,-50498.0009625,-50498.0009625,-49118.590430000026,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-41811.573098749985,-40533.44795499999,-40533.44795499999,-40532.48333224999,-40526.886591054485,-40467.83431554493,-38401.63167749998,-38401.63167749998,-36607.433362500036,-36607.433362500036,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-31761.83318439441,0.0,0.0,0.0
"(9, 12)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-50498.0009625,-50498.0009625,-49629.820463324715,-49118.59043000003,-49118.590430000026,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-41222.188598500004,-40533.44795499999,-40467.83431554493,-40467.83431554493,-40467.83431554493,-40467.83431554493,-40467.83431554493,-38341.82506699998,-36607.433362500036,-36607.433362500036,-36607.433362500036,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-31761.833184394396,-31761.833184394407,0.0,0.0,0.0,0.0
