State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",-39736.44566131335,-77893.2870158904,-77893.28701933479,-77893.28703058344,-77893.28704281001,-77893.28704296863,-77893.28704168835,-77893.28704024623,-77893.28703865666,-77893.28703141745,-77893.28702155412,-77893.28701227478,-77893.28700678602,-77893.28677628937,-77893.28629937714,-77893.28703571677,-77893.28703522946,-77893.28703605206,-77893.28703677279,-77893.28704516459,-77893.28704820477,-77893.28703186738,-77893.28706062367,-77893.28705874733,-77893.28705226554,-77893.28705435515,-77893.28702759354,-77893.28671343563,-77893.28444451746,-77893.26742763113,-77893.28395945877,-77893.26378969093,-77893.25819175261,-77893.23811999461,-77893.28283268228,-77893.28567080629,-77893.28652361636,-77893.28477875188,-77893.28614831025,-77893.28660419934,-77893.28706114113,-77893.2870612225,-77893.28660433533,-77893.28705984382,-77893.28705786221,-77893.28705441905,-77893.28702331246,-77893.28701587663,-77893.28701221067,-77893.28700483372,-77893.28697144796,-77893.28695743991,-77893.28689390286,-77893.28687608712,-77893.28668057648,-77893.28674205541,-77893.28694167011,-77893.2868527132,-77893.28689403798,-77893.2869182458,-77893.28695545577,-77893.28701797975,-77893.2870068907,-77893.2867743031,-77893.28673816094,-77893.28664026115,-77893.28700178089,-77893.28697575841,-77893.28662831319,-77893.28445220547,-77893.27132312638,-77893.2804419537,-77893.24733396004,-77893.04865617905,-77893.07163589667,-77893.26369660179,-77892.58608555394,-77893.00010462402,-77888.97744267134,-77828.56398973138,-77810.72257170573,-77272.99552592888,-77771.8704220459,-77164.24280569585,-76293.48364999205,-74665.45539835928,-74968.63227892377,-76964.8032003897,-77624.26804503682,-77855.18078646375,-77892.51179643247,-77893.28652303845,-77893.28571384614,-77893.27694759618,-77893.24371291227,-77892.85356662289,-77893.1833472499,-77892.50919812437,-77889.39774062196,-77864.11714841482,-77768.27314499227,-77518.24530997683,-72267.66077465276,-59718.18674791664
"(0, 4)",-39736.44566131335,-77893.28697987272,-77893.28698302,-77893.28698478453,-77893.28698478453,-77893.2869932254,-77893.28700231008,-77893.28697294343,-77893.28676287727,-77893.28618610106,-77893.28075634643,-77893.28075634644,-77893.28075646704,-77893.28075646704,-77893.28075646707,-77893.28696764029,-77893.28696948448,-77893.2869708177,-77893.28697222903,-77893.28697401144,-77893.2869740114,-77893.2869675829,-77893.28686833306,-77893.2844698704,-77893.28446987044,-77893.28285986687,-77893.28301546046,-77893.23124380808,-77893.23124380808,-77893.2375096145,-77893.01270666333,-77893.03268742442,-77893.06003546742,-77893.10613515438,-77893.2576747264,-77893.27200416483,-77893.27326588,-77893.27339059331,-77893.27339290456,-77893.27339324617,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.28697132245,-77893.28697132244,-77893.28697132242,-77893.2869713224,-77893.2853415528,-77893.28535020874,-77893.28542803616,-77893.28552576207,-77893.28573853752,-77893.28596534878,-77893.28596534877,-77893.28621278254,-77893.28640351216,-77893.28652956079,-77893.2866506555,-77893.28637298437,-77893.28225259316,-77893.28225259314,-77893.28304512451,-77893.28339092672,-77893.28563325568,-77893.27573785264,-77893.22128555008,-77893.09495223929,-77893.11048778649,-77893.00485964425,-77891.00135035532,-77891.00135035529,-77879.29933080482,-77870.33872098167,-77872.1750580865,-77168.16447297622,-77168.16447297622,-77168.16447297618,-77182.77245728447,-75857.98735341273,-69267.95396931082,-69054.32566010136,-69442.145904583,-69609.78146157178,-71270.27894839764,-75135.22406419538,-76817.09379694088,-77636.2413361275,-77882.84034374772,-77892.8625523734,-77893.2437129123,-77893.2437129123,-77860.6972550133,-77860.6972550133,-77868.69444032345,-77654.36162011533,-76974.65986006697,-66027.55490312362,-65114.4984024889,-64800.128571524336,-50585.80512149307,-15488.549496875
"(0, 8)",-39736.44566131335,-77893.2867677725,-77893.28646985049,-77893.28510334603,-77893.280736072,-77893.2807469334,-77893.28074995709,-77893.28075301435,-77893.28075329014,-77893.28075565635,-77893.2807556564,-77893.28075518088,-77893.28075526126,-77893.28075646704,-77893.28075646707,-77893.28695104267,-77893.28695104264,-77893.28695105856,-77893.28695105857,-77893.28684676952,-77893.28506538282,-77893.28511796001,-77893.27125842778,-77893.20520121466,-77893.20520121469,-77893.20606182514,-77893.20606182513,-77892.51101112181,-77892.51101112181,-77892.51101112184,-77892.38211763857,-77892.43326459195,-77892.59022572967,-77892.64513828505,-77893.00116274819,-77893.26377756332,-77893.2729540967,-77893.27339059331,-77893.2733925744,-77893.27339324617,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.28533289694,-77893.28533289694,-77893.28533289694,-77893.28533289694,-77893.28533289692,-77893.2850905321,-77893.28456563874,-77893.28472957054,-77893.28490742597,-77893.28471628723,-77893.28286843417,-77893.2809075994,-77893.28099183786,-77893.28124095828,-77893.28124624459,-77893.28160558548,-77893.27740003557,-77893.27740003554,-77893.27947826585,-77893.11181696781,-77892.43423254843,-77890.75122194011,-77890.75122194011,-77890.7512219401,-77890.75122194008,-77890.92822420603,-77855.84857386218,-76837.7477333309,-76836.1100367571,-76836.1100367571,-76836.11003675709,-73529.86797933308,-67245.53767213131,-67245.5376721313,-67308.31815185536,-67308.31815185536,-68037.2974197622,-65306.73501071994,-65107.73737019931,-64049.89989495078,-65591.00735564926,-71112.87814410239,-74563.43657417309,-76871.2529790035,-77771.81920178753,-77856.59152011256,-77860.6972550133,-77860.6972550133,-74279.11396719485,-65948.09482540874,-65782.73033883913,-65217.97208776008,-64453.68124592526,-62665.017802645256,-55821.20962495731,-45802.57660039932,-8260.559731666666,0.0
"(0, 12)",-39736.44566131335,-77893.28068567275,-77893.28069458665,-77893.28072319423,-77893.28072837638,-77893.28074629657,-77893.28074746771,-77893.28074961973,-77893.28075191117,-77893.28074378862,-77893.2807437886,-77893.28073630233,-77893.28072029416,-77893.28072029415,-77893.28075646707,-77893.28695087698,-77893.28545443434,-77893.28414488815,-77893.28414488814,-77893.2842810763,-77893.26171005185,-77892.99871318757,-77892.99885194348,-77892.43139144778,-77892.43139144778,-77892.43325245897,-77892.433252459,-77890.17825123777,-77890.26958320652,-77890.59648809036,-77891.44841257692,-77891.66606029145,-77892.07949671974,-77892.09601273113,-77892.60292817844,-77893.15921496539,-77893.25073138994,-77893.27245524341,-77893.27339191404,-77893.27339324617,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.28533289694,-77893.28528961234,-77893.28403435882,-77893.28403435882,-77893.28403435885,-77893.28404110501,-77893.27523988675,-77893.2752644503,-77893.27534226597,-77893.27635702396,-77893.27635702396,-77893.27876667347,-77893.26626447469,-77893.17906623973,-77892.77236507357,-77890.73660749242,-77890.73660749239,-77890.73660749236,-77890.73841632642,-77890.73841632642,-77890.74683036617,-77890.75122194011,-77890.75122194011,-77802.18380463615,-76562.23996238098,-75546.21383139517,-75546.21383139519,-67151.24346881329,-67151.86578416628,-67152.44594088219,-67152.44594088219,-67206.531386402,-67093.46330038217,-66203.65420916777,-66142.61230836032,-65068.081742353985,-65205.88640253373,-62359.766920582755,-60410.19431589028,-56499.18509472025,-52847.00556735354,-57317.36042479935,-59843.758327268966,-63646.18705603702,-65291.65802912867,-66040.05906083739,-66039.12064736658,-65934.74800287701,-65594.64518338592,-64622.65866782319,-63560.56833229023,-62074.08829404645,-56569.34093577302,-49530.93415046504,-28803.23551730626,-4405.631856888888,0.0,0.0
"(0, 16)",-39736.44566131335,-77833.62057835404,-77833.62057835405,-77833.62816819687,-77893.28068970433,-77893.28072119363,-77893.28071396325,-77893.28068200526,-77893.28068241078,-77893.28068840735,-77893.28068840735,-77893.28069832078,-77893.280705825,-77893.28064794834,-77893.28075646707,-77893.2827773578,-77893.28277735777,-77893.28121446593,-77893.24118170951,-77892.98767748455,-77885.04073303149,-77773.63161880005,-77817.1932210635,-77773.63428031471,-77888.43420445593,-77884.5160163113,-77773.67471024393,-77878.64076548025,-77777.04836293616,-77880.78934157408,-77891.23076486241,-77888.40134457378,-77889.35713511617,-77891.60053239067,-77891.92727316872,-77892.60029475245,-77893.1748849728,-77893.27245524341,-77893.2733912537,-77893.27339324617,-77893.27339336881,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.28332496497,-77893.28332496494,-77893.27339345058,-77893.2733934506,-77893.27339345061,-77893.27339345064,-77893.26838375752,-77893.14702635095,-77892.3415731413,-77890.73075939713,-77890.73075939709,-77890.73239740102,-77890.73310076518,-77890.73365603056,-77890.7347665614,-77890.73660749242,-77890.73660749239,-77889.73822111425,-77878.79470555317,-77711.65058600473,-76816.2359810643,-67145.59881318176,-67145.59881318176,-67145.59881318176,-67145.68600161005,-67145.80883807763,-67145.80883807766,-67069.72400777847,-66372.468918832,-66373.27861096084,-66318.12653399307,-66350.3033722691,-66213.52334232157,-65830.46192427521,-64879.95139550188,-63207.1800862465,-62074.62180586866,-56013.345647763046,-49718.24931908752,-44529.97049023704,-43245.30966692879,-49032.19015604644,-54039.48199301562,-60510.57320527189,-63832.88739751382,-65318.35984885716,-65365.40435563058,-65276.588465855675,-63686.304878204675,-59940.889719730374,-58643.40682461471,-51360.50903371034,-40371.93455047348,-21636.36309599496,-2202.815928444444,0.0,0.0,0.0
"(0, 20)",-39736.44566131335,-77489.9631302746,-77451.80852725623,-77833.62816819687,-77833.62816819684,-77833.63200696216,-76998.56349774367,-77130.49396140456,-77501.21818163022,-77831.25783819912,-77783.82859980459,-77783.82859980463,-77564.92469631418,-77445.5225320836,-77509.48799270982,-77893.2807564671,-77509.48415314312,-77253.5194864183,-77344.87094517985,-77722.98774719083,-77722.98774719084,-77393.82547506409,-77773.63428031468,-77773.63428031471,-77773.63428031474,-77773.67471024393,-77393.82528732327,-77773.67471024393,-77773.98140594324,-77777.04836293616,-77785.98186389355,-77785.98186389355,-77416.99419964253,-76385.85554244461,-76615.00016844501,-76024.89635061011,-76242.7243325145,-76741.89330024963,-77893.27339059333,-77893.27339290461,-77893.27339324619,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.2733934506,-77893.15368496842,-77889.68213898478,-77786.09572230051,-77740.21659199319,-77436.10665625929,-77697.35418782462,-77363.34010965397,-77742.0972066292,-77742.09866261894,-77547.733257085,-77099.19777104528,-71773.36443025699,-67095.3739417829,-67095.37394178293,-67120.06211420073,-67120.06211420069,-67145.59881318176,-67145.59881318176,-67145.59881318176,-66379.26425936264,-66379.16185405041,-66379.26858208749,-66378.3515354373,-66368.03476062258,-66360.79619599596,-66335.13294216649,-66254.2921698311,-66174.59233411371,-65835.61270217871,-64886.42873131211,-63314.39186069938,-61397.64994570486,-56335.94384741038,-45273.71888679935,-39092.88645427177,-34784.380329694686,-35599.907903288324,-39883.89725876614,-46200.35701994658,-55118.09933104967,-60335.38212163071,-63689.71516029387,-63895.06495732477,-62659.869590351154,-58554.12843893726,-51872.99956395828,-44786.38974223227,-30474.77526303175,-15487.086734923065,-1174.8351618370368,0.0,0.0,0.0,0.0
"(9, 0)",-39736.44566131335,-77893.2868481818,-77893.28688860206,-77893.28694896282,-77893.28696137188,-77893.2869093446,-77893.28699684991,-77893.2870167494,-77893.28701759105,-77893.28701531881,-77893.2869875126,-77893.28689912737,-77893.28664862897,-77893.28614903014,-77893.2852392207,-77893.28696674101,-77893.28695172534,-77893.2868833159,-77893.28633924611,-77893.28697737,-77893.28695920767,-77893.28704932894,-77893.28704876071,-77893.28702129742,-77893.28658774353,-77893.28679619072,-77893.28563917661,-77893.27597084557,-77893.25735235104,-77893.262541128,-77893.2259976259,-77893.10629224204,-77892.96025899713,-77893.13419247442,-77893.25365532945,-77893.27810228594,-77893.28392659246,-77893.2847771423,-77893.2861450995,-77893.28660303712,-77893.28705870545,-77893.28705870545,-77893.28660319696,-77893.28705870545,-77893.28705617577,-77893.28705195963,-77893.28699324375,-77893.28697984175,-77893.28695303157,-77893.28690273174,-77893.2862842855,-77893.28527166108,-77893.28309321363,-77893.28259398571,-77893.28216008953,-77893.2832563151,-77893.28392496418,-77893.28250127597,-77893.2824535154,-77893.28418447431,-77893.28301781406,-77893.28598701542,-77893.28479627549,-77893.27141873016,-77893.27918578894,-77893.27301686163,-77893.27816461009,-77893.26917648799,-77893.25688403107,-77893.11578666528,-77892.87745457805,-77892.84798168467,-77892.71105529909,-77889.67167258599,-77886.56554493334,-77886.96445979067,-77817.08494494298,-77872.5447119947,-77724.44747497901,-77445.98616556561,-76963.65269266047,-75981.31163911243,-75605.39666132079,-72258.75029824316,-67210.86229081989,-64580.71475190766,-65992.500408359,-70992.6305321407,-74249.26228056362,-76849.71393387599,-77749.45475102145,-77882.64156158765,-77881.80889674512,-77879.4447360851,-77824.24882877631,-77705.74973613225,-77628.77888102035,-76815.8602485711,-75412.00352819689,-70834.59441064768,-50585.53091938852,-16182.971121635792,0.0,0.0
"(9, 4)",-39736.44566131335,-77893.28673227812,-77893.2866336238,-77893.28693184904,-77893.28686805425,-77893.28674444901,-77893.28680659653,-77893.28667437707,-77893.28658561851,-77893.2861521487,-77893.28074337471,-77893.28073564531,-77893.28075284974,-77893.28075646704,-77893.28075646707,-77893.28695061215,-77893.28693327577,-77893.286824757,-77893.28617508503,-77893.28692053897,-77893.28644494966,-77893.28588085654,-77893.2861923061,-77893.28410366406,-77893.27906839158,-77893.27231925148,-77893.22443957564,-77893.16320148372,-77893.13860302718,-77892.97494223392,-77892.9672616816,-77892.76001753399,-77892.70940391513,-77892.64325509468,-77892.78157971584,-77893.26015902714,-77893.26894300319,-77893.27245524341,-77893.2733896028,-77893.27339256306,-77893.27339259212,-77893.2733934263,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.27339345058,-77893.28697061418,-77893.28695007435,-77893.28669818817,-77893.28609898088,-77893.28460123616,-77893.28350035324,-77893.2813396959,-77893.2798116154,-77893.27957176356,-77893.28187004454,-77893.28033587743,-77893.28114161352,-77893.28068162403,-77893.2823863326,-77893.28085505961,-77893.28182865163,-77893.27753442916,-77893.26203189028,-77893.2628360417,-77893.22825549202,-77893.24076932276,-77893.21031502767,-77893.02403901414,-77892.42767928161,-77892.05690330897,-77891.4888046494,-77888.80756587668,-77876.71007194681,-77858.50767983953,-77841.13233261419,-77799.35693799757,-77268.24870849804,-77048.64635312337,-76452.90365959558,-75294.66864780478,-73058.88409275997,-70570.48322949016,-63546.7110900528,-60038.822183897624,-56621.482535686664,-57422.03743358953,-63457.092774398196,-69618.76864395478,-74294.4109055108,-77172.9662575346,-77757.86090916705,-77799.11123150225,-77678.61097462797,-76950.42170388608,-74468.62959793436,-73010.98588432622,-67782.213320339,-51017.475300470294,-27843.127666729393,-5391.424942574283,0.0,0.0,0.0
"(9, 8)",-39736.44566131335,-77893.28468892672,-77893.28463095144,-77893.28347848685,-77893.28053607202,-77893.2806044543,-77893.28068165136,-77893.28070238186,-77893.28068316802,-77893.2807319945,-77893.28072228355,-77893.2806777122,-77893.2806683627,-77893.28072029415,-77893.28075646707,-77893.28692586655,-77893.28682798949,-77893.28680996114,-77893.28610520581,-77893.28641266742,-77893.28408070005,-77893.28068182456,-77893.2655769517,-77893.20457375258,-77893.12840783234,-77893.18024351166,-77893.08682596617,-77892.48376959142,-77892.34957011399,-77892.17294973119,-77891.38643893223,-77890.63044825343,-77891.11448221219,-77890.79676711923,-77892.03614754223,-77893.08947423023,-77893.25809972297,-77893.27245524341,-77893.27338663123,-77893.27339085525,-77893.2733918757,-77893.27339326845,-77893.27339345058,-77893.27339266999,-77893.27339345058,-77893.27339345058,-77893.28527903375,-77893.28527223527,-77893.28507291838,-77893.28467708554,-77893.28414840742,-77893.28202034524,-77893.27815537876,-77893.27452754276,-77893.27300779436,-77893.27623165169,-77893.27416095197,-77893.27638490725,-77893.27846468381,-77893.27376734612,-77893.27355641955,-77893.27621547211,-77893.26720903888,-77893.24218380738,-77893.21713135534,-77893.098032526,-77892.81850469376,-77890.61947472217,-77890.52346432908,-77889.3846762739,-77887.71877418767,-77885.6181562283,-77844.07242313989,-76854.27021833786,-76885.24093397154,-77063.12910419611,-77063.12910419611,-73516.05418770007,-67321.21141466283,-66949.41103514469,-66353.72406823856,-64145.07596490821,-61025.16137225151,-55646.783475137774,-50321.87346121131,-45202.59523103297,-45859.152938507774,-51686.353350878024,-58930.4236414109,-68178.0386970063,-73283.11747591126,-76733.10266165578,-76417.98207167951,-74759.0774143807,-65993.70025635927,-56302.73856083755,-49286.09593665751,-37397.81440341063,-22373.67000124074,-1974.8266770308824,0.0,0.0,0.0,0.0
"(9, 12)",-39736.44566131335,-77893.28031041565,-77893.28042716884,-77893.2805086376,-77893.2804434437,-77893.28040378333,-77893.28066503601,-77893.28068505887,-77893.28067024559,-77893.28070249302,-77893.2806255649,-77893.28040091686,-77893.28048069924,-77893.27972470308,-77893.28075646707,-77893.28645079982,-77893.28395828481,-77893.28368096516,-77893.28225116807,-77893.28019543008,-77893.26153618826,-77892.9934972799,-77892.9946892658,-77892.41578140651,-77892.37935797693,-77892.37742212425,-77892.12153284863,-77888.97433697392,-77885.89279609417,-77879.31789499249,-77885.4049661719,-77881.73671710562,-77887.84348868253,-77888.41664264821,-77888.42645637128,-77891.65003362532,-77892.53760009556,-77893.26964919367,-77893.27338365965,-77893.27338812275,-77893.27339023641,-77893.27339222418,-77893.2733930863,-77893.27339110877,-77893.27339345058,-77893.27338759605,-77893.28528445504,-77893.28507090427,-77893.28408289283,-77893.28405558014,-77893.28281576202,-77893.27854879452,-77893.27423587885,-77893.26648374695,-77893.25881072097,-77893.26113565403,-77893.2490914194,-77893.24262193024,-77893.2289642693,-77893.13847060656,-77892.7602519531,-77890.73299409276,-77890.72826887784,-77890.70087057285,-77890.68415130446,-77890.60275377154,-77890.66268996886,-77890.30505962075,-77889.07638151242,-77798.90783605378,-76559.7388991715,-75545.71065442829,-75544.32691776933,-67137.09161661928,-67133.19632357541,-67135.04123940469,-66978.39892610723,-66894.41254944557,-65423.50373622756,-63618.21146739078,-61577.70640094826,-58185.979290594,-52949.150670149465,-44277.215498593316,-35577.79184819406,-30385.706449046163,-29549.18136165335,-34378.802851607536,-40424.69288777146,-50455.181215790246,-57280.15709737533,-61215.15124094598,-61627.92442998561,-58945.68965316705,-53718.448709341705,-42272.47737089072,-29638.155319579342,-15522.537323117236,-1234.8751591042912,0.0,0.0,0.0,0.0,0.0
