State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",-66379.49784375004,-77208.74750415629,-76895.35558831153,-77415.8656666883,-77309.83926514359,-77566.37483993045,-77496.59468342472,-77560.72859314212,-77655.69412350531,-77785.9356959825,-77775.81159380796,-77808.88074314628,-77825.48158738531,-77772.15159051165,-77828.60432979811,-77859.80882290906,-77826.55058326448,-77827.67636957855,-77781.06838042557,-77869.73613216309,-77846.48332843879,-77787.07229672934,-77857.90263142424,-77868.3108007712,-77666.87153153328,-77863.9278947015,-77609.4817737813,-77246.70861444173,-77788.94687461577,-77288.11397277159,-77287.20743087513,-77009.76656750943,-76833.15958028306,-76411.852954023,-76453.4023552609,-77406.9468687587,-77811.49468252828,-77882.1700683049,-77892.27350510923,-77893.27956707419,-77893.28357240763,-77893.27853587831,-77893.25173792451,-77893.19206550761,-77893.2133959257,-77892.75297983651,-77892.05059717785,-77891.52460710739,-77884.76852810262,-77843.87956299531,-77535.08269109113,-77535.40600193084,-77216.37598841942,-77027.86489800023,-76794.99727268911,-77122.37404797705,-77326.96221645082,-77522.88522228689,-77536.75356666803,-77642.72286443111,-77734.818012025,-77799.61908461948,-77844.20037740044,-77814.69121980687,-77804.8124638381,-77785.21098736777,-77846.3618931898,-77880.92349078714,-77871.55945593353,-77828.77810122905,-77780.6444813403,-77833.97455290877,-77837.40574462259,-77736.17521516907,-77767.643233662,-77829.35289163733,-77509.15990104542,-77866.2706595187,-77735.76073797917,-77120.83552334018,-77371.03790480367,-77021.67806554234,-76953.349641722,-75270.44105121438,-74910.9650628014,-73727.68140762541,-73235.84000524704,-75130.66660337317,-76810.98035939492,-77763.37329014284,-77860.75897101517,-77892.92470750395,-77893.12373229563,-77892.92199900538,-77891.77465659379,-77884.51510824407,-77891.20081426007,-77873.11999618096,-77795.81290862488,-77393.2951508531,-77504.23114073601,-77569.42550016142,-76132.79577400413,-70536.20015840516
"(0, 4)",-66379.49784375004,-75258.72955861554,-75455.40396935747,-75810.13860673798,-75849.87893395216,-76186.6882798475,-76303.9662767087,-76589.92934674393,-76832.93370837792,-76933.57135431068,-76987.56431571726,-77085.873990003,-77164.83244661608,-77234.71937452459,-77122.08292564795,-77236.63315878324,-77249.99916856574,-77363.72188613864,-77175.9269578026,-77376.39318954138,-77394.99617263801,-76867.53955471747,-77082.26918023438,-76446.58568122546,-76448.13591834146,-76688.13623347899,-76688.13623347897,-71969.42888078571,-72164.61112771765,-72165.69032092647,-72429.48655771035,-72797.17626310255,-73478.31368312442,-74082.18734834094,-74797.22739080514,-75936.41233443786,-76887.16147619238,-77780.02355699365,-77884.35747488143,-77891.88159503017,-77891.30758401447,-77889.99132725844,-77886.49803011623,-77886.74060552282,-77853.64315264816,-77730.72655291352,-77424.7128061652,-76639.72110915727,-74274.13101316102,-74274.13101316102,-74274.13101316101,-74311.25428385597,-74424.37798491103,-74642.79033916212,-75069.980448069,-75829.44064618107,-76213.18964063935,-76509.5985972028,-76689.64248268398,-76845.73532076075,-77097.88231051795,-77243.03747766136,-77257.61498503367,-77292.91065731671,-77377.47279814201,-77438.5988026788,-77431.57599002673,-77462.1347840048,-77189.76461612091,-77064.6259198933,-77145.74224231212,-76937.99238173393,-76988.91786479692,-76088.96635986125,-76425.44185357628,-76805.40705932792,-76282.90370365388,-73861.38502388031,-74372.09810235132,-67174.13793995808,-67180.06197314842,-67208.67924538517,-67270.10008995073,-67336.07062670632,-67530.8953898927,-67663.74895290918,-68289.23360090386,-70363.06382047631,-73787.78238291947,-76771.06090364126,-77787.6124083572,-77843.31004894656,-77840.69310663236,-77800.87280537238,-77562.25544591616,-76949.96208749322,-76483.12884723335,-73542.49524252616,-68658.21452797826,-66379.45900857926,-66379.31014042464,-66379.49784375004,-64028.52530079522,-52645.808634698304
"(0, 8)",-66379.49784375004,-73597.53581773586,-73771.9252138422,-74422.6259568029,-74537.82755592554,-74883.13392576895,-75067.57670154436,-75505.06710971243,-75880.70698128144,-76122.01374570379,-76179.47902284864,-76206.92234536976,-76385.64684199009,-76434.82118819977,-76158.99868789763,-76020.46090824547,-75477.46489048134,-75660.85597306733,-74711.52713065778,-74645.881317648,-74918.95695223106,-71238.00638476966,-71268.37092619186,-71268.745688264,-71269.48127217228,-71375.71123959728,-71375.71123959725,-71283.51048363757,-71271.54873511492,-69577.05352224545,-69771.9088907153,-70054.23322989918,-70560.5954718641,-70905.85758611391,-71853.97137262132,-73811.3331339775,-74617.8894427523,-75060.3779674462,-75629.7395639939,-76058.84506074616,-75736.08280556604,-74216.57789556451,-74216.57789556454,-74216.61070203387,-74216.64253717287,-74216.64253717287,-74216.79249828056,-74217.63935957997,-74001.08802085255,-73394.3258157225,-73362.90420152823,-72431.97490739136,-72644.48230008948,-72744.39607698584,-73308.50668476398,-74366.60986200994,-75136.33431056433,-75344.43594077934,-75740.03142311407,-75881.00953228366,-76086.01753250082,-76429.8674515106,-76348.9436843597,-76142.45761033786,-75171.20502720754,-75207.40695202137,-75316.67421715708,-75642.36838302773,-73739.28641538095,-73739.54030380296,-74549.86158168736,-67248.85425321164,-66903.30078329182,-66904.70117715259,-66906.86991376212,-66907.50646444266,-66907.40394280237,-66926.25773205426,-66966.7584645212,-66655.55444009433,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.50089200548,-66379.5045254691,-66379.51025114775,-66379.5289388332,-66379.53004937188,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.36881767065,-66379.49482969524,-66379.41043616069,-66376.96302365896,-66292.73072412214,-66064.11146134979,-65652.02738199625,-58960.14850092898,-38912.11942564657
"(0, 12)",-66379.49784375004,-70933.10761445103,-71116.69945657396,-71586.98376634838,-71712.41976429729,-71434.42787098946,-71555.37694605462,-71955.12548572321,-72372.04038619575,-71719.87847555199,-71250.01345325736,-70697.1147902837,-70708.100635879,-70716.47596514253,-70767.40688870789,-70770.01293898434,-70770.96254735265,-70860.32092397656,-70864.87872838038,-70949.62018692405,-70948.89870071266,-70822.1209993414,-70672.15432680427,-70484.26704441752,-68740.93092647065,-68810.78774407523,-68810.78774407519,-68857.15059226539,-69036.20305240712,-67840.33347229428,-67950.80994055247,-68143.42238908513,-68510.90663565887,-68894.55841266725,-69993.80661416786,-71944.85006307662,-73364.98970938301,-74099.87734486749,-74212.40187229421,-74212.46711231211,-74212.46592491235,-74209.56406703699,-74202.04925075745,-74202.07111665746,-74075.96546241317,-73706.68814116892,-72103.85025255373,-70387.20503973214,-70387.20503973214,-70387.2050397321,-70387.20503973206,-68009.46943701559,-66542.08282306841,-66549.50352739119,-66576.89142404037,-66653.70323598651,-66670.53322266204,-66677.75533229159,-66682.74692977362,-66689.60949325746,-66691.57387698218,-66697.27173800822,-66697.51528599791,-66698.17469485427,-66702.54462396134,-66705.05838272873,-66705.05677475153,-66705.12763323613,-66705.12630748122,-66705.12630748126,-66716.75589547165,-66770.71718374715,-66669.26520011005,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49816394801,-66379.4986122798,-66379.49868622767,-66379.50006482741,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.48894539975,-66379.35115372225,-66379.45864352201,-66378.79807508412,-66376.94829307692,-65830.8637240335,-65642.28572756841,-62542.868060580615,-44831.81305023784,0.0
"(0, 16)",-66379.49784375004,-69037.5517670817,-69170.96442710956,-69446.9744036276,-69481.57508598715,-69684.98759656966,-69816.07598926897,-70032.82006472127,-70117.02307081685,-70267.33682873045,-70304.81555745647,-70246.78989943095,-70238.76859418178,-70255.15984367287,-70169.73062471031,-70050.32549611211,-69032.54433551851,-68553.78201309706,-68564.19655078607,-68567.15948622282,-68567.43340630378,-68568.88340172039,-68646.93290489078,-68646.95980048073,-68531.3030300337,-66919.53214178166,-66919.53214178167,-66938.81907729035,-67084.72892755934,-66379.49802077837,-66379.49803411905,-66379.49816474196,-66379.49819791089,-66458.71569940356,-66838.95744368475,-67489.85506818478,-68391.85564085998,-70026.66830492861,-72255.4462813151,-72874.44692948829,-73035.21242062312,-72537.15225187788,-67998.27240646463,-66379.89023821188,-66379.8904358737,-66379.89043587368,-66379.89395239184,-66379.89257360833,-66379.89257360838,-66379.8925736084,-66379.93806570554,-66379.49847398243,-66379.4984806107,-66379.49871793251,-66379.49939720528,-66532.70189618686,-66542.29501928875,-66518.48914192295,-66518.14911720336,-66540.77519853212,-66558.32460987195,-66560.98839043017,-66563.15234379472,-66557.75933039906,-66379.5237357481,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49785249266,-66379.49786487801,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49661639136,-66379.36699036567,-66379.34065956436,-66378.77592606975,-66371.12858145747,-66207.8378527273,-65523.613537005,-64271.80597706412,-57281.63656902062,-32203.133317776483,0.0
"(0, 20)",-66379.49784375004,-66773.98672892824,-66880.56893854585,-67030.17574560535,-66835.45760383183,-66545.43515743807,-66588.74680931741,-66655.33843322928,-66760.4370995779,-66821.39585747475,-66913.46305726469,-67052.7583303555,-67160.48000821237,-67287.03200416743,-67391.785426117,-67466.76969147752,-67592.22430057953,-67732.15427636758,-67888.23001859272,-66379.49791741093,-66379.49792286725,-66379.4979355261,-66379.497942327,-66379.49796286436,-66379.49796286439,-66379.4979766084,-66379.49797660844,-66379.49798135336,-66379.49800336987,-66379.49801175784,-66379.49803114339,-66379.4980611263,-66379.49806802675,-66379.49827735162,-66379.49898688152,-66379.50152717378,-66379.50971255988,-66379.53608769286,-66379.5770633459,-66379.66194148429,-66379.71415439977,-66379.73017741083,-66379.74738731161,-66379.75629958171,-66379.78612140841,-66379.78612140838,-66379.78591240992,-66379.49827669609,-66379.49827669609,-66379.4982766961,-66379.49830876621,-66379.49832895382,-66379.49838493891,-66379.49849768661,-66379.49874680527,-66379.49947993405,-66379.50009739293,-66379.50107567968,-66379.50140728359,-66379.50248799373,-66379.50348816132,-66379.50367705735,-66379.50467007671,-66379.50470402109,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49657288882,-66379.4805347077,-66379.35006811972,-66353.42607728107,-66373.38553758792,-66311.82052182932,-65839.8613301854,-64644.49533572082,-60479.59899094585,-53147.347932465214,0.0,0.0
"(9, 0)",-66379.49784375004,-76348.3543240991,-76125.03138450078,-76904.3349784997,-76899.69738149724,-77137.38922291182,-77103.14821669027,-77259.94149689017,-77380.99166223379,-77609.33617644358,-77600.71871840055,-77663.69234930427,-77750.78654637297,-77664.06572426455,-77781.29082107414,-77789.73405647,-77733.99042451038,-77722.7751730352,-77701.46263949106,-77823.56480064164,-77747.0883922805,-77669.08877266898,-77825.14356957753,-77750.26245686183,-77621.80653429872,-77678.22392310642,-77314.60573218888,-76901.55172228291,-76882.60088579856,-76989.63793316681,-76749.21778633964,-76385.61818258234,-75855.8040360912,-75565.32474871539,-76191.32980769829,-77256.84227836064,-77735.24810292623,-77876.00129169889,-77889.47986056822,-77893.0322095539,-77893.22507699426,-77893.20290306548,-77892.73256818662,-77892.35764680433,-77892.39331376528,-77887.85198737896,-77882.74452654793,-77860.95447894339,-77788.08411780145,-77535.08664797049,-77187.0400818298,-77042.09517494196,-76514.00597909266,-75980.28447845795,-75936.50105351089,-76457.48998344083,-76990.2432985546,-77052.4393981588,-77189.58706760893,-77377.64677884238,-77536.70883452852,-77678.94852177877,-77705.13321530583,-77655.30235956796,-77720.44288100282,-77684.38468543258,-77762.88251646033,-77839.32629367782,-77800.92569892995,-77726.2595065383,-77645.81656289763,-77746.04782255938,-77711.57903773137,-77554.34349527056,-77537.35324665823,-77631.7013120709,-77458.18154396892,-77682.02383610775,-77267.33770056386,-76600.85252110867,-76675.82018921814,-76174.47507249517,-75306.72572238556,-73372.2444239697,-72470.27258589263,-70471.16216902928,-70912.81318455671,-73600.89222204474,-76168.98500463484,-77522.34333123593,-77767.63930525276,-77888.83885869199,-77891.54472997253,-77890.74086754136,-77883.14538153398,-77853.73050820146,-77868.42649787849,-77780.69302451267,-77466.87690259259,-77066.50424670958,-76852.59045231061,-75993.20098077641,-72022.28433167358,-64580.79194181037
"(9, 4)",-66379.49784375004,-75032.25444303824,-74931.18459502066,-75516.63745845467,-75569.1453966489,-75955.67021360234,-76055.54606608878,-76385.42742427668,-76589.73466783838,-76821.93649587203,-76832.55715271151,-76915.93324187529,-77091.19135534758,-77019.56890325552,-77037.16261953696,-77192.79394753334,-77153.09559764253,-77174.90358744048,-77039.29903155695,-77338.54008877419,-77418.72289635648,-76822.02054761634,-77055.7578245321,-76438.65150075282,-76403.17904197577,-76530.71573704082,-76208.41139245933,-71822.76989956782,-72134.36406590094,-72099.03000514545,-72292.11380730847,-72133.7849980224,-73449.10548469421,-74222.58848357176,-75037.85556032884,-75713.32027322987,-76503.76038739966,-77639.89749907513,-77827.51264318769,-77890.85958416847,-77890.78105043307,-77888.71626974492,-77884.57785699853,-77879.70591873054,-77843.83316979013,-77750.66855636041,-77419.69343262617,-76631.182112963,-74260.84074509048,-74225.9537914052,-74038.29222662929,-74118.58769281229,-74144.34393956205,-74169.50125912283,-74425.68187820521,-75424.43132560427,-75903.1997740725,-76207.03052786534,-76328.65081822417,-76569.16069456062,-76830.70329819225,-77100.33530666042,-77151.45222665349,-77088.19575807512,-77247.73309251282,-77131.03047692546,-77343.24426967315,-77388.62907290366,-77048.36301156152,-76968.75656185382,-76832.54793632755,-76821.28041537739,-77119.71593669493,-75960.59233896606,-76335.8800322129,-76864.65604551314,-76253.14742325911,-73861.10607033651,-74306.76981684663,-67120.03473018364,-67172.89353235878,-67207.95975215574,-67264.88376403743,-67252.64559358153,-67341.93571532652,-67153.80309208043,-67813.51711217368,-69119.81723319028,-72035.379391146,-76064.63379212885,-77329.15447801695,-77791.82445640743,-77819.14119184672,-77779.94741502756,-77498.77640065308,-76989.77974936945,-76436.62576000993,-73191.61318486038,-68612.32537536953,-66379.38781076619,-66378.37162379768,-66374.05444731364,-54686.74462470956,0.0
"(9, 8)",-66379.49784375004,-73274.2247130525,-73286.23871246348,-73990.06264823132,-73931.03119027978,-74588.58145358259,-74600.66176269157,-75015.57136461543,-75535.01283427108,-75912.9884614874,-75774.06571338067,-76185.59205319537,-76257.40241507521,-76139.70212937956,-76138.15092689001,-75961.77336720495,-75425.98389358124,-75534.4459002609,-74436.79578391329,-74508.67822068055,-74910.20202010004,-71201.22859839826,-71260.81732355815,-71266.93433824858,-71248.14933883336,-71360.44401166926,-71228.128036293,-70995.68193284098,-70901.78854699631,-69529.01277293399,-69613.20157457382,-69778.81665068302,-70010.96408770824,-70173.62308298386,-71091.39837624127,-73543.45809059773,-74396.2104940547,-75050.09942439398,-75636.62093452118,-76133.4882659164,-75736.05524345784,-74216.55979544352,-74216.44666968726,-74215.65931442361,-74216.33479749576,-74213.66772029405,-74212.44362615823,-74205.35987073867,-73941.41798964066,-73287.99760225927,-72854.20264400188,-72298.45034102851,-72089.72470865602,-72212.65931553594,-72474.77632523008,-73951.13575938859,-74268.97004500902,-75027.46890260512,-75234.70225590988,-75485.00163177814,-75889.39842175339,-76277.49788783364,-76026.96969552968,-75913.80207652818,-74941.052711547,-75027.98502582563,-75266.65384558857,-75622.45119621773,-73730.14934034,-73735.85892168348,-74533.96407288463,-67245.34831143383,-66898.55693426522,-66884.39546617161,-66905.47010052158,-66907.63055428176,-66908.0936479613,-66926.25773205426,-66966.7584645212,-66655.55444009433,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.4990180043,-66379.50134835132,-66379.5058855819,-66379.5289388332,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.10739954324,-66378.99463141065,-66377.05304178817,-66376.61172159688,-66305.9880611089,-65251.11064272782,-59415.704139404246,-36149.595734170645,0.0
"(9, 12)",-66379.49784375004,-70712.28253359318,-70688.49464320863,-71122.98834321725,-71106.14577421076,-71199.5625033254,-71227.62272687718,-71663.12982915578,-72092.79015746574,-71566.14603708193,-70998.63238965206,-70629.02024097323,-70687.44304406963,-70653.10578935039,-70761.11546204549,-70764.09210994524,-70764.07788668276,-70841.31628607905,-70854.06567814424,-70950.58235343022,-70952.38856498746,-70813.1655058069,-70674.154014709,-70483.44015323416,-68726.67143289819,-68806.74618217006,-68771.71931232509,-68669.96548093764,-68901.57449419062,-67786.15029654246,-67839.29747045132,-67849.43497449541,-67967.03487513155,-68361.72867438443,-69047.19845125556,-70843.32423286805,-72578.21257963999,-73908.36891407226,-74168.62829364117,-74212.56300837945,-74212.47740310995,-74209.55200309215,-74201.96178715737,-74201.43700555699,-74075.78547219058,-73704.94823568375,-72101.41961640448,-70380.73754663441,-70376.02029700346,-70346.66034734072,-70350.47596238276,-67794.15386137248,-66525.63964605806,-66534.4385160552,-66572.21391204504,-66636.7476432338,-66649.8515934969,-66662.86040084108,-66670.71394730538,-66684.14404914522,-66686.46753472232,-66695.82851131677,-66695.74956307275,-66693.39398064553,-66703.00840667714,-66692.61925965785,-66693.48759060225,-66705.13205597083,-66705.14553092764,-66705.12630748126,-66716.75589547165,-66770.71718374715,-66669.26520011005,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49792532146,-66379.49881827747,-66379.49968188304,-66379.50228590477,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.49784375004,-66379.32185327112,-66379.07996106806,-66378.90715375906,-66376.87365504954,-66299.64411297996,-64347.95391254695,-61432.639739626524,-53045.89827277411,-25494.147209906376,0.0
