State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",-5680.617398085047,-77893.257494424,-77893.23493910758,-77893.26786665311,-77893.25500179155,-77893.26780117066,-77893.26831866351,-77893.2719672499,-77893.27759150982,-77893.28491824954,-77893.28062974868,-77893.27881922196,-77893.27825298179,-77893.2630365413,-77893.26720471108,-77893.27994580097,-77893.2514790049,-77893.21650855934,-77893.13826905895,-77893.27799417691,-77893.21905007705,-77892.87898796247,-77893.22823493525,-77893.09097061754,-77890.34568426345,-77893.00795022021,-77891.61238882133,-77883.23902042807,-77880.53282188476,-77797.63025788583,-77827.35228424423,-77708.62381312434,-77589.92283545248,-77590.64002045353,-77682.74787522038,-77795.47816721021,-77846.60484516877,-77881.76957997585,-77891.24075796214,-77893.10135384352,-77893.28173852168,-77893.2747763962,-77893.23942238878,-77893.27767803021,-77893.25187073833,-77893.1697566278,-77893.22490333302,-77893.21901501337,-77893.08292004013,-77892.77670635036,-77890.22492560223,-77885.63172025557,-77881.39565333318,-77881.29894644761,-77880.6925884629,-77889.53030392891,-77888.63304493815,-77891.12287995739,-77891.29281475978,-77891.19849286624,-77891.8010685084,-77893.18038696019,-77892.96697136734,-77892.32485370435,-77891.64031931502,-77890.02369398925,-77892.36505677311,-77893.14214001827,-77892.66561322118,-77889.5484848251,-77874.47064909978,-77892.31922352492,-77889.12710425077,-77868.17514371802,-77839.85010596405,-77818.73672395959,-77556.3463267859,-77878.29208617569,-77743.3266093911,-76393.46873409058,-76120.97401893382,-72548.45918152519,-71506.22223070667,-60528.496534429585,-44981.51959193692,-30000.42108089487,-21890.12467586973,-20040.039896465558,-34137.30062209044,-54777.05950856542,-69937.66782083728,-77100.81362691888,-77832.11706854576,-77785.34001434543,-77488.4856319204,-76158.42378858746,-77650.07102689873,-77285.24697349693,-75613.13672873865,-76391.63148308621,-75567.41262768843,-73514.35369067435,-65084.16874555554,-49332.41513958332
"(0, 4)",-5680.617398085047,-77893.14116283754,-77893.15239874048,-77893.18148738962,-77893.18570435901,-77893.20113407272,-77893.21418989285,-77893.2391783608,-77893.24145274954,-77893.24884040211,-77893.25102492202,-77893.16260388601,-77893.16107559537,-77893.169370517,-77893.03590677069,-77893.0377182712,-77893.03771827121,-77893.05376623399,-77892.6431335776,-77889.7937484011,-77889.78700027407,-77889.9433527233,-77890.246141386,-77890.24614138599,-77887.3593979409,-77851.84211501866,-77851.83147662558,-77556.21177135076,-77591.71514364898,-77025.44857949755,-77126.82610399353,-77138.7177144268,-77209.17086366123,-77299.09186092556,-77518.30382744204,-77710.93495208661,-77798.0895211989,-77864.57109441844,-77886.23411635078,-77892.05097683545,-77892.91755550714,-77891.60577793051,-77891.60577793056,-77891.91416598199,-77890.61656741104,-77890.6165674111,-77891.40020883051,-77891.00112744115,-77882.7488517626,-77882.74885176258,-77823.94620513088,-77825.95609182912,-77830.38453892423,-77838.34771475289,-77848.45243535496,-77866.07897000208,-77872.12941470988,-77878.56208805849,-77880.96984632527,-77885.01622237636,-77886.95897162645,-77883.57237375992,-77883.62553860569,-77883.62553860563,-77886.05025618602,-77878.28667263682,-77855.26468999189,-77856.68345357287,-77856.68345357283,-77859.25808253152,-77838.46296027563,-77575.67217090099,-77572.86702428838,-77585.38720443257,-76669.4402150732,-76718.84529558785,-76745.9377952773,-75286.66747806578,-65297.22318772434,-63500.291747979274,-62432.273708602035,-59745.574180673306,-55145.08042358814,-34497.44006948275,-13278.36285621961,-5095.150529801209,-5302.394792512519,-7056.1604070276135,-14267.926366329895,-32197.276978837443,-53245.842029622014,-69529.02097308179,-71810.16717768619,-68471.95147372132,-68471.95147372132,-68471.95147372135,-62113.61781787881,-59566.151705590346,-57421.22580224081,-54573.15647902804,-44240.20991314167,-47359.118534,-23021.79373180554,0.0
"(0, 8)",-5680.617398085047,-77893.11518369205,-77893.12591561767,-77893.16040254262,-77893.1604025426,-77893.17885004281,-77893.16572990143,-77893.0846584007,-77893.07159702366,-77893.07868843789,-77893.07883898674,-77893.01258849679,-77892.55687003951,-77892.55444975689,-77891.70681955382,-77888.6675958263,-77888.66759582631,-77888.72316386343,-77888.79459476666,-77885.99512254544,-77885.9951225455,-77886.29776913907,-77830.04871237138,-76996.43747769733,-76996.4374776973,-77000.04536318129,-77000.04536318131,-77000.04536318134,-77007.55151099784,-77013.53511493061,-76769.42216698524,-76785.76981312412,-76887.11845918804,-77019.9292793179,-77295.49934145791,-77586.60896283228,-77725.91049983239,-77828.40622828637,-77872.8356163989,-77885.33783544913,-77888.31901681804,-77883.69245895304,-77883.69245895302,-77884.68602582387,-77889.11084188343,-77811.96915135099,-77809.75974595975,-77810.54639851129,-77811.22317824252,-77811.22317824252,-77811.22317824251,-77799.26393553725,-77775.78175476957,-77787.59184016328,-77804.951850953,-77831.71176211398,-77842.16866607651,-77852.6426231893,-77858.21464846094,-77867.50524940781,-77872.52968100319,-77851.47026631492,-77831.92807619927,-77831.9280761993,-77835.13620594391,-77835.75240636845,-77749.23974223102,-77434.68617287559,-77434.68617287559,-77434.68617287563,-77465.6344154886,-77539.66431272506,-71956.59841251795,-66077.82035654272,-66058.11901012,-65959.28093030027,-65165.117639990225,-65176.15872267128,-61944.971153863306,-57275.01167703619,-53093.354206446704,-46099.09139642895,-28243.542860810452,-8057.600346577558,-2013.1149391537765,-1175.4143038200646,-1324.6216834643883,-2486.8130948340045,-5450.902155924178,-14966.042320793202,-30192.029174925945,-44620.66967440952,-54938.55578432504,-56399.55338905171,-50283.757385432036,-44430.7608551346,-42460.774598530814,-39864.7012155601,-32199.428873555553,-18323.702284235835,-9471.8237068,0.0,0.0,0.0
"(0, 12)",-5680.617398085047,-77893.04078337616,-77892.98111662857,-77892.85772153622,-77892.8577215362,-77892.86290333839,-77892.87200490975,-77892.94035057761,-77891.85012662986,-77888.47527786792,-77888.47527786794,-77888.47527786797,-77888.49666719277,-77888.49666719275,-77888.58846990034,-77888.56539027617,-77885.60142932246,-77858.90298555356,-76995.72339298502,-76995.76894540127,-76995.76894540127,-76996.13499160335,-76996.43747769736,-76996.43747769733,-76996.4374776973,-76965.09941644201,-76475.85616209217,-76475.85616209214,-76498.71636776761,-76524.27691820622,-76294.70467264715,-76316.9247698736,-76427.88607778538,-76604.4338613758,-76956.37683264664,-77382.69122299549,-77612.51115277798,-77765.84493728222,-77848.31665865256,-77873.06651130415,-77880.84021053484,-77798.319852845,-77798.319852845,-77798.31985284499,-77801.01260028621,-77801.01260028621,-77802.76981347363,-77807.6834787682,-77719.10622635759,-77719.10622635753,-77718.34884608621,-77722.9806227407,-77670.95263527178,-77695.50967804065,-77719.99742199136,-77762.74901658783,-77773.31277542785,-77787.49790586373,-77799.68308144153,-77815.81146399364,-77820.99066184618,-77829.80551282929,-77823.96846356189,-77802.0795288091,-77156.30838467047,-76641.40502485349,-76696.88824737676,-71895.31145495614,-66339.95060708778,-66269.1217798395,-66132.01658835156,-66177.77875640443,-66048.20031492476,-65604.1744965491,-65090.45603626625,-64512.389298269634,-63488.032070335576,-61945.98588270353,-54645.962231420235,-45894.95042546388,-37728.9264961364,-21693.20499933582,-5657.648734483634,-1270.8356412670264,-489.3749808232599,-329.34396025818415,-407.14205229152526,-767.9788461956039,-1728.772457942072,-5981.747620590923,-12034.63134044459,-22187.08126647925,-33577.84355564064,-32554.08994333776,-30963.015130038893,-20919.457529569278,-12312.816218652524,-3364.458455672985,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",-5680.617398085047,-77828.94889139867,-77829.25122986156,-77829.69679488968,-77888.06043257678,-77888.16590650784,-77888.23232888526,-77888.33369913786,-77888.42905945984,-77888.45320438125,-77887.8130732672,-77868.60913984574,-77590.69748337708,-76995.09911574572,-76995.1469253241,-76995.1469253241,-76995.14692532406,-76995.3722956424,-76995.48698451364,-76995.76894540127,-76981.87284105303,-76782.20273334811,-76414.07141856637,-76414.07141856634,-76414.07141856632,-76450.0775310419,-75702.49723058431,-75702.49723058434,-75757.46040504909,-75757.46040504905,-75200.28709897236,-75341.56235960076,-75651.4802290945,-75794.71439011916,-76397.40785749079,-77080.42889625326,-77405.56613986846,-77645.28416581335,-77767.70597245361,-77791.59629093879,-77795.77382519052,-77796.76103244432,-77793.643391643,-77704.43104249534,-77705.74502098838,-77705.74502098834,-77709.19048427205,-77714.64314608005,-77677.39779198532,-77540.35579333363,-77544.84015125291,-77549.08359666234,-77496.8357844164,-77543.9701689329,-77590.67401713724,-77664.8802061118,-77691.54261020903,-77743.26164324427,-77769.37591077966,-77596.97195347745,-76949.64436992249,-73234.8270747345,-66365.89875565162,-66340.83299636249,-66320.76025119713,-66272.05466424154,-66278.54203471188,-66281.66773625447,-66184.27018969935,-65951.85338968196,-65719.36447563444,-65629.35504024156,-65446.3753641021,-64060.27773902624,-63135.60305595553,-62823.72680860653,-59526.979091058914,-53257.36659672491,-42802.14512652491,-30358.765715305755,-16102.855845658136,-3865.297611542657,-870.273482071157,-323.7101379781169,-131.29348417274386,-83.89765033777881,-93.748779231666,-160.27130701396825,-392.2198849417883,-1599.2921855303655,-3529.821861338663,-6715.718194612634,-11244.149336578204,-9073.326101727913,-2685.8775021526235,-134.57833822691939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 20)",-5680.617398085047,-77483.79352535188,-77446.43313588941,-77829.69679488968,-77829.69679488968,-77830.58594995916,-77026.00308476762,-76939.94348935095,-76348.36274059842,-76692.17577403021,-76692.17577403023,-76692.20190698726,-76692.28185362213,-76582.30474447439,-76641.22365654063,-76995.1469253241,-76640.89462219318,-76601.66259413389,-76604.7792022231,-75936.15288798812,-75330.73607305587,-75333.56864057535,-75644.02373825593,-75644.02373825593,-75644.02373825591,-75653.47648244485,-75212.2897491899,-73507.22716886386,-73592.4025043687,-73592.4025043687,-74475.26545844486,-71483.59947708221,-71786.6310536189,-72185.46069645556,-73656.47443035796,-75221.01128197701,-75657.52054453416,-76318.68195423407,-77659.23771988977,-77662.91231623382,-77666.91650661454,-77667.09229285085,-77667.09229285085,-77667.0922928509,-77511.21265653516,-77511.21265653514,-77516.34015475828,-77528.17714839788,-77535.10951018966,-77382.96729901501,-77204.06165186943,-77206.31413171739,-77262.78666918298,-77369.56314733383,-76375.37878753219,-68158.82059600743,-66225.54837968563,-66282.62940263264,-66263.69985373065,-66260.94523377418,-66270.5397779435,-66311.3179901882,-66307.94837507841,-66242.17913251017,-66179.45483384111,-66134.51546794116,-66142.76752250394,-66058.49649512299,-65832.03548997834,-65472.25051297345,-64965.755571541966,-64768.1251814123,-63719.911903782086,-61887.060623852165,-60228.63567612843,-58129.4829515778,-50776.63786648444,-44526.275501949945,-28529.901785217317,-11941.073254308061,-2786.190479267675,-659.2261842822094,-223.46877554876556,-70.79192558163236,-26.413421266932637,-13.393968880511663,-11.455477344991705,-17.834436074106275,-44.1512991605198,-219.37891420566157,-437.25622098682294,-878.2973481567898,-820.2006658183146,-44.85944607563978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9, 0)",-5680.617398085047,-77892.78031718514,-77892.92125414388,-77893.01564402641,-77893.00309911725,-77893.04767508229,-77893.08393043019,-77893.1182738823,-77893.15030296527,-77893.20284796853,-77893.18548932392,-77893.16002618532,-77893.10143078641,-77892.92052286913,-77892.97978546932,-77893.01054576373,-77892.8815681119,-77892.57232735041,-77891.91441148636,-77892.1259409634,-77890.11795929294,-77889.1859994528,-77886.96069653986,-77881.2752574938,-77865.60815670998,-77877.36044123098,-77852.74344084768,-77680.80952158669,-77642.86276280369,-77440.37199034443,-77391.75578341832,-76838.55996170585,-76777.09299369939,-76897.23709121828,-77201.04277646783,-77527.54607288745,-77693.43179071374,-77809.50708197485,-77861.95522121873,-77883.6979738256,-77887.79033850234,-77887.56514512238,-77887.40718838143,-77881.90488402432,-77879.96264824326,-77876.68188393897,-77867.89096624774,-77863.05159282169,-77861.64033737469,-77830.50396839906,-77826.16671966313,-77765.65949088195,-77772.048510177,-77778.62389603791,-77791.60567313399,-77828.85956723386,-77845.74055123424,-77855.34130588097,-77863.99247358627,-77870.28495886209,-77874.0171607881,-77885.18491532482,-77883.09389014765,-77879.43389622778,-77872.63113725746,-77869.85101821113,-77871.8746492825,-77866.64127944103,-77841.56750767183,-77820.63864815081,-77718.29752822463,-77745.36438540407,-77614.94422347799,-77397.58450226932,-77245.05230734944,-76862.29236730532,-75933.16280459453,-75037.20029829856,-72688.98968643257,-64188.22705906887,-57654.628664378986,-34829.45990751981,-7802.723913015579,-1761.6425025376593,-800.0591682077284,-637.6845541584167,-813.3944629136473,-1734.7651135317076,-3777.71611533994,-11300.811881376978,-27357.256382241918,-43539.52534406561,-55342.48387415219,-50303.381108599395,-53094.20884848189,-32867.47743068568,-27793.117129934068,-21831.086824874084,-12616.719208773697,-1852.4582312444445,0.0,0.0,0.0,0.0
"(9, 4)",-5680.617398085047,-77892.72210249267,-77892.80395784888,-77892.93446996073,-77892.89085776829,-77892.95855374275,-77892.98827742852,-77893.00945385151,-77893.0491440773,-77893.10644558028,-77893.07141885134,-77892.89988774601,-77892.79785957825,-77892.67452000869,-77892.78471941776,-77892.67096961771,-77892.09182375866,-77891.15546650262,-77889.62245110133,-77888.86860088469,-77886.12568572439,-77879.16097174228,-77881.16248150439,-77863.39875402578,-77832.46711644733,-77805.88305224352,-77529.34361516128,-77373.23063069835,-77059.1759319564,-76994.13231231106,-76742.52805748074,-76388.5047181176,-76171.75906553619,-76276.4374326414,-76717.03973420529,-77280.87605905804,-77549.2140307566,-77733.32131994003,-77824.48278316535,-77862.32862455535,-77872.44025017766,-77872.6881851006,-77869.34031795783,-77854.87901969744,-77847.91207916822,-77839.10126718869,-77821.0823390886,-77792.67266145091,-77788.48142108344,-77740.45565272278,-77731.07993585429,-77711.1868480966,-77697.53112607003,-77700.9437364492,-77715.8511039558,-77767.03447434958,-77788.14498431416,-77816.90316109538,-77825.71447106086,-77837.28125841486,-77842.08559547397,-77865.97828055405,-77866.57361590193,-77847.2831954132,-77826.7278477033,-77817.26639363113,-77826.94045206856,-77804.16272027486,-77768.23147703074,-77596.03648620771,-77530.60462170797,-77334.59605844544,-77074.82635083911,-76380.33488330328,-75482.40042219654,-74806.35166499697,-71609.25817968625,-67815.0549437268,-50947.97074165916,-37792.0892221871,-21937.63693415799,-4516.12723777168,-1067.221054230607,-387.14204305976506,-214.41887092538192,-151.96161620983412,-173.89161435120513,-292.4154108267363,-742.0918200478222,-2838.3081075607943,-6840.9613806629995,-12368.537134345339,-19472.748757768735,-18131.97893782286,-13460.424852281803,-3798.5169064389133,-224.297230378199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9, 8)",-5680.617398085047,-77892.56059322927,-77892.5991342199,-77892.80635800492,-77892.77788667595,-77892.84954468881,-77892.8225152898,-77892.85223775676,-77892.87075382659,-77892.96305314841,-77892.81163455766,-77892.57526336968,-77892.33169597335,-77891.69198873827,-77891.51451411673,-77888.36966606781,-77887.74553770175,-77887.05612274939,-77886.65166767075,-77884.12492743156,-77876.53139911912,-77858.60726020833,-77771.06197360349,-77171.80566920176,-76976.87741212136,-76977.47957145951,-76964.83888534046,-76895.54209524725,-76730.7654011052,-76439.08367770539,-76334.84080854099,-75790.82254358349,-75480.48323372651,-75528.5771830754,-76107.43313845628,-76882.06755212448,-77329.77745799001,-77620.31139998742,-77760.46164992948,-77814.5533738727,-77836.06450615024,-77834.12502217069,-77829.2239729812,-77802.25240962517,-77781.88620149376,-77765.20007582066,-77740.30155689616,-77715.2645399141,-77705.03219401297,-77675.18845761522,-77633.99872935931,-77595.82109775078,-77555.31266914928,-77567.56988861771,-77591.49230170889,-77659.64384285084,-77692.45960444817,-77742.40946318928,-77752.22831485323,-77778.78710169971,-77780.2033765242,-77824.9825406616,-77819.16295743664,-77770.2891868393,-77738.89231360512,-77696.08038663975,-77679.88622228047,-77587.35307819764,-77436.40176922895,-77137.29575823045,-76537.18713709878,-75318.76739563256,-72445.18470687428,-63289.33599339715,-61869.168752209094,-61312.783752709525,-57322.86637595482,-49090.912575445174,-36145.02107551611,-16699.835521859277,-3404.9383237132915,-840.3343166616875,-300.74049089980497,-107.36524365451626,-40.78242764499278,-24.96561735355667,-30.2780654624253,-43.31924581782093,-122.96267659057342,-485.47468454415485,-1274.668047242764,-2458.6401373608687,-3276.219920457643,-1363.12550181035,-67.28916911345969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9, 12)",-5680.617398085047,-77892.45110644822,-77892.38866477254,-77892.64124440793,-77892.47655955564,-77892.58597465004,-77892.4889639102,-77892.3337283048,-77892.08493840022,-77888.4604930272,-77888.31995471232,-77888.17291651321,-77887.85498744881,-77887.46026057709,-77887.21142928631,-77886.59174780577,-77880.28614832695,-77854.71148425336,-76992.04631837521,-76994.40237291338,-76990.64429857167,-76990.6442985717,-76987.3628948771,-76971.68861546028,-76899.04546220582,-76891.80879866147,-76445.53076179817,-76332.47585898601,-76155.81328263509,-75354.27461554186,-75577.16694536124,-74836.7887308427,-74862.01370389837,-74666.25191560197,-75391.9560336819,-76416.84621344524,-76953.44436163724,-77435.9416901208,-77656.02411884912,-77743.55347251239,-77766.71608214026,-77763.47157227123,-77735.96414278567,-77704.92321149126,-77688.56674129498,-77648.00288493522,-77616.9806975731,-77587.02477740544,-77585.213818031,-77493.02587491971,-77475.19500123787,-77375.04273329048,-77321.82687432182,-77333.51206671642,-77386.84877848816,-77463.62607347168,-77530.86273389017,-77606.52332840624,-77619.73964318872,-77646.74238253759,-77678.51754019059,-77727.86791866375,-77705.28763613592,-77615.89202468195,-77522.26371317278,-76561.98985966787,-76142.05602214397,-67013.8750139901,-65592.7337925634,-65073.4096437845,-64461.19889010089,-64063.778996546316,-62875.00711114638,-60473.28224183736,-57966.96315065529,-55152.81442635014,-47519.92719774237,-35964.78733634961,-19058.409862235316,-2600.8533386085137,-642.2935720354445,-233.70570857605165,-80.56926193869096,-24.079948852194537,-7.0745831964239745,-2.6400993983688448,-2.27986990886353,-2.379293480581898,-3.021290855564068,-30.120199033751025,-66.53167396866414,-58.71739453469524,-13.457833822691931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
