State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
"(0, 0)",19581013.92113328,23974541.476316523,23793193.844802056,23716195.056043424,23523831.036025044,23370902.13842486,23147165.442371562,22994613.60938341,22744582.289574035,22519972.263870448,22332356.968471225,21909526.20782269,21541469.710984502,21208952.750740398,20872009.95171025,20618890.848158486,20086194.529934336,19669231.552782502,19228240.50326949,18876014.241742726,18436601.276628207,17977524.136427168,17539304.788423564,17227445.37995269,16661929.133626781,16260426.318656776,15764313.607242335,15399955.220351966,15045704.095847812,14645327.1812884,14322391.916490667,14054773.987928944,13896527.692341859,13818843.868861252,13896281.856660457,14028315.695379175,13914887.177886404,14058912.04752078,14130907.311838234,14143152.368680881,14130934.532216946,13906603.420178954,13665488.845417332,13431955.441944245,13222975.084372345,12992775.43922952,12775829.532712856,12581759.562079517,12344164.004401062,12125761.768148853,11989404.14469139,11806814.804608867,11631072.276326446,11355108.44200015,11285646.333094534,11199989.438772814,11209750.87156841,10967307.332576172,10769106.763610661,10579909.373676179,10382827.18646606,10168258.627949862,9868497.895505425,9525625.228890354,9106050.502022771,8747310.940859739,8400096.66259719,8005000.56386458,7625121.965106845,7340935.824758342,6914643.342911975,6538697.60272736,6126912.131307109,5694557.40562024,5282282.92640296,4887843.594743779,4442258.045702057,4009957.7212669556,3556761.3668553205,3205804.8469114616,2879261.2316098493,2519739.463063118,2184917.332775982,1917102.975088965,1743382.398018204,1623839.8425385044,1628131.4917793842,1778316.655945908,1918517.3572081474,2101496.7486109603,2057179.7433453142,2019399.7008091956,2147440.6542655076,1933122.6256426813,1703278.1315360037,1500518.4331576058,1337127.1075803158,1144447.4472021037,945255.306512511,762532.9681348879,597883.8341627768,375906.7444901618,171479.82272757738
"(0, 4)",19581013.92113328,23662968.328334548,23481620.696816232,23404621.908047263,23212257.888019755,23059328.990411744,22835592.29434884,22693929.64687807,22433009.141496286,22208399.115724154,22178134.471615054,21627184.7084705,21261347.53737966,20979840.732470684,20568092.15049175,20366338.24663483,19779884.068352375,19360417.09591107,18919170.97515344,18564441.223191194,18124734.302480467,17665949.46249997,17227614.055612955,16981794.359971356,16348977.33742499,16017352.003389431,15520511.588925784,15148127.217631184,14796408.557869803,14397712.893655997,14073202.537046023,13800472.82544239,13630866.126525529,13544666.786388256,13606672.682434319,13717611.419977749,13630179.586564433,13747587.215560772,13819555.2877709,13830414.087573305,13807632.939148547,13763611.518749915,13379975.239655571,13099914.266527234,12886502.53633469,12680819.629919585,12463021.792812109,12268571.050196873,12032623.59010185,11856790.034502514,11728221.72648753,11551806.980438923,11324343.056414036,11154481.158791319,10971425.104493955,10889425.7101801,10898468.693770789,10655729.876270475,10457533.61558289,10268336.225652182,10087186.281169765,9856685.479918584,9556924.747458061,9247670.386150362,8797036.90503843,8457162.13492713,8113539.404911318,7742594.759002016,7411805.128437148,7091048.679242948,6662968.287888618,6286262.230512303,5878496.02221498,5444592.161289728,5030849.269922019,4640952.049258703,4195099.3521834025,3765460.7186237355,3310995.2786367927,2953829.289562412,2628071.9680272494,2273467.295161556,1938867.3148756057,1666830.5991219857,1493864.3323745714,1364232.6671407237,1352040.695020996,1491101.2241605213,1624441.747721091,1809476.2541499147,1914772.7802628798,1816750.2082822274,1887111.3976312822,1682659.8236125761,1456830.3846455703,1250966.5962601618,1088104.2550370651,894124.5830168936,700210.1557328157,539324.9507438737,403303.7000607322,218056.81525339803,127942.43986421186
"(0, 8)",19581013.92113328,23351395.272992063,23170049.221013,23364061.789324168,22900684.740048915,22747755.842424944,22524019.146357466,22367465.764527664,22121831.379699197,21896825.96765893,21773043.452617317,21479845.19098103,20938589.60075224,20609730.92827876,20255001.02675777,20054765.30766151,19475449.09032879,19048844.27596573,18607598.15870682,18252868.406722043,17813161.485999852,17361090.374167576,16916041.239124622,16670221.543483026,16072252.446804095,15705778.911930125,15208938.558650982,14836554.244325656,14484835.625554962,14086140.007139044,13761629.390072903,13488899.678549917,13319292.979791416,13233093.639920615,13295099.535850132,13420587.525875255,13323295.193244232,13436014.067731773,13507982.139941897,13518840.939744307,13492146.992229383,13452152.469225092,13041647.60779935,12788341.118747117,12574929.388554005,12369320.933531726,12151448.645007037,11987607.084087145,11721050.442392405,11645936.588074235,11416432.967581885,11240710.81294995,11015027.876767496,10933093.737677597,10700479.37702849,10580018.683778537,10545541.492275361,10344156.728248753,10145960.467558397,10018315.665348172,9770579.950600063,9545112.331890926,9245351.599430334,8883397.522089029,8491098.912502768,8140296.399432283,7797098.619209602,7383098.406400197,7203587.908590369,6779475.563508661,6351395.300307843,5974689.523412909,5566924.146262634,5133036.743463682,4719458.934485295,4329858.278403108,3884323.061594821,3455084.5142993145,3005222.1569110276,2652667.0022356757,2330995.689390989,1980595.3927422324,1648173.4133610418,1376944.310155719,1205583.8705158453,1077838.4797852,1062409.2864075948,1187243.0762886547,1316371.6303139273,1498691.8009414757,1603368.914549826,1645302.1848628775,1575602.289797246,1371154.73970233,1149666.1474732189,994512.5741755911,873073.6993820812,731334.0313603303,584425.5321019865,414885.506360803,254076.5898682773,118261.98750163396,9099.020493460564
"(0, 12)",19581013.92113328,23070254.617865454,22858587.19997186,23070920.34731599,22632876.284035467,22436182.69665793,22212446.031738617,22078347.5189404,21809862.980459027,21585253.006361715,21324986.12715513,21011116.868771315,20634487.307285536,20356218.43721669,19943654.468661066,19743192.491285317,19163990.43775921,18737271.459556025,18296025.34228263,17941295.590274163,17502552.69984992,17057150.414330803,16604468.422636285,16358648.72699469,15868333.182310862,15394206.047124922,14897365.694281999,14524981.383331155,14173262.768324293,13774567.15449544,13450056.24495005,13177326.53410298,13007719.836389098,12921520.497756762,12983526.392132161,13122863.130302368,13016044.838469082,13124440.919902774,13196408.9921129,13207185.113977907,13184075.708002923,13140579.32144495,12730074.460019205,12476767.970966976,12263356.240784772,12059619.899642628,11845573.36807939,11649303.071607871,11587943.115848828,11334363.442648211,11113688.580890233,10931416.229417324,10753356.961963566,10611473.46739568,10455707.805419043,10288246.40852642,10310229.080497278,10047397.643253712,9978105.365424303,9689693.487965928,9466980.112887442,9233539.202975817,8933778.474976204,8597437.489020927,8301156.707343165,7860318.839290961,7515575.1042948505,7077096.400001387,6892015.255254238,6467903.479799211,6039828.454804549,5663156.024240122,5256416.671460889,4827075.95446197,4417788.5851782765,4032167.7126061637,3590956.1587211844,3165840.4564509946,2716063.593043217,2366171.42430367,2077926.3363768102,1777806.5650076002,1453757.920058052,1128237.2357839784,974594.5341532569,848063.6425789222,813888.5449852729,917322.2316895651,1036013.6134535618,1214814.289564898,1335715.1572625365,1390964.6755257791,1376697.0014533089,1242652.6620601856,1058567.6310436516,837635.8083092498,677496.7466364587,511757.50197814015,344478.48556511925,196287.2950080255,78400.01438221891,7913.791603239363,0.0
"(0, 16)",19581013.92113328,22886457.945102364,22559613.292959984,22759468.58563912,22561780.847562943,22124609.85506407,21900873.215348165,21766774.702549268,21722144.538179517,21273680.18996037,20999039.888030313,20691661.251262955,20373593.86914029,20044645.62088978,19632307.91061367,19431619.674953025,18879228.987438463,18427402.691537518,17984566.68967124,17672193.648486055,17225101.825046465,16750237.474372726,16292895.606147956,16047075.91050635,15556760.33065696,15082633.204260232,14585792.86136449,14213408.598464468,13861690.213848745,13462998.163379744,13138483.147273436,12865753.42594655,12696146.741676526,12609947.413005745,12671953.299559698,12811749.481494905,12850638.246674657,12829852.53561433,12884941.733661199,12895611.96695646,12876653.919546794,12657363.51627258,12418888.345571259,12165194.824190376,11951783.094705144,11745711.083500523,11532685.517489703,11336458.849935723,11276369.972969126,11022790.299768504,10802115.52614031,10619847.075948246,10441803.908220729,10315870.699530777,10230878.199078625,9997262.640279235,10132141.737960516,9757554.121283326,9815400.200732416,9396983.040180737,9156681.249018516,8921966.081768656,8636510.056652982,8437187.354061706,8090739.284355916,7520820.531291931,7156956.030734531,6760298.074726798,6586345.796142811,6166752.721493997,5743153.402387752,5370721.99745494,4967249.532869111,4537936.523686204,4131491.1104183956,3776865.770670404,3387283.4669770743,3019329.069407447,2615851.516071416,2302545.7430564254,2026550.0857690324,1727031.3703544661,1406729.962417289,1068852.0841711895,864983.2319186466,696058.2797170338,654560.8728260173,727719.260184494,810261.8409116683,985862.3078998483,1103194.4245020396,1146965.9489350661,1138216.9209609025,1001329.5264827844,799288.7000078177,587984.2317394094,433942.46126402507,284425.40299346426,149427.80611136777,52060.203291394566,5138.576525653905,0.0,0.0
"(0, 20)",19581013.92113328,22667934.681638874,22283063.09673247,22448026.55452867,22250589.322016343,21829130.291571938,21630080.853489812,21456663.897711433,21188610.48473263,20962213.55435606,20700423.236619715,20378001.945313927,20108028.04379292,19680440.064131703,19321735.106262363,19120313.06211745,18571605.23720087,18123717.724681646,17675552.524857253,17321684.408457063,16941346.970858686,16446260.522158986,15990537.106467182,15735691.838598466,15246186.575540148,14771060.38678691,14274305.00813126,13902387.229686692,13550451.735729495,13153854.638780959,12827204.686096005,12554657.230715545,12384762.12616517,12301095.148867194,12361893.739003086,12500875.731019184,12640361.048758032,12570156.498346275,12571547.969877752,12584116.105348062,12564931.737209285,12346705.463752814,12109613.464341993,11853875.864125047,11640294.022906335,11434122.646248307,11221347.053973937,11173426.796681453,10964832.059725182,10711269.62291107,10490612.254362756,10308356.233909385,10130319.460429614,10004590.160115832,9920775.329010539,9780123.151148206,9821570.313996533,9560667.016510608,9234559.695427474,9085748.327304881,8826968.234375454,8815893.40576485,8313715.28536886,7985897.965605687,7572355.598827147,7247849.241930068,6886310.4872208005,6475895.210918933,6297181.443734066,5879333.665790882,5491056.938302756,5166964.600049787,4822803.899021444,4429879.9129803255,4076078.860314072,3745739.2365628215,3354761.9880367466,2986138.2118107467,2544027.6375508443,2130859.964068324,1815931.189234152,1492229.1709226416,1164934.8165953176,860659.9708520767,656046.338784806,511653.89882573223,468843.1956887774,523385.40475717816,589195.7693208248,743284.6205015866,850293.150503359,888684.6336972238,878443.3547004549,744525.7077836901,552949.3616442294,361103.29890821787,224759.16029907932,111502.6378832641,33252.24652552639,2731.056004275602,0.0,0.0,0.0
"(9, 0)",19581013.92113328,23290058.47911873,23165898.010419894,23025926.14047556,22861371.08605254,22685574.25305641,22513520.318527862,22528804.937723413,22043542.70661761,21821921.18123558,21644288.74779784,21273596.742535748,21310745.67160225,20929272.630977858,20477072.783069983,20305221.82171703,19727058.698296074,19250846.72612814,18575750.763129044,18186221.579007793,17763664.362294618,17300391.2700205,16838147.35390301,16982601.07602932,16213483.15696394,16035997.48453064,15537723.832745971,15070360.381846296,14737195.887236308,14346265.120065153,13996040.068394525,13665840.441074343,13408858.013162348,13247130.363775421,13276906.134675322,13408521.456486378,13509306.047246229,13660372.791085951,13474137.614661453,13477573.61965223,13402774.247236732,13556653.562610153,12972178.17456518,12732168.03165231,12516285.601071205,12304347.2681719,12121950.903224805,12049285.500322545,11865410.885411864,11758173.052291814,11518544.28115299,11330563.382168176,11135185.459791277,10964616.007791119,10886140.52896378,10536888.26723934,10834631.679732127,10282487.599605627,10099777.58624051,9915827.252317993,9719119.10922249,9477430.246083157,9175825.441330303,9068679.467413334,8520764.33102506,8181102.368563127,7783804.025500603,7609297.976671705,7203828.138403042,7040072.153191698,6619680.478567775,6235172.639439628,5848191.448201014,5414523.985469364,4999785.919726898,4618769.518035289,4182244.2824850976,3763904.2118550087,3303641.9836155805,2866739.227796461,2540321.836060714,2202528.059869229,1859204.983770751,1533308.7305569341,1298488.7057037265,1108595.093188452,1060233.7580035883,1166251.4454158247,1264113.8525923789,1459419.7415114632,1581321.0180773481,1560400.6250896805,1608234.6593068806,1461013.6591728337,1244527.1564779421,1009824.2309057659,838283.9461735389,654146.3240708881,465804.96622753434,292433.39381538145,139268.47445794282,28084.65761926477,0.0
"(9, 4)",19581013.92113328,22978396.2230332,22854324.86244627,22796666.21415287,22549703.44928265,22374019.488126613,22185268.04745008,22002299.259743206,21750127.955163877,21531902.839214843,21640032.2661219,21101337.044337325,21025201.868463863,20667828.519099183,20208875.66964949,19993648.676271085,19441484.930461448,18998254.849612802,18265096.72376254,17877261.768987503,17455249.80966067,16984155.495939497,16526574.472480034,16671028.188924158,15892205.562491769,15724424.340228742,15226150.699594934,14758787.329312522,14425623.06318227,14034692.341851547,13684466.980660638,13354267.325432736,13097284.868842458,12935557.221424945,12965332.99092158,13096948.311184263,13197677.106163515,13348683.687953461,13175197.011236211,13149859.511186741,13071303.527802804,13245080.414822457,12833538.47862325,12409559.699974043,12197079.354489151,11987233.0680559,11970223.928160317,11701831.952116324,11565518.798047422,11448982.57212662,11206971.13333341,11018990.234582547,10823612.312766109,10671238.324600147,10566256.804187538,10230273.947587157,10479161.392974805,9973986.477118311,9791340.221180035,9603055.48776706,9545176.338582529,9167532.237726655,8870095.390554573,8965744.873066595,8546021.387900732,8102470.660960042,7711106.135989012,7517063.659904418,7131980.625272188,6728499.038380659,6308107.461339913,5923599.641935481,5536618.731976605,5102952.7938667,4688215.91685917,4307204.620371187,3870700.65365827,3452381.278094819,2992378.228835477,2556068.6373528396,2230304.4374248893,1895047.3850936235,1557199.7189944787,1240600.8621271243,1017605.6746100623,839411.6460011969,789347.4806528018,875630.7021504492,964424.825553009,1151187.190004795,1270765.2035742651,1311864.5367611519,1296761.5403044813,1149708.0816832453,934111.4321947393,704625.18595085,533757.3730952136,364941.79942838184,211276.6957874546,91256.42414438131,13625.679197180054,0.0,0.0
"(9, 8)",19581013.92113328,22676987.316255514,22538747.692618202,22761978.507013347,22238307.75486602,22062446.340199947,21890374.022611536,21691296.573976044,21475250.1929347,21255208.727317397,21439673.92560712,21129863.95288491,20699814.93418518,20341528.33558841,19924958.156360514,19682075.73778492,19219759.1690996,18688394.63710661,17953409.743588176,17685039.67431016,17145040.81549986,16681008.136474751,16228347.472954411,16359455.372435825,15685625.557064617,15412851.257179396,14914577.687186068,14447214.501326226,14114050.270128328,13723119.885208508,13372894.296112344,13042694.824798008,12785711.726764604,12623984.081810119,12653759.847878022,12785375.16775028,12886103.961616635,13037110.540673096,12863563.431927755,12838286.36335774,12759730.3799738,12782870.487250889,12524176.776076842,12098292.737241263,11885796.631647844,11699510.393057585,11695681.02331306,11486999.557217928,11338751.385906046,11137409.430034053,10895397.998611549,10707417.089330707,10512039.167771637,10359665.183904504,10269324.67841859,9932573.215891283,10201524.734456379,9664385.57184752,9485264.811641265,9682854.307593927,9135100.122357555,8863604.324182138,8573958.801234217,8296729.476177481,8113631.216807585,7740390.572427316,7354826.5863571,6994986.213073588,6841834.587776197,6416926.019316303,5996534.802581875,5612027.36964908,5225047.498422607,4791397.725176378,4376822.20161979,3996103.4162800065,3559897.4120099037,3142012.963462681,2686669.3479226665,2255037.0012964453,1934199.2673224823,1603713.0234624245,1270910.753248528,967458.3451449586,759097.0715431196,599617.5441639235,551719.7313633243,613870.4780860605,686216.2649040184,853726.576217622,965030.9944760047,1001984.9762079417,986387.1032610253,841382.6661311594,638668.2012436319,438544.95559115335,293171.5135660498,165492.89163473286,64003.443451885905,8217.929677783995,0.0,0.0,0.0
"(9, 12)",19581013.92113328,22718871.265165307,22199486.910270065,22527698.107470557,22160677.05588511,21752839.36272907,21629163.462709807,21808084.671940293,21132640.2267215,20906409.68761432,20998382.232467137,20818291.10365525,20388927.10060064,20063177.183113545,19615427.43014466,19370502.921622436,18908186.35448335,18378859.556106336,17641608.59962594,17792091.19995879,16896372.02210914,16384684.692728747,15961175.454602875,16047882.555947488,15562796.527673092,15101278.39459965,14603004.833456134,14135641.783436542,13802477.982560676,13411552.118803386,13061327.863009548,12731126.303672735,12474144.61317004,12312410.965483142,12342186.719769517,12473802.041909922,12574857.47704071,12725537.402450722,12551990.28425028,12526713.215528741,12448157.2321448,12480793.95138277,12219614.329713834,11799327.183509264,11571633.015007768,11652944.757597653,11353532.782803161,11247211.985324828,11047923.373954203,10825836.295496853,10583824.879925137,10395843.982547106,10200466.106484553,10048092.158720234,9958189.248670274,9777209.043628857,9899912.551484609,9618389.299190674,9545119.860145325,9195428.026412284,8889911.305895202,8551834.798975268,8254334.604957126,8095483.085855889,7876586.551354118,7571645.238259876,7278427.923192045,6897035.716526099,6530261.94636225,6105354.0491352985,5684968.094410444,5300493.326719185,4914539.537252646,4485437.190155239,4075154.170070123,3698418.255430755,3266576.590273118,2852774.794899667,2397654.7903890726,1967509.4683722486,1650739.1079163905,1328871.6322181681,1008907.6450018637,722463.7495201587,538026.2642401234,407836.6391458906,366940.5242579345,408704.9501944304,462002.7479545828,598392.4531856237,695844.8741252284,728388.3636171329,716771.6427095563,587248.5297218004,406970.28594518953,236176.38126787986,122466.79429595095,43902.88547545428,4860.318097392958,0.0,0.0,0.0,0.0
