Date,NO3
2022-01-01 00:00:00,46.6
2022-01-01 01:00:00,41.33
2022-01-01 02:00:00,42.18
2022-01-01 03:00:00,44.37
2022-01-01 04:00:00,37.67
2022-01-01 05:00:00,39.7
2022-01-01 06:00:00,40.59
2022-01-01 07:00:00,43.26
2022-01-01 08:00:00,49.44
2022-01-01 09:00:00,49.46
2022-01-01 10:00:00,49.27
2022-01-01 11:00:00,48.89
2022-01-01 12:00:00,48.45
2022-01-01 13:00:00,44.21
2022-01-01 14:00:00,42.38
2022-01-01 15:00:00,42.09
2022-01-01 16:00:00,42.3
2022-01-01 17:00:00,40.59
2022-01-01 18:00:00,40.11
2022-01-01 19:00:00,38.52
2022-01-01 20:00:00,34.71
2022-01-01 21:00:00,32.48
2022-01-01 22:00:00,32.88
2022-01-01 23:00:00,32.44
2022-01-02 00:00:00,32.03
2022-01-02 01:00:00,31.78
2022-01-02 02:00:00,31.8
2022-01-02 03:00:00,31.89
2022-01-02 04:00:00,29.56
2022-01-02 05:00:00,31.97
2022-01-02 06:00:00,31.66
2022-01-02 07:00:00,32.28
2022-01-02 08:00:00,32.93
2022-01-02 09:00:00,36.31
2022-01-02 10:00:00,37.29
2022-01-02 11:00:00,37.5
2022-01-02 12:00:00,37.49
2022-01-02 13:00:00,37.49
2022-01-02 14:00:00,36.97
2022-01-02 15:00:00,35.95
2022-01-02 16:00:00,35.03
2022-01-02 17:00:00,33.21
2022-01-02 18:00:00,32.95
2022-01-02 19:00:00,32.91
2022-01-02 20:00:00,33.25
2022-01-02 21:00:00,35.27
2022-01-02 22:00:00,38.97
2022-01-02 23:00:00,32.93
2022-01-03 00:00:00,20.89
2022-01-03 01:00:00,19.92
2022-01-03 02:00:00,19.87
2022-01-03 03:00:00,19.82
2022-01-03 04:00:00,20.26
2022-01-03 05:00:00,29.35
2022-01-03 06:00:00,34.93
2022-01-03 07:00:00,34.83
2022-01-03 08:00:00,37.02
2022-01-03 09:00:00,38.76
2022-01-03 10:00:00,38.81
2022-01-03 11:00:00,38.89
2022-01-03 12:00:00,38.94
2022-01-03 13:00:00,39.92
2022-01-03 14:00:00,39.94
2022-01-03 15:00:00,39.95
2022-01-03 16:00:00,42.41
2022-01-03 17:00:00,46.38
2022-01-03 18:00:00,45.7
2022-01-03 19:00:00,45.2
2022-01-03 20:00:00,43.84
2022-01-03 21:00:00,42.57
2022-01-03 22:00:00,39.45
2022-01-03 23:00:00,34.4
2022-01-04 00:00:00,39.91
2022-01-04 01:00:00,37.04
2022-01-04 02:00:00,35.04
2022-01-04 03:00:00,34.97
2022-01-04 04:00:00,35.18
2022-01-04 05:00:00,37.09
2022-01-04 06:00:00,37.08
2022-01-04 07:00:00,42.92
2022-01-04 08:00:00,43.9
2022-01-04 09:00:00,44.65
2022-01-04 10:00:00,45.06
2022-01-04 11:00:00,45.95
2022-01-04 12:00:00,46.84
2022-01-04 13:00:00,47.0
2022-01-04 14:00:00,47.43
2022-01-04 15:00:00,47.9
2022-01-04 16:00:00,48.35
2022-01-04 17:00:00,48.56
2022-01-04 18:00:00,48.95
2022-01-04 19:00:00,48.98
2022-01-04 20:00:00,49.07
2022-01-04 21:00:00,49.07
2022-01-04 22:00:00,48.66
2022-01-04 23:00:00,48.87
2022-01-05 00:00:00,54.3
2022-01-05 01:00:00,51.69
2022-01-05 02:00:00,50.04
2022-01-05 03:00:00,49.53
2022-01-05 04:00:00,49.99
2022-01-05 05:00:00,50.04
2022-01-05 06:00:00,63.24
2022-01-05 07:00:00,70.06
2022-01-05 08:00:00,66.0
2022-01-05 09:00:00,57.06
2022-01-05 10:00:00,52.75
2022-01-05 11:00:00,52.91
2022-01-05 12:00:00,49.92
2022-01-05 13:00:00,49.86
2022-01-05 14:00:00,49.71
2022-01-05 15:00:00,49.58
2022-01-05 16:00:00,48.93
2022-01-05 17:00:00,48.26
2022-01-05 18:00:00,47.95
2022-01-05 19:00:00,47.11
2022-01-05 20:00:00,46.29
2022-01-05 21:00:00,45.54
2022-01-05 22:00:00,43.21
2022-01-05 23:00:00,42.94
2022-01-06 00:00:00,52.08
2022-01-06 01:00:00,51.77
2022-01-06 02:00:00,52.31
2022-01-06 03:00:00,51.78
